station,t,price,load,grid_energy,charge,discharge,soc_end,mode,slot_cost,groundtruth_load,penalty_rate,diff,penalty_cost,realized_slot_cost
12162-0,0,35.72,94.975464,94.975464,0.0,0.0,20.0,0,3392.52357408,97.39032108940748,893.0,-2.4148570894074766,2156.4673808408766,5548.990954920877
12162-0,1,35.72,94.67899,94.67899,0.0,0.0,20.0,0,3381.9335228,97.48128918145964,893.0,-2.802299181459645,2502.4531690434633,5884.386691843463
12162-0,2,35.49,94.91624,94.91624,0.0,0.0,20.0,0,3368.5773576,97.52472439658364,887.25,-2.608484396583634,2314.3777808688296,5682.955138468829
12162-0,3,35.49,94.788185,94.788185,0.0,0.0,20.0,0,3364.03268565,97.50855159974144,887.25,-2.720366599741439,2413.6452656205915,5777.677951270592
12162-0,4,35.07,95.200424,96.5162134736842,1.3157894736842106,0.0,21.25,1,3384.823606522105,97.49824001535326,876.75,-2.2978160153532627,2014.610191460973,5399.433797983078
12162-0,5,35.07,94.87044,99.87044,5.0,0.0,26.0,1,3502.4563308,97.53010841297947,876.75,-2.659668412979471,2331.864281079751,5834.320611879752
12162-0,6,31.5,95.05496,100.05496,5.0,0.0,30.75,1,3151.7312399999996,97.45121545596535,787.5,-2.3962554559653597,1887.0511715727207,5038.78241157272
12162-0,7,31.5,95.14674,100.14674,5.0,0.0,35.5,1,3154.6223099999997,97.50915328172786,787.5,-2.362413281727868,1860.400459360696,5015.022769360696
12162-0,8,30.27,95.13822,100.13822,5.0,0.0,40.25,1,3031.1839194,97.48210871382048,756.75,-2.3438887138204763,1773.7377841836453,4804.9217035836455
12162-0,9,30.27,95.038506,100.038506,5.0,0.0,45.0,1,3028.1655766199997,97.50569879721957,756.75,-2.4671927972195675,1867.0481492959077,4895.213725915907
12162-0,10,35.31,95.02709,95.02709,0.0,0.0,45.0,0,3355.4065479,97.47337395118984,882.75,-2.446283951189841,2159.457157912832,5514.8637058128315
12162-0,11,35.31,95.21007,95.21007,0.0,0.0,45.0,0,3361.8675717,97.52449617238187,882.75,-2.3144261723818715,2043.0597036700972,5404.927275370097
12162-0,12,42.4,94.87007,94.87007,0.0,0.0,45.0,0,4022.4909679999996,97.45709741607412,1060.0,-2.587027416074122,2742.249061038569,6764.7400290385685
12162-0,13,42.4,94.79758,94.79758,0.0,0.0,45.0,0,4019.417392,97.56459101509846,1060.0,-2.7670110150984613,2933.031676004369,6952.449068004369
12162-0,14,41.16,95.01506,95.01506,0.0,0.0,45.0,0,3910.8198696,97.5233861728552,1029.0,-2.5083261728551918,2581.0676318679925,6491.8875014679925
12162-0,15,41.16,95.37261,95.37261,0.0,0.0,45.0,0,3925.5366275999995,97.40154557060264,1029.0,-2.0289355706026413,2087.7747021501177,6013.311329750117
12162-0,16,51.64,94.97218,94.97218,0.0,0.0,45.0,0,4904.3633752,98.37782646272586,1291.0,-3.405646462725869,4396.689583379097,9301.052958579097
12162-0,17,51.64,94.98478,94.98478,0.0,0.0,45.0,0,4905.0140392,98.35418451019,1291.0,-3.3694045101899945,4349.901222655283,9254.915261855283
12162-0,18,56.84,94.95534,89.95534,0.0,5.0,39.73684210526316,0,5113.061525600001,98.50656566016768,1421.0,-3.551225660167674,5046.2916630982645,10159.353188698266
12162-0,19,56.84,95.239586,90.239586,0.0,5.0,34.473684210526315,0,5129.21806824,98.4002754251162,1421.0,-3.160689425116203,4491.339673090125,9620.557741330125
12162-0,20,54.51,95.522224,90.522224,0.0,5.0,29.210526315789473,0,4934.366430239999,98.57860151730192,1362.75,-3.056377517301925,4165.078461703199,9099.444891943198
12162-0,21,54.51,95.25847,90.25847,0.0,5.0,23.94736842105263,0,4919.9891996999995,98.40493327359738,1362.75,-3.1464632735973765,4287.842826094825,9207.832025794825
12162-0,22,51.65,95.43701,93.36201,0.0,2.0749999999999984,21.763157894736842,0,4822.1478165,98.49678314097449,1291.25,-3.0597731409744853,3950.932068283304,8773.079884783303
12162-0,23,51.65,95.60257,90.60257,0.0,5.0,16.5,0,4679.6227405,98.4788467934824,1291.25,-2.876276793482404,3713.9924095841543,8393.615150084155
12162-0,24,46.87,95.47869,95.47869,0.0,0.0,16.5,0,4475.0862003,98.59242982916253,1171.75,-3.113739829162526,3648.5246448211897,8123.610845121189
12162-0,25,46.87,94.90243,94.90243,0.0,0.0,16.5,0,4448.0768941,98.35734852753248,1171.75,-3.4549185275324845,4048.300784636189,8496.37767873619
12162-0,26,37.61,95.3226,100.3226,5.0,0.0,21.25,1,3773.1329859999996,98.37322048338146,940.25,-3.050620483381465,2868.3459094994223,6641.478895499422
12162-0,27,37.61,95.43621,100.43621,5.0,0.0,26.0,1,3777.4058581,98.40270290071663,940.25,-2.9664929007166307,2789.244949898812,6566.6508079988125
12162-0,28,36.81,95.51332,100.51332,5.0,0.0,30.75,1,3699.8953092,98.43117905679864,920.25,-2.9178590567986475,2685.1597970189555,6385.055106218955
12162-0,29,36.81,94.869095,99.869095,5.0,0.0,35.5,1,3676.18138695,97.37320427427622,920.25,-2.5041092742762174,2304.406559652689,5980.587946602689
12162-0,30,41.79,95.40264,100.40264,5.0,0.0,40.25,1,4195.8263256,97.37636829161866,1044.75,-1.9737282916186558,2062.052632668591,6257.878958268591
12162-0,31,41.79,95.2869,100.2869,5.0,0.0,45.0,1,4190.989551,97.40479257856391,1044.75,-2.117892578563911,2212.668271454646,6403.657822454646
12162-0,32,61.1,95.359436,90.359436,0.0,5.0,39.73684210526316,0,5520.9615396,97.39689809594884,1527.5,-2.0374620959488396,3112.2233515618527,8633.184891161853
12162-0,33,61.1,94.837746,89.837746,0.0,5.0,34.473684210526315,0,5489.0862806,97.36604633340316,1527.5,-2.528300333403166,3861.9787592733364,9351.065039873336
12162-0,34,72.57,95.24547,90.24547,0.0,5.0,29.210526315789473,0,6549.113757899999,97.40249996271906,1814.2499999999998,-2.157029962719065,3913.391609863063,10462.505367763062
12162-0,35,72.57,94.99298,89.99298,0.0,5.0,23.94736842105263,0,6530.7905586,97.3910991264589,1814.2499999999998,-2.3981191264588944,4350.787625178049,10881.578183778049
12162-0,36,54.68,95.19524,90.19524,0.0,5.0,18.684210526315788,0,4931.8757232,98.091571070767,1367.0,-2.8963310707670047,3959.2845737384955,8891.160296938495
12162-0,37,54.68,94.80594,94.65594,0.0,0.15,18.526315789473685,0,5175.7867992,97.39197052795647,1367.0,-2.586030527956467,3535.1037317164905,8710.890530916491
12162-0,38,56.28,95.1109,90.1109,0.0,5.0,13.263157894736842,0,5071.441452,97.38487483004754,1407.0,-2.2739748300475355,3199.4825858768827,8270.924037876883
