station,t,price,load,grid_energy,charge,discharge,soc_end,mode,slot_cost,groundtruth_load,penalty_rate,diff,penalty_cost,realized_slot_cost
12162-0,0,35.72,95.54633,95.54633,0.0,0.0,20.0,0,3412.9149076,97.39032108940748,893.0,-1.8439910894074814,1646.684042840881,5059.598950440881
12162-0,1,35.72,95.70749,95.70749,0.0,0.0,20.0,0,3418.6715428,97.48128918145964,893.0,-1.773799181459637,1584.0026690434559,5002.674211843456
12162-0,2,35.49,95.473206,95.473206,0.0,0.0,20.0,0,3388.3440809400004,97.52472439658364,887.25,-2.0515183965836314,1820.209697368827,5208.5537783088275
12162-0,3,35.49,95.77519,95.77519,0.0,0.0,20.0,0,3399.0614931,97.50855159974144,887.25,-1.7333615997414427,1537.925079370595,4936.986572470595
12162-0,4,35.07,95.82151,97.13729947368421,1.3157894736842106,0.0,21.25,1,3406.605092542105,97.49824001535326,876.75,-1.6767300153532574,1470.0730409609685,4876.678133503074
12162-0,5,35.07,95.904045,100.904045,5.0,0.0,26.0,1,3538.70485815,97.53010841297947,876.75,-1.6260634129794767,1425.651097329756,4964.355955479756
12162-0,6,31.5,95.75034,100.75034,5.0,0.0,30.75,1,3173.63571,97.45121545596535,787.5,-1.7008754559653596,1339.4394215727207,4513.075131572721
12162-0,7,31.5,95.83386,100.83386,5.0,0.0,35.5,1,3176.26659,97.50915328172786,787.5,-1.6752932817278605,1319.2934593606901,4495.560049360691
12162-0,8,30.27,95.81231,100.81231,5.0,0.0,40.25,1,3051.5886237,97.48210871382048,756.75,-1.6697987138204837,1263.6201766836512,4315.208800383651
12162-0,9,30.27,95.89652,100.89652,5.0,0.0,45.0,1,3054.1376603999997,97.50569879721957,756.75,-1.6091787972195704,1217.74605479591,4271.88371519591
12162-0,10,35.31,95.68111,95.68111,0.0,0.0,45.0,0,3378.4999941000005,97.47337395118984,882.75,-1.7922639511898382,1582.1210029128297,4960.62099701283
12162-0,11,35.31,95.75868,95.75868,0.0,0.0,45.0,0,3381.2389908,97.52449617238187,882.75,-1.765816172381875,1558.7742261701003,4940.0132169701
12162-0,12,42.4,95.682625,95.682625,0.0,0.0,45.0,0,4056.9433,97.45709741607412,1060.0,-1.7744724160741185,1880.9407610385656,5937.884061038565
12162-0,13,42.4,95.61912,95.61912,0.0,0.0,45.0,0,4054.2506879999996,97.56459101509846,1060.0,-1.9454710150984624,2062.1992760043704,6116.4499640043705
12162-0,14,41.16,95.70633,95.70633,0.0,0.0,45.0,0,3939.2725427999994,97.5233861728552,1029.0,-1.817056172855203,1869.750801868004,5809.023344668003
12162-0,15,41.16,95.92621,95.92621,0.0,0.0,45.0,0,3948.3228035999996,97.40154557060264,1029.0,-1.4753355706026383,1518.1203021501149,5466.443105750114
12162-0,16,51.64,95.88052,95.88052,0.0,0.0,45.0,0,4951.2700528000005,98.37782646272586,1291.0,-2.4973064627258594,3224.0226433790845,8175.292696179085
12162-0,17,51.64,95.952965,95.952965,0.0,0.0,45.0,0,4955.0111126,98.35418451019,1291.0,-2.401219510189989,3099.974387655276,8054.985500255276
12162-0,18,56.84,95.927895,90.927895,0.0,5.0,39.73684210526316,0,5168.341551800001,98.50656566016768,1421.0,-2.578670660167674,3664.2910080982647,8832.632559898266
12162-0,19,56.84,96.03167,91.03167,0.0,5.0,34.473684210526315,0,5174.240122800001,98.4002754251162,1421.0,-2.3686054251162005,3365.788309090121,8540.028431890121
12162-0,20,54.51,96.09359,91.09359,0.0,5.0,29.210526315789473,0,4965.511590900001,98.57860151730192,1362.75,-2.4850115173019134,3386.4494452031827,8351.961036103183
12162-0,21,54.51,96.218765,91.218765,0.0,5.0,23.94736842105263,0,4972.33488015,98.40493327359738,1362.75,-2.1861682735973744,2979.200814844822,7951.535694994822
12162-0,22,51.65,96.21199,94.13699,0.0,2.0749999999999984,21.763157894736842,0,4862.1755335,98.49678314097449,1291.25,-2.284793140974486,2950.239143283305,7812.4146767833045
12162-0,23,51.65,96.06437,91.06437,0.0,5.0,16.5,0,4703.4747105,98.4788467934824,1291.25,-2.4144767934824074,3117.6931595841584,7821.1678700841585
12162-0,24,46.87,96.05773,96.05773,0.0,0.0,16.5,0,4502.2258051,98.59242982916253,1171.75,-2.53469982916252,2970.0345248211825,7472.260329921182
12162-0,25,46.87,95.96946,95.96946,0.0,0.0,16.5,0,4498.0885902,98.35734852753248,1171.75,-2.387888527532482,2798.008382136186,7296.096972336186
12162-0,26,37.61,95.98606,100.98606,5.0,0.0,21.25,1,3798.0857165999996,98.37322048338146,940.25,-2.3871604833814644,2244.527644499422,6042.613361099422
12162-0,27,37.61,95.95919,100.95919,5.0,0.0,26.0,1,3797.0751359,98.40270290071663,940.25,-2.4435129007166267,2297.5130048988085,6094.588140798809
12162-0,28,36.81,96.155464,101.155464,5.0,0.0,30.75,1,3723.53262984,98.43117905679864,920.25,-2.2757150567986457,2094.2267810189537,5817.759410858954
12162-0,29,36.81,95.90907,100.90907,5.0,0.0,35.5,1,3714.4628667,97.37320427427622,920.25,-1.4641342742762191,1347.3695659026907,5061.8324326026905
12162-0,30,41.79,95.96361,100.96361,5.0,0.0,40.25,1,4219.2692619,97.37636829161866,1044.75,-1.4127582916186583,1475.9792251685933,5695.248487068593
12162-0,31,41.79,95.80745,100.80745,5.0,0.0,45.0,1,4212.7433355,97.40479257856391,1044.75,-1.5973425785639108,1668.823658954646,5881.566994454646
12162-0,32,61.1,95.91966,90.91966,0.0,5.0,39.73684210526316,0,5555.191226,97.39689809594884,1527.5,-1.4772380959488487,2256.4811915618666,7811.6724175618665
12162-0,33,61.1,95.674706,90.674706,0.0,5.0,34.473684210526315,0,5540.2245366,97.36604633340316,1527.5,-1.6913403334031614,2583.522359273329,8123.746895873329
12162-0,34,72.57,95.74224,90.74224,0.0,5.0,29.210526315789473,0,6585.164356799999,97.40249996271906,1814.2499999999998,-1.660259962719067,3012.126637363067,9597.290994163066
12162-0,35,72.57,95.61893,90.61893,0.0,5.0,23.94736842105263,0,6576.2157501,97.3910991264589,1814.2499999999998,-1.7721691264588912,3215.157837678043,9791.373587778044
12162-0,36,54.68,95.748215,90.748215,0.0,5.0,18.684210526315788,0,4962.1123962,98.091571070767,1367.0,-2.343356070767001,3203.3677487384907,8165.48014493849
12162-0,37,54.68,95.75452,95.60452,0.0,0.15,18.526315789473685,0,5227.6551536,97.39197052795647,1367.0,-1.6374505279564744,2238.3948717165003,7466.0500253165
