round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.00025883345226883304,0.4718528389978286,0.01607540249824524,0.12678881061925473,0.08984386920928955,0.11655019891223484,0.5281471610021714,16.500954151153564,,,,,
1,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.00043360623930181774,0.2928697165615166,0.026742279529571533,0.1635306684679407,0.11965245753526688,-0.7332045062419881,0.7071302834384834,,0.32108324294677004,65.014343759045,,,
2,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0002165124251449764,0.5073347988927404,0.013802431523799896,0.11748375004144146,0.08136092871427536,0.24146507034094844,0.4926652011072597,16.199686765670776,,,,,
2,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.000376159618830397,0.30834754191900493,0.02332719787955284,0.15273243885813137,0.10834964364767075,-0.5118779835154228,0.6916524580809951,,0.3200704979826696,63.175997418991756,,,
3,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0002099063898086601,0.5221632616097645,0.01314200647175312,0.11463859067414045,0.0748627632856369,0.2777602050767991,0.47783673839023555,16.091426849365234,,,,,
3,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0005359185274158206,0.24471612268646947,0.032482367008924484,0.18022865201993962,0.13879795372486115,-1.1051022544816156,0.7552838773135305,,0.32048256101552397,65.48950162000256,,,
4,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.00020199874395325192,0.5248801637535314,0.012838093563914299,0.11330531127848464,0.07388757169246674,0.29446225449289337,0.4751198362464686,16.346091985702515,,,,,
4,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0006333570714507784,0.1610440303370393,0.03801513463258743,0.19497470254519542,0.15524211525917053,-1.463611175472443,0.8389559696629607,,0.34120790800079703,64.6597888279939,,,
5,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0002129016269644895,0.5134910466722584,0.013348451815545559,0.11553550023930116,0.07063443958759308,0.2664144982760271,0.4865089533277416,16.11505889892578,,,,,
5,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0006887451239994594,0.09904372668843175,0.0411662794649601,0.20289474972251031,0.16474056243896484,-1.6678219578889155,0.9009562733115682,,0.3393136970116757,64.3784977660398,,,
