round,split,loss,forecast_accuracy,global_num_layers,local_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,inclusive_group_count,inclusive_beta,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,0.00017928272243263288,0.812213376250706,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,,,0.011347106677603778,0.10635829608289978,0.08268457894350138,0.20999088689701817,0.18778662374929392,52.155968204891785,,,,,
1,val,0.0010621759193299796,0.7182176713755593,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.010000000000000002,,,0.06311286530884984,0.1887893302087491,0.1663079205754601,-3.053547274265635,0.2817823286244408,,0.00029872299637645483,0.00029872299637645483,,,
2,train,0.00014320108655056554,0.8316064005382909,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,,,0.009103099984372873,0.09504159901713226,0.07181926451529226,0.3749224839598986,0.16839359946170906,50.680250719001215,,,,,
2,val,0.000877727020308798,0.7400276596310578,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.010000000000000002,,,0.05192451606640506,0.16314926996778192,0.13779668598783823,-2.025825244661627,0.2599723403689422,,0.00024323497200384736,0.00024323497200384736,,,
3,train,9.45869735058689e-05,0.8600876548455247,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,,,0.005950311965239876,0.07534119966839832,0.0538794709933851,0.6072502337834195,0.13991234515447534,51.64628204154572,,,,,
3,val,0.000810969849709793,0.7564493132065813,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.010000000000000002,,,0.04776022058225558,0.14585102537979594,0.12264695905970933,-1.634332725327121,0.24355068679341882,,0.00031081901397556067,0.00031081901397556067,,,
4,train,7.600460397348998e-05,0.8720189533364678,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,,,0.004810578764385465,0.06611239895084366,0.04638271077482648,0.6962688066173605,0.12798104666353213,51.39665434008637,,,,,
4,val,0.0007408995439152518,0.7715032612255449,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.010000000000000002,,,0.043540743011252096,0.13375892016511792,0.1113899681902759,-1.3495272665950828,0.22849673877445517,,0.00021564995404332876,0.00021564995404332876,,,
5,train,7.149135943274076e-05,0.876160397761374,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,,,0.004512755237673805,0.06395339020887418,0.04221848880160047,0.7128526167834321,0.12383960223862592,51.42418729825303,,,,,
5,val,0.0007110631500525745,0.767990759931,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.010000000000000002,,,0.04192323705522854,0.13952520304939964,0.11974676845734442,-1.3336214207618315,0.23200924006900006,,0.00023376202443614602,0.00023376202443614602,,,
