round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018504265773523876,0.7552447293284834,0.01155426912009716,0.10749078621024762,0.07862862944602966,0.6612035927404685,0.2447552706715166,11.92778992652893,,,,,
1,val,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007467880419322423,0.07369321104718407,0.42775148153305054,0.6540271259917669,0.6318408250808716,-13.868357264595694,0.9263067889528159,,0.26700099202571437,54.63229620299535,,,
2,train,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015462322459881483,0.7678433751171164,0.009641292504966259,0.09819008353681272,0.07053931802511215,0.7173086378732466,0.23215662488288355,11.212697505950928,,,,,
2,val,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006661477656591506,0.10392318724082372,0.3814764618873596,0.6176378080132073,0.5944610834121704,-12.261268759540126,0.8960768127591763,,0.27142545697279274,53.011254194017965,,,
3,train,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015243610178682204,0.7662341639702348,0.009604067541658878,0.09800034459969453,0.06898472458124161,0.7184024406537852,0.2337658360297652,10.538122177124023,,,,,
3,val,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005872023644901457,0.15821474835056926,0.33627814054489136,0.579894939230281,0.5549957156181335,-10.690258041208057,0.8417852516494307,,0.24448095896514133,53.272437794017605,,,
4,train,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014944858658898422,0.770674327297073,0.009367500431835651,0.09678584830353894,0.06649952381849289,0.7253370060602422,0.22932567270292706,10.922760725021362,,,,,
4,val,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049133916412081036,0.25492407419328666,0.2815343737602234,0.5305981283044856,0.5021555423736572,-8.78620507698412,0.7450759258067133,,0.2781583679607138,53.30088438204257,,,
5,train,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012774905727252768,0.7807847978174303,0.008085287176072598,0.08991822493839943,0.06054435297846794,0.7629386021514839,0.21921520218256976,10.811021566390991,,,,,
5,val,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00391132292293367,0.35281899816451723,0.2242920845746994,0.4735948527747102,0.442356139421463,-6.795561207663106,0.6471810018354828,,0.2672913250280544,53.26805192098254,,,
6,train,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012670747011476658,0.7851749071067782,0.00789281353354454,0.08884150794276592,0.06170681118965149,0.7685797499143706,0.21482509289322177,10.79809045791626,,,,,
6,val,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032827051764442805,0.40525725920625855,0.18845582008361816,0.43411498486416955,0.40314704179763794,-5.550137047783441,0.5947427407937415,,0.24859996797749773,52.95141771098133,,,
7,train,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011411334261466835,0.7925398059842274,0.007232437841594219,0.08504374075494457,0.05686107650399208,0.7879443031458042,0.20746019401577265,10.761128425598145,,,,,
7,val,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002617180361634209,0.47618872660199185,0.15050576627254486,0.3879507266039656,0.3577477037906647,-4.231085957015408,0.5238112733980081,,0.2702585380175151,53.192768428998534,,,
8,train,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011059129197287708,0.7968995643445601,0.006899265106767416,0.08306181497395429,0.056387148797512054,0.7977127555047935,0.20310043565543986,11.2737398147583,,,,,
8,val,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021818906494549344,0.5132681106954673,0.125517338514328,0.3542842623012318,0.3260095417499542,-3.362721783996237,0.4867318893045327,,0.2995790530112572,53.20430912601296,,,
9,train,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010380660825691326,0.804236721324647,0.006584864109754562,0.08114717561169066,0.05462393909692764,0.8069284433128215,0.195763278675353,10.9421067237854,,,,,
9,val,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001812901461408252,0.55431638314362,0.10443749278783798,0.32316790185264066,0.2961071729660034,-2.6299043871356003,0.44568361685638,,0.2332141199731268,53.30708403402241,,,
10,train,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.421512457268057e-05,0.8110311676385993,0.005924819502979517,0.07697284912863442,0.051531556993722916,0.826284846120863,0.18896883236140072,10.788868427276611,,,,,
10,val,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019105314215024313,0.5403193775106383,0.10942598432302475,0.33079598595361576,0.30695024132728577,-2.802945581880362,0.45968062248936165,,0.2753258650191128,53.29716254200321,,,
11,train,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.61582466573039e-05,0.8113240785464821,0.006086604669690132,0.07801669481393154,0.05288033187389374,0.8215398298525047,0.18867592145351783,10.803342819213867,,,,,
11,val,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017045274731658754,0.5630929398549575,0.0978068858385086,0.3127409244702532,0.29016244411468506,-2.3991743411598163,0.43690706014504255,,0.2680529539939016,53.02819062798517,,,
12,train,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010949767496861778,0.801781284997821,0.006505714729428291,0.0806580109439124,0.053404297679662704,0.8092539853265105,0.19821871500217905,10.91923189163208,,,,,
12,val,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014317542882192702,0.5967235704828335,0.08256415277719498,0.28733978627610024,0.2655574679374695,-1.8695387489897068,0.40327642951716647,,0.2697010040283203,53.10586320597213,,,
13,train,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010330411415386746,0.8015384651597541,0.006422619801014662,0.0801412490607344,0.053443390876054764,0.811691614747156,0.19846153484024584,11.036895513534546,,,,,
13,val,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012967912781806218,0.6066237575812965,0.07489656656980515,0.2736723708557463,0.2524019181728363,-1.6032942419626761,0.3933762424187035,,0.2518616750021465,53.30061667301925,,,
14,train,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.829192279717735e-05,0.806880882227722,0.006046201568096876,0.07775732485172619,0.05131511390209198,0.8227287878304934,0.19311911777227797,11.03810739517212,,,,,
14,val,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011994178947948274,0.6055018529107352,0.06946325302124023,0.2635588226966425,0.24250027537345886,-1.4149278336356033,0.3944981470892648,,0.2699181690113619,53.27996799198445,,,
15,train,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.880718529746896e-05,0.8168973532750808,0.005534261930733919,0.0743926201362334,0.04945064336061478,0.8377365134175231,0.18310264672491913,11.151228666305542,,,,,
15,val,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012157542435895828,0.6041936903507367,0.07028283923864365,0.2651091081774514,0.2447248250246048,-1.4433236143868027,0.39580630964926333,,0.2800142809865065,53.22810476098675,,,
16,train,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.639291059683812e-05,0.811951078437232,0.006038913503289223,0.07771044655185828,0.0528794564306736,0.8229378708108201,0.18804892156276795,10.925435066223145,,,,,
16,val,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001169885787225905,0.5878616823259473,0.06791546940803528,0.26060596579517376,0.23998433351516724,-1.3616201402171035,0.4121383176740528,,0.2508234709966928,53.27635291300248,,,
17,train,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010603767033472915,0.8041931221738351,0.006430367939174175,0.0801895750030774,0.056787729263305664,0.811457422486821,0.1958068778261649,10.667943954467773,,,,,
17,val,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010559108782382239,0.5947883079951582,0.06146034598350525,0.24791197224721773,0.22662296891212463,-1.1375420763038475,0.40521169200484175,,0.2625094840186648,53.31523793702945,,,
18,train,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.553972602538728e-05,0.8174804708876854,0.00541499350219965,0.07358663942727409,0.05016391724348068,0.8412349415165973,0.1825195291123146,10.859657049179077,,,,,
18,val,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000887752381109056,0.6294638542515982,0.051842473447322845,0.22768942322234215,0.20643122494220734,-0.8030907316498066,0.37053614574840177,,0.2621890690061264,53.171511157997884,,,
19,train,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.976369824404326e-05,0.8278113443590199,0.0050474004819989204,0.07104505951858243,0.04722132161259651,0.8520101518444452,0.1721886556409801,10.78449821472168,,,,,
19,val,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009029381473859152,0.6235762491728043,0.05274134874343872,0.22965484698442296,0.20879170298576355,-0.8344981924423438,0.37642375082719565,,0.2664648799691349,53.04255075502442,,,
20,train,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.194004243369559e-05,0.8278452304300846,0.005100380163639784,0.07141694591369603,0.048239924013614655,0.8504569877457981,0.17215476956991538,10.834070444107056,,,,,
20,val,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008624932737577529,0.6429697787012394,0.050445545464754105,0.22460085811223898,0.20351137220859528,-0.7544160201029058,0.35703022129876066,,0.2627399900229648,53.15061072300887,,,
21,train,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.036863605498844e-05,0.8095753853305444,0.005721885710954666,0.07564314715130953,0.04991695284843445,0.8322402263244963,0.1904246146694556,10.892179727554321,,,,,
21,val,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008649158406825293,0.6439405061879877,0.05056637525558472,0.22486968505244256,0.2025044858455658,-0.7586369628060399,0.35605949381201224,,0.25083625403931364,53.341472549014725,,,
22,train,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.593370162010113e-05,0.8187891629724091,0.005456883460283279,0.07387072126548704,0.05178942158818245,0.840004176808957,0.18121083702759094,11.091209411621094,,,,,
22,val,12164-0,2,3,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000747055865469433,0.6691387040558617,0.043752796947956085,0.20917169251109502,0.18560229241847992,-0.5217398659454842,0.33086129594413827,,0.2605724580353126,53.184311699995305,,,
