round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00018385237746711207,0.7579282464942156,0.011470377445220947,0.10709984801679667,0.07773266732692719,0.6636618587973759,0.24207175350578436,11.542580127716064,,,,,
1,val,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008556284507115682,0.0,0.4906858801841736,0.7004897430970518,0.6799226999282837,-16.05781761287328,1.0138241413776032,,0.31539204000728205,54.80681887402898,,,
2,train,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00018166641870499505,0.7543102847757883,0.011317550204694271,0.10638397531909714,0.07667502760887146,0.6681437712746822,0.24568971522421168,11.612280368804932,,,,,
2,val,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008038542895090012,0.0,0.4610050320625305,0.6789735135206163,0.6578211784362793,-15.027154253336558,1.0027422586255803,,0.31731512799160555,54.13694586697966,,,
3,train,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00017678449624844303,0.7512963664645622,0.011073902249336243,0.10523261019919748,0.0737757459282875,0.6752982455458754,0.24870363353543776,11.416967153549194,,,,,
3,val,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.007752318439029512,0.0,0.44477686285972595,0.666915933877521,0.6437429189682007,-14.46497218304361,1.0565284486396915,,0.3102182049769908,54.33952405501623,,,
4,train,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00016230761035913052,0.7552334243817139,0.010204875841736794,0.10101918551313306,0.07032245397567749,0.7007865029273285,0.2447665756182861,11.251133441925049,,,,,
4,val,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.007251680181139992,0.0,0.4162115454673767,0.6451445926824286,0.6193301677703857,-13.474130622021061,1.072680962480149,,0.3211015260312706,54.273754914000165,,,
5,train,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00014515161014931285,0.7690331044974915,0.009195352904498577,0.09589240274650843,0.06448718905448914,0.7303880745072595,0.2309668955025085,11.237762689590454,,,,,
5,val,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.006541285514831543,0.0,0.375643253326416,0.6128974247999546,0.5827860832214355,-12.065855263962327,1.0723697460383546,,0.30661590304225683,54.542929207964335,,,
6,train,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00016307493603982186,0.7628397742969233,0.010217464528977871,0.10108147470717803,0.07243227958679199,0.7004139430446743,0.23716022570307665,11.566056489944458,,,,,
6,val,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.005793753181185041,0.0,0.33289575576782227,0.5769711914539775,0.5444307327270508,-10.580246138145412,1.0339251678641237,,0.29635063401656225,54.29063248599414,,,
7,train,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00013913292891672068,0.7727601173008926,0.008798961527645588,0.09380277995691592,0.06552945822477341,0.7420084655409753,0.22723988269910741,11.237282752990723,,,,,
7,val,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.005266538915180025,0.00022308022997552523,0.30267778038978577,0.5501615947971884,0.5165268182754517,-9.529991729640138,0.9997769197700245,,0.3158331629820168,54.31089372403221,,,
8,train,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00014544194179789204,0.765701061388097,0.009055593982338905,0.09516088472864734,0.06480765342712402,0.7344915577877282,0.23429893861190296,11.690943717956543,,,,,
8,val,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.004614907645043873,0.04873562985079616,0.2653842270374298,0.5151545661618752,0.47982025146484375,-8.233389523809064,0.9512643701492038,,0.31493139604572207,54.174633450980764,,,
9,train,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00012076767248296229,0.7832356531554576,0.007662269286811352,0.08753438916683746,0.0585566982626915,0.7753447062759675,0.21676434684454238,11.533934593200684,,,,,
9,val,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.004209324632372175,0.07027095240328896,0.24219265580177307,0.4921307303976994,0.45473793148994446,-7.427719252609359,0.929729047596711,,0.29424290504539385,54.50891596899601,,,
10,train,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00012040189709191951,0.7919321743067336,0.007609782740473747,0.08723406869150233,0.059379562735557556,0.7768727906178461,0.2080678256932664,11.432052373886108,,,,,
10,val,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.003741661054747445,0.1009749344849511,0.21555620431900024,0.46428030791645714,0.42413002252578735,-6.501934785115689,0.8990250655150489,,0.31253963202470914,54.42881846398814,,,
11,train,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0001175961612413327,0.7907047455569574,0.007451506331562996,0.08632210801158065,0.05667147785425186,0.7815170306838704,0.20929525444304267,11.447009801864624,,,,,
11,val,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.003247910099370139,0.16568324225596687,0.18739087879657745,0.43288668124184354,0.3931230306625366,-5.521528648289692,0.8343167577440331,,0.30401946598431095,54.31697935599368,,,
12,train,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0001221793590884869,0.7889913654538785,0.007398988585919142,0.08601737374460547,0.05784626305103302,0.7830596340233282,0.21100863454612154,11.267463445663452,,,,,
12,val,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0027019271112623667,0.23554339416279846,0.15622344613075256,0.39525111781088307,0.35488370060920715,-4.43695719190662,0.7644566058372015,,0.30602079402888194,54.56968616502127,,,
13,train,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00011002154567366143,0.7962736215460124,0.0068702781572937965,0.0828871410852962,0.05465831607580185,0.7985633372247435,0.20372637845398753,11.071258783340454,,,,,
13,val,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.002335244587489537,0.2873410793750476,0.13535071909427643,0.3679004200789616,0.32724860310554504,-3.710517145002269,0.7126589206249524,,0.29407906101550907,54.71828848897712,,,
14,train,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00011123514197240974,0.7981984566158554,0.006756364367902279,0.0821971068098037,0.05301065742969513,0.8019043954562729,0.20180154338414455,11.592703104019165,,,,,
14,val,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0020428813568183356,0.3335699731937407,0.11867107450962067,0.34448668263028787,0.3043232858181,-3.130067393817808,0.6664300268062593,,0.29306653898674995,54.368119759019464,,,
15,train,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00010461419131697759,0.8023341249383227,0.006506033707410097,0.08065998826810042,0.05331997573375702,0.8092424829538878,0.19766587506167732,11.817443132400513,,,,,
15,val,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0017967402367364792,0.3742970107287442,0.10455479472875595,0.32334933853149594,0.28304311633110046,-2.6388624640399225,0.6257029892712558,,0.3128931870451197,54.42542222497286,,,
16,train,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00010655667371155023,0.8007348412460288,0.006655148696154356,0.08157909472502349,0.05635976791381836,0.8048714543967239,0.19926515875397124,11.274940967559814,,,,,
16,val,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0014381740703469231,0.4373730405065739,0.08399508893489838,0.28981906240773464,0.24940994381904602,-1.923339046195362,0.5626269594934261,,0.29889093298697844,54.66848925099475,,,
17,train,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00011525119692450939,0.7996776935953255,0.007022191770374775,0.08379851890322869,0.057303495705127716,0.7940998395332222,0.2003223064046745,11.033732652664185,,,,,
17,val,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0012496915033885412,0.4847639471791858,0.07312048971652985,0.27040800601411535,0.2307978868484497,-1.5445031914982497,0.5152360528208142,,0.31448356300825253,54.506258109991904,,,
18,train,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00014328194866465346,0.7751801719470034,0.009059316478669643,0.09518044168141711,0.06756404042243958,0.7343745672892608,0.22481982805299663,11.182774782180786,,,,,
18,val,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.001012183828722863,0.5315581854088023,0.0594969242811203,0.24391991366249763,0.2047455906867981,-1.0705299861123747,0.4684418145911977,,0.31958420301089063,54.4139693469624,,,
19,train,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00010446829672140568,0.8032315310303983,0.006611288525164127,0.08130983043374354,0.054854653775691986,0.8061524016062264,0.1967684689696017,11.605014562606812,,,,,
19,val,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0009224060851903188,0.5556090958429083,0.054263293743133545,0.23294482982700762,0.19414068758487701,-0.8882782002521472,0.4443909041570917,,0.31689209397882223,54.697276477993,,,
20,train,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.453374292260004e-05,0.8132910879244979,0.005904702004045248,0.0768420588222703,0.051792070269584656,0.8268718932571838,0.18670891207550214,11.692071199417114,,,,,
20,val,12164-0,2,3,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0009070827918393271,0.5509116165209129,0.053317561745643616,0.2309059586620571,0.19155271351337433,-0.855633012236724,0.44908838347908714,,0.3002248560078442,54.388723736978136,,,
