round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018856134922919514,0.5230425620204991,0.011594334617257118,0.10767699205149221,0.06646449118852615,0.36281503165596773,0.47695743797950085,14.999371528625488,,,,,
1,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000617607423946971,0.2673148044248894,0.037554316222667694,0.19378936044754289,0.14963345229625702,-1.433621065763718,0.7326851955751106,,0.3488716200226918,58.51745678798761,,,
2,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001312632521277949,0.6053945695179489,0.008284460753202438,0.09101901314122472,0.059871792793273926,0.5447141504346412,0.3946054304820511,15.122924327850342,,,,,
2,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006607853798639207,0.2653158164697994,0.039810288697481155,0.19952515805652468,0.15889394283294678,-1.5800119143558042,0.7346841835302006,,0.35403528198366985,57.463615595013835,,,
3,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.900680433130376e-05,0.652372335945655,0.006182454526424408,0.0786285859368233,0.05050574243068695,0.6602334389311619,0.347627664054345,15.154983758926392,,,,,
3,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007579463755800611,0.19940772381423744,0.04498561471700668,0.21209812520860877,0.1795060634613037,-1.9153624450271358,0.8005922761857626,,0.34960893500829116,58.02035063900985,,,
4,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.002902719063649e-05,0.6614187586000163,0.005738012492656708,0.07574966991780695,0.04047434777021408,0.6846587176285652,0.3385812413999837,15.024711608886719,,,,,
4,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007386491837955656,0.1967555488750794,0.0436074435710907,0.20882395353764063,0.1766704022884369,-1.8260348382536087,0.8032444511249206,,0.3614320079796016,57.80314580199774,,,
5,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.387090635994805e-05,0.693115682916089,0.00470505328848958,0.06859339099716226,0.034826889634132385,0.7414264396626108,0.30688431708391095,14.561615467071533,,,,,
5,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006145799869582767,0.24834718846527437,0.03618314862251282,0.1902186863126565,0.1577816605567932,-1.3449298717376108,0.7516528115347256,,0.34232656098902225,57.63030234101461,,,
6,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.895311044923435e-05,0.6873876049931957,0.004936933051794767,0.07026331227457731,0.0393512025475502,0.7286829514929503,0.31261239500680427,15.120140552520752,,,,,
6,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005715187461603255,0.27834777774618624,0.03364543244242668,0.1834269130810053,0.15221089124679565,-1.1804271679479474,0.7216522222538138,,0.36010269896360114,57.848856231954414,,,
7,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.774773857817946e-05,0.706621265303423,0.004316482227295637,0.06569994084697213,0.03341631591320038,0.7627809368261387,0.293378734696577,14.887698888778687,,,,,
7,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000558890001404853,0.1950881175346305,0.032975830137729645,0.18159248370384068,0.1499718725681305,-1.1370445591888918,0.8049118824653695,,0.34928298700833693,57.37529287597863,,,
8,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.173559779617101e-05,0.695334854613588,0.0045729391276836395,0.06762351016978961,0.03455435484647751,0.7486869706483377,0.30466514538641193,14.594734191894531,,,,,
8,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000569757553083556,0.119907008942161,0.03351998329162598,0.1830846342313466,0.15017233788967133,-1.1723334083104064,0.880092991057839,,0.36206741200294346,57.74532026704401,,,
