round,split,loss,forecast_accuracy,global_num_layers,local_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,inclusive_group_count,inclusive_beta,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,5.687773326670553e-05,0.8903219697849524,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.003557731982269085,0.05545506435495099,0.03460871852242604,0.7710143176860753,0.10967803021504757,46.488646242372006,,,,,
1,val,0.0009220074602922473,0.7555504638787433,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.05420918482193372,0.15563796317599743,0.13854448013537932,-2.0305638131758994,0.24444953612125686,,0.00035901303635910153,0.00035901303635910153,,,
2,train,4.448117948029621e-05,0.9080708712638784,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.002817804506478085,0.04883987879287494,0.03041189075808178,0.8240507270445407,0.09192912873612173,45.82878913960754,,,,,
2,val,0.0007075388400357224,0.7895526251714043,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04157759855116893,0.1260717565393853,0.10589680500540657,-1.2266325227387782,0.21044737482859555,,0.00021465803729370236,0.00021465803729370236,,,
3,train,2.9928239951783322e-05,0.9248619067834496,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0018390847347987626,0.03531626753551045,0.02392521822751188,0.8926468383076658,0.0751380932165503,46.05855229998221,,,,,
3,val,0.0006661201522854825,0.7806478597878969,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03934032457244327,0.13329623016529032,0.1173157980208189,-1.2925507397887326,0.21935214021210314,,0.0002080670092254877,0.0002080670092254877,,,
4,train,2.580496432732277e-05,0.9278247899497472,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0016235876907304322,0.032172269550548055,0.021185962207342417,0.905714713856528,0.07217521005025283,46.03364708604091,,,,,
4,val,0.0006174887859852785,0.7922078083051649,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.036412470686842696,0.12299907958818374,0.10759938742793115,-1.0922297433607429,0.207792191694835,,0.00020963401766493917,0.00020963401766493917,,,
5,train,2.3501389232012887e-05,0.9336165019007756,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0014768368055771022,0.03006111777117919,0.018540915542342017,0.9147369215848268,0.06638349809922432,46.01999094726596,,,,,
5,val,0.0005738691007824606,0.7929873482854319,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.033884304739597824,0.11959220241851247,0.10561783193110147,-0.9896488166513706,0.20701265171456806,,0.00026768300449475646,0.00026768300449475646,,,
6,train,2.183213194085841e-05,0.9345949557557055,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0013629460646523062,0.028565110469196416,0.017808222578505818,0.9196123172855711,0.06540504424429441,46.02998293360907,,,,,
6,val,0.0005405158884942948,0.8050181389978492,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03191779254648994,0.11389019068717492,0.10045830837295149,-0.8726920733381194,0.19498186100215076,,0.00021286698756739497,0.00021286698756739497,,,
7,train,2.0333842681864297e-05,0.9390911208651329,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0012707642818792816,0.02725206647875111,0.016873334281187827,0.9252325083961018,0.06090887913486702,45.7730370627601,,,,,
7,val,0.0005242536920652574,0.8018307186065894,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03098924530378387,0.11162174556140834,0.09893709215140004,-0.827005848798632,0.19816928139341042,,0.0002579230349510908,0.0002579230349510908,,,
8,train,2.0618274361252824e-05,0.9383097028752025,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.00128276907727134,0.026942610112117172,0.016253606501302705,0.9249198707102941,0.061690297124797296,45.85448825677346,,,,,
8,val,0.0005171925468433808,0.7945821428993618,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03057395701215427,0.11130422752586303,0.09942134955758726,-0.8060645481740034,0.2054178571006382,,0.000218179018702358,0.000218179018702358,,,
9,train,2.0015979769025606e-05,0.9399532170546208,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0012341394947576628,0.026434805604231285,0.015816087994892935,0.9267352015743154,0.06004678294537936,46.19659080382301,,,,,
