round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.537909057997687e-05,0.9276234967992049,0.002259164350107312,0.047530667469617045,0.029603030532598495,0.8263462989742396,0.07237650320079511,58.285640478134155,,,,,
1,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0003849256712519325,0.7972428792242182,0.024621959775686264,0.1569138610056048,0.149262934923172,-2.088389744451996,0.2027571207757818,,1.0122228849795647,64.42500306299189,,,
2,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2338203929045904e-05,0.952077490522084,0.0007877289317548275,0.02806650907674176,0.018903644755482674,0.9394502329995225,0.04792250947791597,56.87468910217285,,,,,
2,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.265576092758271e-05,0.9386899257099129,0.0020891737658530474,0.04570748041462193,0.02846161462366581,0.7379498077002955,0.061310074290087085,,1.0139962189714424,63.67027601698646,,,
3,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.939971794636378e-06,0.9646055251526485,0.0004429562541190535,0.0210465259394289,0.013039620593190193,0.9659516144831062,0.035394474847351455,57.36688446998596,,,,,
3,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.1995917450611814e-05,0.9389369311943451,0.0020465063862502575,0.045238328729632106,0.03425880894064903,0.7433018415307141,0.06106306880565496,,1.0161703000194393,64.003173856996,,,
4,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.871387691404757e-06,0.9671101760305455,0.00037441065069288015,0.019349693813931014,0.011636955663561821,0.9712204378888678,0.03288982396945449,58.367104291915894,,,,,
4,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.224791178240824e-05,0.9393108295550247,0.002062424086034298,0.045413919518516546,0.03698653355240822,0.741305302619661,0.060689170444975314,,1.0305717310402542,64.34629839804256,,,
5,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0159616611048985e-06,0.9660257292422073,0.0003846998151857406,0.01961376596132779,0.012153598479926586,0.9704295834944534,0.03397427075779273,57.35623836517334,,,,,
5,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.57678557023009e-05,0.9310758015126666,0.0022874679416418076,0.047827481029652896,0.040737636387348175,0.7130769486359398,0.06892419848733344,,1.0051660280441865,63.87486048700521,,,
