round,client_id,weights,dominant_head_id,entropy
1,12162-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12163-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12164-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12165-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12166-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12167-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
2,12162-0,"[0.08326874673366547, 0.18054653704166412, 0.15109790861606598, 0.22730469703674316, 0.1693565994501114, 0.18842549622058868]",3,1.7535526752471924
2,12163-0,"[0.1790045201778412, 0.11435362696647644, 0.26574453711509705, 0.1766503006219864, 0.1150774285197258, 0.14916957914829254]",2,1.7469639778137207
2,12164-0,"[0.055170558393001556, 0.20827645063400269, 0.12831319868564606, 0.18949052691459656, 0.19015999138355255, 0.22858926653862]",5,1.7182775735855103
2,12165-0,"[0.3740236759185791, 0.06216493248939514, 0.25194090604782104, 0.13701657950878143, 0.08458244800567627, 0.09027149528265]",0,1.586195707321167
2,12166-0,"[0.040115837007761, 0.2413623183965683, 0.10386161506175995, 0.19171276688575745, 0.203032985329628, 0.21991446614265442]",1,1.6807529926300049
2,12167-0,"[0.05546332150697708, 0.20631054043769836, 0.10620635002851486, 0.18273377418518066, 0.2452588528394699, 0.20402716100215912]",4,1.7037863731384277
3,12162-0,"[0.16992256045341492, 0.16246923804283142, 0.17445023357868195, 0.16683951020240784, 0.16227535903453827, 0.164043128490448]",2,1.7914164066314697
3,12163-0,"[0.22801153361797333, 0.14265522360801697, 0.184522807598114, 0.15374083817005157, 0.14421048760414124, 0.14685912430286407]",0,1.7755749225616455
3,12164-0,"[0.1474969983100891, 0.170864537358284, 0.16919292509555817, 0.17148175835609436, 0.16969630122184753, 0.17126749455928802]",3,1.7903815507888794
3,12165-0,"[0.29504144191741943, 0.12283555418252945, 0.1867651343345642, 0.13856709003448486, 0.1280290186405182, 0.12876173853874207]",0,1.7320502996444702
3,12166-0,"[0.1310776025056839, 0.17785441875457764, 0.1641339808702469, 0.17504127323627472, 0.17517970502376556, 0.1767130196094513]",1,1.7865517139434814
3,12167-0,"[0.14371386170387268, 0.1717354953289032, 0.16644062101840973, 0.17187261581420898, 0.17414040863513947, 0.17209699749946594]",4,1.78969144821167
4,12162-0,"[0.17174939811229706, 0.16487501561641693, 0.16768093407154083, 0.1655675172805786, 0.164997860789299, 0.16512930393218994]",0,1.7916508913040161
4,12163-0,"[0.18687207996845245, 0.16012592613697052, 0.1691497564315796, 0.16224676370620728, 0.1606910228729248, 0.16091446578502655]",0,1.7901649475097656
4,12164-0,"[0.165235698223114, 0.16697008907794952, 0.16694334149360657, 0.1669960469007492, 0.16687871515750885, 0.16697613894939423]",3,1.7917520999908447
4,12165-0,"[0.2018035501241684, 0.15554483234882355, 0.17014287412166595, 0.15894611179828644, 0.1567360907793045, 0.15682654082775116]",0,1.7870959043502808
4,12166-0,"[0.15993303060531616, 0.16872940957546234, 0.1662561446428299, 0.1681620180606842, 0.16841207444667816, 0.16850733757019043]",1,1.7915825843811035
4,12167-0,"[0.16400717198848724, 0.16729122400283813, 0.16673249006271362, 0.1672382652759552, 0.16744157671928406, 0.16728930175304413]",4,1.7917330265045166
5,12162-0,"[0.16807201504707336, 0.1662197709083557, 0.1668178290128708, 0.16635869443416595, 0.1662600338459015, 0.1662716269493103]",0,1.7917516231536865
5,12163-0,"[0.17154036462306976, 0.16514049470424652, 0.167122021317482, 0.1655973643064499, 0.16528844833374023, 0.1653113067150116]",0,1.7916666269302368
5,12164-0,"[0.16652566194534302, 0.1667039394378662, 0.16667643189430237, 0.1666983664035797, 0.16669440269470215, 0.16670122742652893]",1,1.7917593717575073
5,12165-0,"[0.17481347918510437, 0.1641237437725067, 0.1673884093761444, 0.16487692296504974, 0.1643902063369751, 0.16440728306770325]",0,1.7915018796920776
5,12166-0,"[0.16522322595119476, 0.1671151965856552, 0.1665516495704651, 0.16698455810546875, 0.1670602262020111, 0.16706515848636627]",1,1.7917513847351074
5,12167-0,"[0.16625066101551056, 0.16678248345851898, 0.16665099561214447, 0.16675671935081482, 0.16678519546985626, 0.16677390038967133]",4,1.79175865650177
6,12162-0,"[0.16699591279029846, 0.16656391322612762, 0.1666964441537857, 0.16659443080425262, 0.16657409071922302, 0.16657519340515137]",0,1.7917590141296387
6,12163-0,"[0.1677783578634262, 0.16632068157196045, 0.16676364839076996, 0.16642269492149353, 0.16635574400424957, 0.16635890305042267]",0,1.7917546033859253
6,12164-0,"[0.1666441261768341, 0.16667336225509644, 0.16666573286056519, 0.1666717827320099, 0.16667240858078003, 0.16667257249355316]",1,1.7917592525482178
6,12165-0,"[0.1685103178024292, 0.16609284281730652, 0.16682593524456024, 0.16626161336898804, 0.1661527156829834, 0.16615653038024902]",0,1.7917461395263672
6,12166-0,"[0.16634471714496613, 0.1667669117450714, 0.16663941740989685, 0.16673749685287476, 0.1667557805776596, 0.16675561666488647]",1,1.7917591333389282
