round,split,loss,forecast_accuracy,global_num_layers,local_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,inclusive_group_count,inclusive_beta,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,5.50006756633519e-05,0.8963200344766356,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0034124590130309093,0.054165122917380654,0.034009165054410775,0.7839889612390232,0.10367996552336439,49.804216141699094,,,,,
1,val,0.001145655335822214,0.6828580427911378,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.06788000317449512,0.1902211226648641,0.17654422956429341,-3.2274593987887603,0.3250291179444969,,0.0002537950058467686,0.0002537950058467686,,,
2,train,3.5185393361373445e-05,0.9142284104204336,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0022189291020456516,0.04136590718720871,0.026942592886144742,0.8642294529042134,0.08577158957956635,48.96222611254595,,,,,
2,val,0.0007807552464357313,0.7722286739648362,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.045684769001683334,0.12002736401061846,0.10040904605608712,-1.3928760644980231,0.23545232137378908,,0.00020886596757918596,0.00020886596757918596,,,
3,train,2.677205908474131e-05,0.9262763975798752,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0016756085372596188,0.03334626047924267,0.021174235818573677,0.9019139602398016,0.07372360242012475,49.28018473313046,,,,,
3,val,0.000704553821024707,0.7808562448745625,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.04131294884428952,0.11613073046255243,0.09840452796199568,-1.1848150881064634,0.23272174855683755,,0.00020883500110358,0.00020883500110358,,,
4,train,2.395523017939777e-05,0.9301095725181813,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0015105402248664693,0.030421397658386227,0.019191955610020475,0.9137642769427362,0.06989042748181862,49.76601138049677,,,,,
4,val,0.000624255154439181,0.7884508063285233,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.036607075911562134,0.1115852251926868,0.09580417223592883,-0.9806715233168897,0.2173398910344586,,0.00021510699298232794,0.00021510699298232794,,,
5,train,2.2104098066854273e-05,0.9349480727701783,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0013779006263185474,0.028594678827487934,0.017817072298089952,0.9189252779313751,0.0650519272298217,49.21636252167443,,,,,
5,val,0.0005658823343926938,0.792602780729425,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0331888863792,0.10744205378673533,0.09323258822074565,-0.831819787271819,0.2098752064305178,,0.00021385896252468228,0.00021385896252468228,,,
6,train,2.3257664979792877e-05,0.9340021255503058,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0013829947512823465,0.028936727037533,0.01749890962483001,0.9187788502864425,0.06599787444969415,48.63473706317282,,,,,
6,val,0.0005291807050558043,0.79633789970471,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.03101305569094536,0.10327003664153078,0.0899581313073582,-0.7232920505984556,0.20868629882767237,,0.0002180510200560093,0.0002180510200560093,,,
7,train,2.1657054822033265e-05,0.936518935692573,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0013507664904323685,0.02772753698983324,0.016985433682716742,0.9213291220302401,0.06348106430742695,49.41921243501581,,,,,
7,val,0.0004920583934616587,0.8014262814990101,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.02885558919656319,0.09953092055411746,0.08693597679195456,-0.6192702040118783,0.20143448533554612,,0.0002172189997509122,0.0002172189997509122,,,
8,train,2.042856500451751e-05,0.938880824554747,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0012905661725605012,0.027299810730019906,0.016436101976029023,0.9247032745644765,0.061119175445252936,48.93783034085608,,,,,
8,val,0.00044829965295725596,0.8059389953930188,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.02630916101948335,0.09468727763896799,0.08171276900705175,-0.48612028747456687,0.19406100460698122,,0.000293987977784127,0.000293987977784127,,,
9,train,1.9710271859701742e-05,0.93998195344086,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0012316506216478458,0.02639295802367411,0.01560376636072846,0.9272805035733132,0.06001804655913998,48.61451072383542,,,,,
9,val,0.00042649094274472004,0.8075250463928897,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.025045907009373092,0.09342609333920374,0.0811240456428286,-0.43879429472373277,0.1924749536071103,,0.00021920300787314773,0.00021920300787314773,,,
10,train,2.067204675128424e-05,0.9375491460584199,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0012881198968728558,0.02804131896811344,0.017161769232321152,0.9237213314932664,0.062450853941580106,48.76485349090017,,,,,
10,val,0.00041250272528506093,0.8113774864357916,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.02419746636845556,0.09064263963835772,0.07783948683919008,-0.38455275320225896,0.19425813321809687,,0.0002466919831931591,0.0002466919831931591,,,
11,train,1.9086908715316265e-05,0.9387363163730426,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0012025484570930064,0.02651773745309421,0.01620069862918168,0.9281905026077318,0.06126368362695737,48.604624322665416,,,,,
11,val,0.00040184396879391844,0.8129646984913871,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.023579567577731313,0.09092412685555666,0.07842249086398459,-0.3560106380150621,0.1949613516625496,,0.000243587011937052,0.000243587011937052,,,
12,train,1.9894754250661365e-05,0.9388563593800371,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0012475418653555524,0.02631238225901722,0.015291461517955936,0.9274045261636568,0.06114364061996277,49.148754461931226,,,,,
12,val,0.0004048526823337648,0.8121257516949216,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.02375674304586348,0.09143275835556591,0.07969428834727438,-0.36125738963969045,0.20067302363778747,,0.00021523499162867665,0.00021523499162867665,,,
13,train,2.1181433628050702e-05,0.9381575590459554,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0013122185166751284,0.02633666073674005,0.015562034745550787,0.9254817420132692,0.06184244095404459,48.53715494417058,,,,,
13,val,0.0003666058970636552,0.8180712312999942,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.021545996189032916,0.0868722792102896,0.07591898412016151,-0.24215906044013816,0.19106005829413003,,0.00030032399808987975,0.00030032399808987975,,,
14,train,1.92189075784688e-05,0.9415170446196446,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0011974422371787048,0.025617885948706214,0.014684085944635517,0.9305089987598878,0.05848295538035546,48.67675822121461,,,,,
14,val,0.00034110258316282605,0.8202506616497819,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.020072588770902216,0.08462165664451919,0.07424391104286251,-0.17147313635330216,0.18503533244239614,,0.00022627500584349036,0.00022627500584349036,,,
15,train,1.8224738298191816e-05,0.9427368772497047,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0011365766421475916,0.02482686083348078,0.01408975331392478,0.932544685790449,0.057263122750295305,49.05297230129615,,,,,
15,val,0.00033137993787119523,0.8210886846634253,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.019523721084734456,0.08360657190069673,0.07336432036158241,-0.13773052368226452,0.18203646178760904,,0.0002182429889217019,0.0002182429889217019,,,
16,train,1.8623659307655364e-05,0.9423671219053047,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.001151337099353123,0.02506597116299157,0.014421576260544376,0.9320391528003669,0.05763287809469526,48.88274875212517,,,,,
16,val,0.00031280274551366045,0.8278079125154156,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.018446261758851452,0.08039932671474939,0.07002064238212923,-0.07184768313673882,0.1721920874845846,,0.00025456398725509644,0.00025456398725509644,,,
17,train,1.8156810615016904e-05,0.9423790738370549,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0011453746620349035,0.024915216108486613,0.014200168683592255,0.9328782452353656,0.05762092616294512,49.409845799791036,,,,,
17,val,0.00031088741821785014,0.8264574508875532,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.018319063431051396,0.08011497088433066,0.06928578825647615,-0.06349070197338832,0.1753773090324147,,0.00021363503765314817,0.00021363503765314817,,,
18,train,1.7851316230566864e-05,0.9416182859071376,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0011299467801799956,0.02541435307077975,0.014947259689026418,0.9327710421381701,0.058381714092862504,49.30360403034895,,,,,
18,val,0.0003038883682625363,0.8213628024575007,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.01793661066496685,0.0824257986620997,0.07212428857184602,-0.05416418436937139,0.18077262563370344,,0.00021683401428163052,0.00021683401428163052,,,
