round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12163-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002583722396278873,0.8205960506033891,0.016489114612340927,0.12840994748204254,0.0968719944357872,-0.3230863665729128,0.1794039493966109,2.020228862762451,,,,,
1,val,12163-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001441702255729921,0.8521038269427299,0.009163428097963333,0.09572579640809124,0.0688324049115181,0.03816152607026124,0.14789617305727004,,0.04260348295792937,2.6053089189808816,,,
2,train,12163-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010831380489041096,0.8778967819622886,0.006917295046150684,0.0831702774201859,0.057559382170438766,0.4449570658354324,0.12210321803771142,1.846665382385254,,,,,
2,val,12163-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011595767705164252,0.8618199370161761,0.007382303010672331,0.08592032943763851,0.05863688886165619,0.22509055618137996,0.13818006298382388,,0.04175314889289439,2.16057924204506,,,
3,train,12163-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011116650002023138,0.8760363597212211,0.0070859952829778194,0.08417835400492112,0.05668869614601135,0.4314206442446581,0.12396364027877894,1.8461823463439941,,,,,
3,val,12163-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012640063588591316,0.8582984015047471,0.008047202602028847,0.08970620158065354,0.0615030936896801,0.1553060640924059,0.14170159849525285,,0.050008723977953196,2.2019728161394596,,,
4,train,12163-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.925912493195181e-05,0.8815075747752728,0.0063361795619130135,0.07960012287624318,0.053215235471725464,0.4915869234615521,0.11849242522472722,1.9770073890686035,,,,,
4,val,12163-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012582986006046443,0.857332946811568,0.008011903613805771,0.08950923758923306,0.05979453772306442,0.1590050486690804,0.14266705318843204,,0.04359344090335071,2.1891918221954256,,,
5,train,12163-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.766472042478734e-05,0.881329756570449,0.006230859085917473,0.07893579090575753,0.05189488083124161,0.5000391436017745,0.11867024342955096,1.9829142093658447,,,,,
5,val,12163-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011874398459066295,0.8597122091623863,0.007564076688140631,0.08697170050160358,0.055250298231840134,0.20600653801166513,0.14028779083761364,,0.04792660195380449,2.227033177157864,,,
