round,split,loss,forecast_accuracy,global_num_layers,local_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,inclusive_group_count,inclusive_beta,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,0.0001351714170362297,0.7919925857362619,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009999999999999998,,,0.008622597514962157,0.09211144670827157,0.06504907334844272,0.4463798129968565,0.20800741426373814,3.008798360824585,,,,,
1,val,0.0005570450642456611,0.6485179522586407,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,,,0.035281158828487,0.1738564434128139,0.1503554880619049,-1.1419913563309032,0.5280066527812552,,0.00010837288573384285,0.00010837288573384285,,,
2,train,0.00011387173293680861,0.8054821269597188,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009999999999999998,,,0.007261630690967043,0.0841417863142975,0.05768402976294359,0.5391896850061518,0.1945178730402813,2.6558754046758017,,,,,
2,val,0.00030862761438280967,0.7003437917495657,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,,,0.019536767310152452,0.12870766622386587,0.10654869365195434,-0.2064703153537252,0.43173590074668355,,8.673290722072124e-05,8.673290722072124e-05,,,
3,train,0.00010383617827608212,0.813063706342533,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009999999999999998,,,0.00662019553904732,0.08017685353331966,0.053188166270653404,0.5855392795331174,0.18693629365746706,2.689711888631185,,,,,
3,val,0.00021170955854662074,0.7138721486503572,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,,,0.013383809011429548,0.10985616815066729,0.08774141718943913,0.1318043541078743,0.36430674235824895,,8.729193359613419e-05,8.729193359613419e-05,,,
4,train,9.821552013435901e-05,0.815739518278805,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009999999999999998,,,0.0062666963785886765,0.07770894748353749,0.05101254706581434,0.6105699718376776,0.1842604817211949,2.761782169342041,,,,,
4,val,0.0001763134763071624,0.7179755551743223,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,,,0.011134153231978416,0.10175976686501802,0.07961265308161576,0.25366244230721413,0.3340605709055126,,8.811219595372677e-05,8.811219595372677e-05,,,
5,train,9.861029501447503e-05,0.8160339089282345,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009999999999999998,,,0.006284222550069292,0.07772049162491577,0.05074032706518968,0.610512908171767,0.18396609107176543,2.6977513233820596,,,,,
5,val,0.00016195480323707065,0.7190761286229004,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,,,0.01021983241662383,0.09843699732999274,0.0761592648923397,0.30091329849423704,0.31758030022451633,,8.254218846559525e-05,8.254218846559525e-05,,,
