round,split,loss,forecast_accuracy,global_num_layers,local_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,inclusive_group_count,inclusive_beta,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,0.00013885698323143467,0.7956494369048382,3.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.008854639250785112,0.09271393191633902,0.06505008786916733,0.4175944927310485,0.20435056309516175,2.0795613527297974,,,,,
1,val,0.000392029318997326,0.6838017470311717,,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.024841537078221638,0.14456258429239466,0.12219526494542758,-0.5833996529629103,0.5158948667006652,,9.709387086331844e-05,9.709387086331844e-05,,,
2,train,9.217101710695634e-05,0.8218307899471226,3.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.005882508742312591,0.07495966995924389,0.05127515457570553,0.6356114969861411,0.17816921005287742,1.902321736017863,,,,,
2,val,0.00023706283415473686,0.7127675789524047,,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.014993561897426844,0.11321562847855889,0.09108961559832096,0.02795237842209709,0.41388314963853884,,7.51931220293045e-05,7.51931220293045e-05,,,
3,train,8.433976315688977e-05,0.8278931249801741,3.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.005381144001148641,0.07165334115464761,0.046709856018424034,0.6660325621880164,0.17210687501982586,1.9050627152125041,,,,,
3,val,0.0001991427695126428,0.717980007254248,,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01257823221385479,0.10557072357220888,0.0826104258497556,0.17922722327104046,0.37646946512251545,,0.00013293488882482052,0.00013293488882482052,,,
4,train,7.817873238101659e-05,0.8342594446015743,3.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.004989489912986755,0.06925997724396665,0.04508903125921885,0.6866817805752361,0.16574055539842578,1.8789341847101848,,,,,
4,val,0.00017974462753045373,0.716804462361673,,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.011344632521892587,0.10212246359490802,0.07948233063022296,0.23024597408834024,0.3523581601803544,,0.00014545605517923832,0.00014545605517923832,,,
5,train,7.438830876349934e-05,0.838983970811337,3.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.004739101394079626,0.06768649839685993,0.0431235550592343,0.7001066638107161,0.16101602918866295,2.001699924468994,,,,,
5,val,0.00016538174289356297,0.717254062878612,,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.010432966751977801,0.09876999838287917,0.07559377638002236,0.2828835147990496,0.33327880648989877,,7.773307152092457e-05,7.773307152092457e-05,,,
6,train,7.390449811118369e-05,0.8400540649533216,3.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.004712105146609247,0.0676848469727335,0.04295940759281317,0.7000716173874393,0.1599459350466784,1.902774731318156,,,,,
6,val,0.00015672600299391584,0.7176094265444034,,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.009884491640453538,0.09676836894674831,0.0735306100298961,0.3137512937048607,0.32098367101222003,,8.029304444789886e-05,8.029304444789886e-05,,,
7,train,7.33126353193399e-05,0.8399041820335241,3.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.004675610107369721,0.06731744464776146,0.04254140021900336,0.7043207445394553,0.16009581796647585,1.9056329727172852,,,,,
7,val,0.00015108776278793812,0.7175771791972891,,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.009527804718042413,0.09556430635050091,0.07257875924309094,0.3315017706112768,0.30975704773600826,,8.818297646939754e-05,8.818297646939754e-05,,,
8,train,6.898366596119423e-05,0.8456297776789757,3.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.004401891608722508,0.06541709050705938,0.040253271659215294,0.7209519579791902,0.15437022232102426,1.9368466933568318,,,,,
