round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12167-0,1,3,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00010552989052874702,0.8866304082828558,0.006730069871991873,0.08203700306564028,0.059536680579185486,0.39328700252042414,0.11336959171714422,2.006502628326416,,,,,
1,val,12167-0,1,3,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0003673235824617156,0.7820523958547052,0.023186463862657547,0.15227102108627744,0.1379665583372116,-1.6037459895366495,0.21794760414529474,,0.0404682201333344,2.478202674072236,,,
2,train,12167-0,1,3,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.597068503489296e-05,0.916834245350474,0.003571154084056616,0.05975913389647323,0.038263898342847824,0.6780623323477513,0.08316575464952607,1.89328932762146,,,,,
2,val,12167-0,1,3,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00011537258044211534,0.8676757819059457,0.00726239662617445,0.08521969623376072,0.06676818430423737,0.18444698695469436,0.1323242180940543,,0.04766499111428857,2.191786773968488,,,
3,train,12167-0,1,3,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.316271549539639e-05,0.9184550164307678,0.003395569510757923,0.058271515432138224,0.037828050553798676,0.6938908555714811,0.08154498356923223,1.8887577056884766,,,,,
3,val,12167-0,1,3,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00011845317458475593,0.8633675193925013,0.007457680068910122,0.08635786049289389,0.06676016002893448,0.1625065206277167,0.13663248060749864,,0.04870699415914714,2.1726302749011666,,,
4,train,12167-0,1,3,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.3004825051817674e-05,0.9189269955236659,0.0033817451912909746,0.05815277457947277,0.03852841630578041,0.695136975621035,0.08107300447633416,1.9496691226959229,,,,,
4,val,12167-0,1,3,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00012734740430946914,0.8603307283310254,0.008019564673304558,0.0895520221620068,0.07019345462322235,0.09941038426519008,0.1396692716689746,,0.05180989997461438,2.197440578136593,,,
5,train,12167-0,1,3,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.2169267397534e-05,0.9190574319425413,0.0033319168724119663,0.05772275870410185,0.037881940603256226,0.6996289868298486,0.08094256805745866,2.0240843296051025,,,,,
5,val,12167-0,1,3,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0001294756939276654,0.856050060574045,0.008152853697538376,0.09029315421192448,0.07065209746360779,0.08443441645971261,0.14394993942595505,,0.042755203088745475,2.2585070990025997,,,
6,train,12167-0,1,3,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.209245809605918e-05,0.9196388651600352,0.0033205128274858,0.05762389111719027,0.03791695088148117,0.7006575272770934,0.08036113483996475,1.9162395000457764,,,,,
6,val,12167-0,1,3,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00012359464056155398,0.8611684319269014,0.007779212202876806,0.08819984241979578,0.06836730986833572,0.12639567591458128,0.13883156807309857,,0.048483164981007576,2.1702737112063915,,,
