round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.00017638459074787978,0.8521879942542433,0.011262970976531506,0.10612714533299906,0.08020096272230148,0.27285704165650493,0.14781200574575667,4.15441107749939,,,,,
1,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.001374406314062956,0.6441430211012114,0.0870666652917862,0.2950706106879948,0.27829280495643616,-4.769067916064622,0.3558569788987886,,0.09922651411034167,4.9001832499634475,,,
2,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.00016554230045306558,0.8521736447136574,0.010557344183325768,0.1027489376262634,0.07437454909086227,0.3183934971684994,0.14782635528634255,3.9697515964508057,,,,,
2,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0005381342041739002,0.768019831739461,0.034081216901540756,0.18461098803034653,0.1655324101448059,-1.2582966580639954,0.23198016826053905,,0.08410608395934105,4.404036374995485,,,
3,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.00012973781560713147,0.8692204277242241,0.00828462652862072,0.0910199238003456,0.06409565359354019,0.4651165786484371,0.1307795722757759,4.151468992233276,,,,,
3,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0003478245496967413,0.807697879080952,0.022004948928952217,0.14834065163990692,0.1321973204612732,-0.458179727715026,0.19230212091904797,,0.08520488813519478,4.465302262920886,,,
4,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,8.457421047156557e-05,0.8884996111563239,0.005395680665969849,0.07345529705861824,0.05184534937143326,0.6516230370261364,0.1115003888436761,4.158312797546387,,,,,
4,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0002924083899751922,0.8226184815148836,0.01847841404378414,0.13593533037361605,0.12088444828987122,-0.22451620262262567,0.17738151848511646,,0.09949468402191997,4.993155062897131,,,
5,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,7.945402076740454e-05,0.893116073768054,0.005073473323136568,0.07122831826694048,0.053132377564907074,0.6724326601299327,0.10688392623194595,4.036416292190552,,,,,
5,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0002526402453055782,0.8330674780041822,0.015950283035635948,0.1262944299469931,0.11148224025964737,-0.056982387221512554,0.16693252199581773,,0.10150862485170364,4.431308761937544,,,
6,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,7.377807357868787e-05,0.897178001279988,0.004707068204879761,0.06860807681956813,0.048173148185014725,0.6960895956567874,0.10282199872001192,4.1176838874816895,,,,,
6,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.000204985297382458,0.8427281876585571,0.01293065957725048,0.11371305807712007,0.09802260994911194,0.14306654789749088,0.15727181234144288,,0.10246402281336486,4.5534706469625235,,,
