round,split,loss,forecast_accuracy,global_num_layers,local_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,inclusive_group_count,inclusive_beta,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,9.055225004021444e-05,0.8320981370033361,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0057789711669708295,0.07488522573139943,0.05109062666694323,0.6413053018231379,0.1679018629966638,3.455776254336039,,,,,
1,val,0.0005446449722512625,0.6638363479848314,,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.03450534290944537,0.1733870079193074,0.15090980753302574,-1.1689526550940816,0.5440245835680744,,9.512389078736305e-05,9.512389078736305e-05,,,
2,train,6.857070478699392e-05,0.8524494126185892,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.004369457717984915,0.06523442940870461,0.041011219223340355,0.7301346026534697,0.14755058738141089,3.2330013513565063,,,,,
2,val,0.00017911171986876676,0.7184046855637302,,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.011306701072802147,0.10218345390170284,0.0792052373290062,0.23932856579638687,0.34132158016972053,,8.151284419000149e-05,8.151284419000149e-05,,,
3,train,5.6997130837138605e-05,0.8615826837892167,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0036385062461098037,0.05950885731985123,0.03722001239657402,0.7764319489252672,0.13841731621078332,3.171838164329529,,,,,
3,val,0.00015845343053418523,0.7191113722565693,,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.009990726131945848,0.09737820631347885,0.074190861855944,0.32104841789532707,0.309694211271297,,8.292403072118759e-05,8.292403072118759e-05,,,
4,train,5.379980331304095e-05,0.8664325106217944,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0034336390478226044,0.0565319327020775,0.03584722802042961,0.8047671562129192,0.1335674893782056,3.2482262452443442,,,,,
4,val,0.00016464538809183674,0.7181428687913834,,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.010378697576622168,0.09914388448086178,0.07661002439757188,0.32985297713262607,0.29392270705791396,,0.00010454514995217323,0.00010454514995217323,,,
5,train,4.334950050236073e-05,0.8764559879603337,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.002768305828794837,0.05057193731423147,0.0317530802761515,0.8411943373968355,0.1235440120396661,3.246457894643148,,,,,
5,val,0.00015369669320837906,0.7227263741996679,,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.009689373662695289,0.09705183622380142,0.07547785341739655,0.33629561613258135,0.277273625800332,,8.917320519685745e-05,8.917320519685745e-05,,,
6,train,3.951955956258364e-05,0.8797269393962063,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0025238284918790064,0.046841280580331546,0.03004052521040042,0.8696711335113855,0.12027306060379381,3.2764411767323813,,,,,
6,val,0.0001549932482400133,0.7176665362217425,,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.009772489235425988,0.0974243647113755,0.0755028376976649,0.33506573624039754,0.2823334637782575,,9.977398440241814e-05,9.977398440241814e-05,,,
7,train,3.339711226248628e-05,0.8880677704225078,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.00213247766563048,0.04300169580363983,0.026991019025444984,0.8907927203056415,0.11193222957749228,3.3583054542541504,,,,,
7,val,0.0001412971857159088,0.7269827451079268,,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.008904566134636601,0.09309444238145494,0.07062770177920659,0.3929833581118427,0.2730172548920732,,9.637395851314068e-05,9.637395851314068e-05,,,
8,train,3.135655570611983e-05,0.8914704215438278,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.001998670408890272,0.04140742772222789,0.02556126533697049,0.8977497455888076,0.10852957845617218,3.353759487469991,,,,,
8,val,0.0001426513323773785,0.7272866565197811,,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.008988630026578903,0.093664175094881,0.07059878359238307,0.3863346418094559,0.272713343480219,,8.838297799229622e-05,8.838297799229622e-05,,,
9,train,2.824955134238769e-05,0.8953182699834321,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.001800971357927968,0.03902856382474318,0.02371470971653859,0.9092347691492784,0.10468173001656789,3.239441990852356,,,,,
9,val,0.00014065356299397536,0.7359879072475332,,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0088658113963902,0.09315369164176063,0.07156165565053622,0.38267494090000725,0.2640120927524668,,0.00010048411786556244,0.00010048411786556244,,,
10,train,2.6500745021773807e-05,0.8963641891052485,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0016835992379734914,0.037817201598896316,0.023399613021562498,0.9137843380614279,0.10363581089475149,3.3557772636413574,,,,,
10,val,0.00013206626802760488,0.7362720494793817,,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.008321440313011408,0.0901646833175369,0.06792392333348592,0.42697688426563907,0.26372795052061837,,0.0001051540020853281,0.0001051540020853281,,,
