round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011169174046533638,0.8058146395058443,0.007132295519113541,0.08445291894963454,0.05809997022151947,0.8118955029642997,0.19418536049415563,3.522303342819214,,,,,
1,val,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008640040115537145,0.7222715819613411,0.05456699803471565,0.23359580055025744,0.20291265845298767,-0.8278368865821615,0.2777284180386589,,0.10893022897653282,4.051694368943572,,,
2,train,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010096235241325579,0.8181243933721958,0.006437798961997032,0.08023589572003938,0.051687732338905334,0.8302098597748286,0.18187560662780416,3.150794506072998,,,,,
2,val,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018877098325485877,0.8383399816363128,0.011930741369724274,0.10922793310195096,0.08345171809196472,0.600365561354442,0.16166001836368712,,0.09722861088812351,3.606987335951999,,,
3,train,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.550640778360795e-05,0.8302808380330137,0.005462312139570713,0.07390745658978337,0.04952910169959068,0.8559388304403963,0.16971916196698636,3.090341091156006,,,,,
3,val,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001718647712320452,0.8619997989482071,0.01083706971257925,0.10410124741125464,0.07690833508968353,0.6369950127169619,0.13800020105179284,,0.06990262703038752,3.556969598866999,,,
4,train,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.247014369614396e-05,0.825319321371194,0.005901672411710024,0.07682234318028854,0.052367765456438065,0.8443510155231616,0.174680678628806,3.112592935562134,,,,,
4,val,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019956821090838625,0.8541330307256119,0.01257047988474369,0.11211815145079627,0.08475887030363083,0.5789346428752905,0.14586696927438816,,0.10566156380809844,3.6810431741178036,,,
5,train,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.281908332263135e-05,0.8304146131819712,0.0052856639958918095,0.07270257214082462,0.04889342933893204,0.8606008932012814,0.16958538681802887,3.357947826385498,,,,,
5,val,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016838543790045882,0.8630646104212221,0.010623188689351082,0.10306885411874472,0.07983402907848358,0.6441624334152607,0.13693538957877796,,0.10251977504231036,3.732463358901441,,,
6,train,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.641419249168152e-05,0.8316153847127226,0.0055191488936543465,0.07429097451005974,0.05160781741142273,0.8544374466557465,0.16838461528727747,3.212482213973999,,,,,
6,val,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000191394644710088,0.8563147864866998,0.012075700797140598,0.10988949357031635,0.08716417849063873,0.5955058686711061,0.14368521351330027,,0.07642881292849779,3.620506400009617,,,
7,train,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.710206768833507e-05,0.8352035235489595,0.004920403007417917,0.0701455843757675,0.04675824195146561,0.8702348813379629,0.16479647645104042,3.314340114593506,,,,,
7,val,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022789957953521804,0.8444515036526468,0.014373107813298702,0.1198878968591021,0.09707076102495193,0.518550407309051,0.15554849634735327,,0.08578639314509928,3.6604115460067987,,,
8,train,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.626311699891167e-05,0.8478831479974498,0.0042230114340782166,0.06498470153873308,0.04326889291405678,0.8886268225965541,0.1521168520025502,3.2953877449035645,,,,,
8,val,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022247727788132763,0.8438523586060569,0.01401524804532528,0.11838601287874036,0.0967673510313034,0.5305378197607128,0.15614764139394308,,0.08797385217621922,3.608333637006581,,,
9,train,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5807509885043e-05,0.8428752370647097,0.004202147014439106,0.06482396944371045,0.041243985295295715,0.8891804012380753,0.15712476293529035,3.1154091358184814,,,,,
9,val,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019760329135831836,0.8517989448611665,0.012452645227313042,0.11159142093957332,0.08970320224761963,0.5828779016193284,0.14820105513883358,,0.08086691191419959,3.666630910942331,,,
10,train,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.140373035834866e-05,0.8390884236880441,0.004531429149210453,0.0673158907629577,0.04355650395154953,0.8804953687528667,0.16091157631195585,3.22524356842041,,,,,
10,val,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001785572790461445,0.8549598380872636,0.011259675957262516,0.10611162027441913,0.08436368405818939,0.6228410041574326,0.14504016191273642,,0.08808880485594273,3.6960174781270325,,,
11,train,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.503948244686983e-05,0.8433542980131785,0.00414358451962471,0.06437068059003812,0.041204795241355896,0.8907256682148429,0.1566457019868215,3.123370885848999,,,,,
11,val,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016066324477902004,0.863036312094648,0.0101521797478199,0.10075802572410746,0.07822028547525406,0.6599379941451071,0.13696368790535193,,0.09929928090423346,3.6412484899628907,,,
12,train,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.223312052550891e-05,0.8592998656701141,0.003328339196741581,0.057691760215316544,0.03615279495716095,0.9122248173076735,0.14070013432988596,3.229534149169922,,,,,
12,val,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016565543685534428,0.8603599915776642,0.010477601550519466,0.10236015606924144,0.07771720737218857,0.6490377581286828,0.1396400084223358,,0.10309342504478991,3.646279187174514,,,
13,train,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9246773124130554e-05,0.8500812229673873,0.003785580862313509,0.06152707422195134,0.039094191044569016,0.9001662467739571,0.1499187770326127,3.337369203567505,,,,,
13,val,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014296857755712785,0.8638208258271572,0.009042937308549881,0.0950943600249241,0.07222304493188858,0.6970956460415313,0.13617917417284273,,0.06705934787169099,3.6105848459992558,,,
14,train,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0948157814049034e-05,0.8615791746018878,0.0032539882231503725,0.05704373956141351,0.03772632032632828,0.9141850519629536,0.1384208253981122,3.258803129196167,,,,,
14,val,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001403282769250971,0.8645736437274382,0.00887307245284319,0.09419698749346068,0.0719759464263916,0.7027855720990903,0.13542635627256183,,0.09670871403068304,3.5571262740995735,,,
15,train,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.929229137975545e-05,0.8525925759245359,0.003786066547036171,0.06153102101408826,0.04017480090260506,0.9001523015619615,0.1474074240754642,3.3491427898406982,,,,,
15,val,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013380259311692269,0.8668510921616434,0.00846357923001051,0.09199771317815737,0.06984835863113403,0.7165024911498522,0.13314890783835662,,0.09361051791347563,3.6606333272065967,,,
16,train,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.791125753240035e-05,0.8513417810435722,0.0037016458809375763,0.060841152856743075,0.038255855441093445,0.9023799869775978,0.1486582189564278,3.2753560543060303,,,,,
16,val,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001245513051372121,0.8728245085063399,0.007882812060415745,0.08878520180984974,0.06713532656431198,0.7359561153326649,0.12717549149366017,,0.06543896114453673,3.6596613489091396,,,
17,train,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.54241128341575e-05,0.8534262841262149,0.003535262309014797,0.059458071857526607,0.03827670216560364,0.9067687666546866,0.1465737158737851,3.2605907917022705,,,,,
17,val,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012201915745489717,0.872859676278942,0.0077199749648571014,0.08786338807977474,0.06644973903894424,0.7414108282009759,0.12714032372105805,,0.0959324010182172,3.7585365120321512,,,
18,train,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.785155597626384e-05,0.8515245193844573,0.003687512595206499,0.06072489271465615,0.03767840191721916,0.9027527179287306,0.1484754806155427,3.1820952892303467,,,,,
18,val,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012850345604103558,0.8695673207230046,0.008136383257806301,0.0902019027393896,0.06744199246168137,0.7274628554750016,0.13043267927699548,,0.07883700495585799,3.7938218591734767,,,
19,train,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.728833690332195e-05,0.8649496490033688,0.003020448610186577,0.05495860815365121,0.03349655866622925,0.9203459066743631,0.13505035099663126,3.1710433959960938,,,,,
19,val,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012321034395373868,0.8725618753167943,0.0078056324273347855,0.08834949024943373,0.0658966600894928,0.7385417360806692,0.12743812468320573,,0.10251850797794759,3.762800279073417,,,
20,train,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8949087022951916e-05,0.8649468356924166,0.0031244438141584396,0.05589672453872802,0.03310127556324005,0.9176014990647448,0.13505316430758335,3.1596853733062744,,,,,
