round,split,loss,forecast_accuracy,global_num_layers,local_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,inclusive_group_count,inclusive_beta,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,8.93167667193652e-05,0.8340244683940832,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.005699497337142627,0.07465716706805955,0.05101204911867777,0.6355890794004387,0.1659755316059167,3.441202720006307,,,,,
1,val,0.0006372346833813936,0.6508519616253727,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04036657822628816,0.1877753497052326,0.1659178708990415,-1.5036401318453596,0.5752990098977531,,8.709309622645378e-05,8.709309622645378e-05,,,
2,train,6.690322852200795e-05,0.8549727340998061,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0042635064261655016,0.06447557424303901,0.04065651508669058,0.7371612260703991,0.14502726590019407,3.2077585061391196,,,,,
2,val,0.00018419245922511132,0.7117205948202703,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.011628201541801294,0.10392641992735027,0.08120642292002837,0.23034118205417486,0.339348038228195,,9.489408694207668e-05,9.489408694207668e-05,,,
3,train,5.6135994332738505e-05,0.8602296899935147,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0035833355893070498,0.0589551513522134,0.036441463666657604,0.7816261093179094,0.13977031000648546,3.179187774658203,,,,,
3,val,0.0001586408167592405,0.7191424918523621,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.009996622878437241,0.09797642636401473,0.07554712891578674,0.3267141870160495,0.28622519248552797,,0.00010014395229518414,0.00010014395229518414,,,
4,train,4.9896621619848055e-05,0.8690811868613564,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.003185199573636055,0.05498226003114034,0.034125725738704205,0.8128471216595613,0.13091881313864362,3.1548333962758384,,,,,
4,val,0.0001682820960316652,0.712488496385371,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.010603476548567414,0.1009914494140875,0.07878182642161846,0.29144306454301344,0.28751150361462896,,8.954410441219807e-05,8.954410441219807e-05,,,
5,train,4.3350955361493715e-05,0.8777936040185097,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0027684761638132236,0.050732215924898585,0.031385282054543495,0.8418606106730752,0.12220639598149019,3.27109432220459,,,,,
5,val,0.0001583162993483711,0.7209918778437273,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.009975266177207232,0.09830403191390179,0.07636946874360244,0.31587225104716044,0.27900812215627263,,8.547306060791016e-05,8.547306060791016e-05,,,
6,train,3.9939575517821705e-05,0.8801467024197912,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0025505905893320837,0.047711135624478186,0.03016060559699933,0.8635615042038675,0.11985329758020868,3.2201592127482095,,,,,
6,val,0.00016457396486657672,0.7185699289022383,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01037300075404346,0.10007312942706695,0.07869275845587254,0.29560772186048284,0.2814300710977617,,9.723403491079807e-05,9.723403491079807e-05,,,
7,train,3.3824858038898586e-05,0.888115146265704,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0021597972857610634,0.043421486848750766,0.02687798533588648,0.8888162814546803,0.11188485373429614,3.2583126624425254,,,,,
7,val,0.00015655031408338496,0.7282866344666955,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.00985811185091734,0.09739803463937767,0.07539565054078896,0.35142851738864644,0.27171336553330455,,9.208405390381813e-05,9.208405390381813e-05,,,
8,train,3.211083006047921e-05,0.8888283873564783,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0020466956872648248,0.04221272449035505,0.026906142011284828,0.8935040476266227,0.11117161264352168,3.1821831464767456,,,,,
8,val,0.00015938922418475462,0.7258398672867873,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.010037004093949994,0.09812084346049021,0.07680713385343552,0.337307650662862,0.27416013271321277,,8.941395208239555e-05,8.941395208239555e-05,,,
9,train,2.99142617998311e-05,0.891825014594054,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.001907549798488617,0.04058706922824561,0.024943896879752476,0.9027217523559427,0.10817498540594599,3.2028087377548218,,,,,
9,val,0.00015471799391283034,0.7338190115365378,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.009746108902618289,0.09681598444175352,0.07551762896279494,0.3456863680154909,0.26618098846346205,,8.957413956522942e-05,8.957413956522942e-05,,,
10,train,2.9186745414096315e-05,0.8927228832393915,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.001854322967119515,0.039273051697894294,0.024447075712184112,0.9087111448737634,0.1072771167606085,3.3057320515314736,,,,,
10,val,0.00013738208751116568,0.7436649584526621,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.008651092338065306,0.09136355454044767,0.06909466348588467,0.4212091705668126,0.2563350415473379,,9.554391726851463e-05,9.554391726851463e-05,,,
11,train,2.779632744125283e-05,0.8947618343219698,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.001771014794940129,0.03847402916117674,0.023749958723783493,0.9120085210926144,0.10523816567803031,3.204629898071289,,,,,
11,val,0.00013639787842597192,0.7433391619615797,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.008595167736833295,0.0911689160563441,0.06889032386243343,0.41558204884039557,0.2566608380384202,,8.982396684587002e-05,8.982396684587002e-05,,,
12,train,2.447905280381274e-05,0.8991554672967738,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.00156095406661431,0.036027944454430416,0.0221517455453674,0.9210871835436543,0.10084453270322624,3.2054603894551597,,,,,
12,val,0.0001379426958010299,0.7396756475268039,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.008696458651684225,0.0916543755315315,0.0691059734672308,0.4116453794224414,0.26032435247319613,,8.9963898062706e-05,8.9963898062706e-05,,,
13,train,2.462934024632743e-05,0.8997094313654292,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.001570024323882535,0.035337655069330655,0.020992652357866366,0.9237660507523974,0.10029056863457071,3.245773116747538,,,,,
13,val,0.00013357007749921954,0.7431255647668308,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.008420685849462947,0.09030601688553982,0.06752661180992921,0.42057385570673633,0.2568744352331692,,8.715386502444744e-05,8.715386502444744e-05,,,
14,train,2.266214307979523e-05,0.9033703647898983,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0014458695513894781,0.034108792040988975,0.020590651780366898,0.9284240229963338,0.09662963521010169,3.1649701595306396,,,,,
14,val,0.0001248655498784501,0.7450830342064381,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.007870213594287634,0.08744756513456832,0.06413056577245395,0.4608051375865874,0.2549169657935619,,9.16940625756979e-05,9.16940625756979e-05,,,
15,train,2.3832035932862386e-05,0.9021880568847841,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0015223668354641025,0.03424093180026588,0.02043188487490018,0.9269918882014645,0.09781194311521589,3.2178006569544473,,,,,
15,val,0.00012512328794400673,0.7479076667178937,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.007889050291851163,0.08752826027334833,0.06493847320477168,0.4558964069975577,0.2520923332821064,,0.0001237550750374794,0.0001237550750374794,,,
16,train,2.2860206774057757e-05,0.9041788481219473,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0014601046035143856,0.033154104391130965,0.019188301637768745,0.9314028968271534,0.09582115187805262,3.2378212213516235,,,,,
16,val,0.00012477647578634787,0.7442296670052104,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.007869894034229219,0.08735552060618897,0.06471471240123113,0.45496485088648353,0.25577033299478963,,8.799415081739426e-05,8.799415081739426e-05,,,
17,train,2.302921337772232e-05,0.90320205909652,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0014705037222787116,0.033857489806830225,0.02060215873643756,0.928763590027812,0.09679794090348023,3.315105358759562,,,,,
17,val,0.00011548966419165178,0.7452634212619558,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.007280685473233461,0.08385028508986635,0.0608950046201547,0.5037620116115152,0.25473657873804434,,8.933409117162228e-05,8.933409117162228e-05,,,
18,train,2.3207439604881953e-05,0.9040659177401917,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0014811708194126065,0.033420153691570684,0.019321776771297056,0.9299473072688912,0.09593408225980828,3.2165098587671914,,,,,
18,val,0.00012551485936758885,0.7451111095590547,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.007920625774810711,0.08751216679625017,0.06562922149896622,0.45348776761046616,0.2548888904409453,,9.45639330893755e-05,9.45639330893755e-05,,,
19,train,2.068522375855838e-05,0.9071975606024592,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0013213215764456738,0.03208240563036064,0.018152237869799137,0.9354734510048102,0.09280243939754092,3.238305608431498,,,,,
19,val,0.00011868488157536679,0.7500517209186255,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0074882943493624525,0.08530630598183603,0.06280157839258511,0.48098975065558836,0.24994827908137457,,9.150407277047634e-05,9.150407277047634e-05,,,
20,train,2.0627124273289807e-05,0.9084287412660876,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0013157942060691614,0.03150348162996493,0.01745782761524121,0.9369532809690043,0.09157125873391224,3.1856640179951987,,,,,
20,val,0.00011428033515888576,0.7521703228529553,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.007208103158821662,0.08362014975055908,0.06135117510954539,0.5025089608173424,0.24782967714704482,,9.974394924938679e-05,9.974394924938679e-05,,,
21,train,2.0816372003721053e-05,0.9082659274962486,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0013298315995295222,0.031566518640766636,0.01780744766195615,0.9371462306591527,0.09173407250375135,3.2363157272338867,,,,,
21,val,0.00011729901477034825,0.7479972779498631,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.007401133111367623,0.08448573816764966,0.06330294348299503,0.4907762214457629,0.2520027220501368,,8.930405601859093e-05,8.930405601859093e-05,,,
22,train,2.1180189351771717e-05,0.9080622680673474,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0013442263492227842,0.03211799396472152,0.018967733718454838,0.934968896824648,0.09193773193265259,3.218417167663574,,,,,
22,val,0.00011057480090433576,0.748827092235727,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.006975562156488498,0.08196534929807094,0.060695743188261986,0.5266371851490125,0.2511729077642729,,8.726399391889572e-05,8.726399391889572e-05,,,
23,train,1.8730580980836857e-05,0.9113965798028614,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0011952280183322728,0.030205185227381096,0.016500775857518118,0.9421417258108592,0.08860342019713864,3.1934597492218018,,,,,
23,val,0.00010863529314519837,0.7518341042981245,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.006855897372588515,0.08140415148097523,0.06026218272745609,0.5329960759911574,0.24816589570187553,,8.780299685895443e-05,8.780299685895443e-05,,,
24,train,1.9401288191612396e-05,0.9106410545823111,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0012362325918123436,0.030621063277138316,0.017071021410326164,0.9404183993408115,0.08935894541768893,3.2010490894317627,,,,,
24,val,0.00010818590393076495,0.7508719200210953,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.006827382758880655,0.08107092968810291,0.06007250212132931,0.5364460659417118,0.2491280799789048,,6.531295366585255e-05,6.531295366585255e-05,,,
25,train,2.038638721543526e-05,0.9090386821321098,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0012993473598423104,0.031274595559291324,0.017689255066215992,0.9382078908289351,0.09096131786789033,3.228543440500895,,,,,
25,val,0.00010651702602141692,0.7554679398333826,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.006719914032146335,0.08049695787559663,0.05976014398038387,0.5433885449242569,0.24453206016661747,,8.88928771018982e-05,8.88928771018982e-05,,,
26,train,1.8370752711406854e-05,0.9118495169314502,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0011700273510844756,0.02982370042739667,0.01630412492280205,0.9428464766647219,0.08815048306854968,3.1949707667032876,,,,,
26,val,0.00010740126951228983,0.7482463241619589,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0067777088067183895,0.08075585949895764,0.059512260680397354,0.5385826210697118,0.2517536758380412,,9.070406667888165e-05,9.070406667888165e-05,,,
27,train,1.873509145449564e-05,0.9103382522804361,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0011954616153767954,0.029998218862321856,0.01629885317136844,0.9414515327699926,0.08966174771956405,3.1959002017974854,,,,,
27,val,0.00010774105794553179,0.7489559431468946,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.006800702695424358,0.08081555258122519,0.06051319278776646,0.536337565407739,0.2510440568531054,,9.202398359775543e-05,9.202398359775543e-05,,,
28,train,1.7083180706125833e-05,0.9151002999095122,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0010874169311136939,0.02885952774617711,0.015109558124095201,0.9460633997932634,0.08489970009048776,3.166829069455465,,,,,
28,val,0.0001042290326343694,0.7578558818540757,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.006577988620847464,0.0796438447407034,0.05924459484716257,0.5513520463139062,0.24214411814592438,,0.00011624512262642384,0.00011624512262642384,,,
29,train,1.7580495015005827e-05,0.9135535673350309,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0011214566378233333,0.029267586233282097,0.015607227260867754,0.9440353488698819,0.0864464326649691,3.208995501200358,,,,,
29,val,0.00010924594183355414,0.7537056461095827,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.006897505683203538,0.08138910826475086,0.061726395040750504,0.5233958759409304,0.2462943538904172,,8.684280328452587e-05,8.684280328452587e-05,,,
30,train,1.8245889831313304e-05,0.9127439914764055,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0011629753086405497,0.029456801032943222,0.015879140701144934,0.9435196776174086,0.08725600852359466,3.227335969607035,,,,,
30,val,0.00010279158414050471,0.754723907523244,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.006492408108897507,0.0789216882595041,0.059268649046619735,0.5614282696564573,0.24527609247675586,,9.21841710805893e-05,9.21841710805893e-05,,,
31,train,1.688851770867869e-05,0.915294721432025,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0010790602148820956,0.028580020439765663,0.014866647310554981,0.9471452251057927,0.0847052785679751,3.2281548182169595,,,,,
31,val,0.00010057859435619321,0.7593261260707146,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.006353373600480457,0.07817017370052201,0.05846145749092102,0.5711501267735016,0.24067387392928546,,0.0001024850644171238,0.0001024850644171238,,,
32,train,1.7617051346808073e-05,0.914149937664451,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.001125441577945215,0.028851475314726035,0.015113812095175186,0.9458198442779752,0.08585006233554907,3.211961507797241,,,,,
32,val,9.923617775105716e-05,0.7599121203991106,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.006269252587420245,0.07766817862060695,0.0581871842344602,0.5745526910142698,0.2400878796008894,,9.289407171308994e-05,9.289407171308994e-05,,,
33,train,1.7321506264306453e-05,0.914538636658602,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0011042414941281702,0.02908639646307644,0.01528639563669761,0.9451669191517601,0.08546136334139802,3.3714958826700845,,,,,
33,val,9.791503483332538e-05,0.7629460635668949,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.006182869042580326,0.0772531652610162,0.05727461104591688,0.5793299964864138,0.23705393643310504,,9.976397268474102e-05,9.976397268474102e-05,,,
34,train,1.6819408882297425e-05,0.9154832256163932,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.001074016181519255,0.028418652249032863,0.014415509688357512,0.9467892933797333,0.08451677438360675,3.4192760388056436,,,,,
34,val,9.559138379700016e-05,0.766659091824724,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.006036346545442939,0.07627950815517152,0.05654980863134066,0.5927100627163455,0.2333409081752759,,8.875294588506222e-05,8.875294588506222e-05,,,
