round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.031726113493521e-05,0.9158834884337134,0.0032082470133900642,0.05664138957855876,0.038736216723918915,0.7928687551642415,0.0841165115662866,3.7974157333374023,,,,,
1,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00047726696017232257,0.7752603337656078,0.030158596113324165,0.1736623048140389,0.1580268144607544,-0.9984018592578311,0.22473966623439223,,0.08328419318422675,4.790088176960126,,,
2,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.404788269729513e-05,0.9376928930082822,0.0021730102598667145,0.04661555813102225,0.026438796892762184,0.8597153364049752,0.06230710699171779,3.621680974960327,,,,,
2,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0001717006975735046,0.8614322538709912,0.0107955913990736,0.10390183539800248,0.08458301424980164,0.2846024328479357,0.13856774612900877,,0.1020429958589375,4.327855415875092,,,
3,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.313894030915489e-05,0.9388013315540618,0.002113917376846075,0.04597735721902766,0.025407439097762108,0.8635308225496778,0.061198668445938215,3.543213129043579,,,,,
3,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0001555278431624174,0.8680039912973968,0.009778939187526703,0.09888851898742697,0.07820874452590942,0.3519532787871923,0.13199600870260317,,0.12786365300416946,4.548658764921129,,,
4,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.9500357149699953e-05,0.9424067077839369,0.001882122945971787,0.043383440918993356,0.025502603501081467,0.8784943590310088,0.057593292216063116,3.6126537322998047,,,,,
4,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0002134448390934444,0.8301024034423139,0.013449335470795631,0.11597127002320717,0.09925442934036255,0.10863783752008219,0.16989759655768616,,0.1142210450489074,4.344664010917768,,,
5,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.6232451360708407e-05,0.9451190766319799,0.0016720702406018972,0.04089095548653635,0.023692386224865913,0.8920557195219911,0.05488092336802013,3.7731590270996094,,,,,
5,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00023062208241391067,0.8290110878067191,0.014555813744664192,0.12064747715830693,0.10509369522333145,0.035311160792901974,0.17098891219328097,,0.1001679499167949,4.677284485893324,,,
