round,client_id,weights,dominant_head_id,entropy
1,12162-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12163-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12164-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12165-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12166-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12167-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
2,12162-0,"[0.18889668583869934, 0.07490352541208267, 0.1516105979681015, 0.21903519332408905, 0.17830511927604675, 0.18724891543388367]",3,1.7486828565597534
2,12163-0,"[0.14419986307621002, 0.15967394411563873, 0.24667562544345856, 0.17074260115623474, 0.12662039697170258, 0.15208756923675537]",2,1.7673587799072266
2,12164-0,"[0.20024561882019043, 0.05192919075489044, 0.1369089037179947, 0.18983209133148193, 0.19902732968330383, 0.22205688059329987]",5,1.7187485694885254
2,12165-0,"[0.09338312596082687, 0.37881964445114136, 0.24521119892597198, 0.129545196890831, 0.0644516572356224, 0.08858916163444519]",1,1.5899999141693115
2,12166-0,"[0.20603515207767487, 0.03980317339301109, 0.1200866773724556, 0.1904439926147461, 0.23394672572612762, 0.20968428254127502]",4,1.6915578842163086
2,12167-0,"[0.22341598570346832, 0.05507439374923706, 0.13060292601585388, 0.1926746964454651, 0.19676080346107483, 0.2014712244272232]",0,1.7203104496002197
3,12162-0,"[0.17679600417613983, 0.12894152104854584, 0.1644541472196579, 0.17655588686466217, 0.17660591006278992, 0.17664650082588196]",0,1.7859375476837158
3,12163-0,"[0.1566096991300583, 0.1867421418428421, 0.18483921885490417, 0.1640341877937317, 0.15112704038619995, 0.15664780139923096]",1,1.7882537841796875
3,12164-0,"[0.18369732797145844, 0.10994528979063034, 0.15662914514541626, 0.17913900315761566, 0.18632963299751282, 0.18425966799259186]",4,1.7771567106246948
3,12165-0,"[0.12896130979061127, 0.28354302048683167, 0.19734609127044678, 0.1430353969335556, 0.11895416676998138, 0.12815997004508972]",1,1.7364845275878906
3,12166-0,"[0.1884777694940567, 0.09759847074747086, 0.15011417865753174, 0.1811339259147644, 0.19379015266895294, 0.18888552486896515]",4,1.7685743570327759
3,12167-0,"[0.18364191055297852, 0.11194277554750443, 0.15669019520282745, 0.1789197027683258, 0.18552863597869873, 0.18327675759792328]",4,1.7781779766082764
4,12162-0,"[0.17018847167491913, 0.15362992882728577, 0.1658564954996109, 0.1696282923221588, 0.17049337923526764, 0.17020338773727417]",4,1.7910898923873901
4,12163-0,"[0.16089753806591034, 0.1832306832075119, 0.17255252599716187, 0.16345936059951782, 0.1590632200241089, 0.1607966125011444]",1,1.7904467582702637
4,12164-0,"[0.1736844927072525, 0.14284415543079376, 0.16298387944698334, 0.17178398370742798, 0.17492954432964325, 0.17377395927906036]",4,1.7893540859222412
4,12165-0,"[0.14880713820457458, 0.22472698986530304, 0.1785021424293518, 0.15456826984882355, 0.14484815299510956, 0.1485472321510315]",1,1.7782795429229736
4,12166-0,"[0.1762208193540573, 0.13523229956626892, 0.16069145500659943, 0.17328771948814392, 0.17821528017520905, 0.17635247111320496]",4,1.7874146699905396
4,12167-0,"[0.17339736223220825, 0.1438388079404831, 0.16315680742263794, 0.17158131301403046, 0.17456494271755219, 0.1734607070684433]",4,1.789555311203003
5,12162-0,"[0.16800659894943237, 0.16188733279705048, 0.16618266701698303, 0.16770629584789276, 0.16819801926612854, 0.16801908612251282]",4,1.79166841506958
5,12163-0,"[0.16387352347373962, 0.1754828244447708, 0.16876661777496338, 0.16485588252544403, 0.16319076716899872, 0.16383039951324463]",1,1.791422963142395
5,12164-0,"[0.1696164608001709, 0.15667539834976196, 0.1650955080986023, 0.16878899931907654, 0.1701710820198059, 0.1696525514125824]",4,1.7913439273834229
5,12165-0,"[0.1587369441986084, 0.19292885065078735, 0.17145869135856628, 0.16115134954452515, 0.15709316730499268, 0.15863101184368134]",1,1.7889617681503296
5,12166-0,"[0.1708081215620041, 0.1528625190258026, 0.16424813866615295, 0.1695762276649475, 0.17164304852485657, 0.17086191475391388]",4,1.7909514904022217
5,12167-0,"[0.16948190331459045, 0.15712514519691467, 0.16517359018325806, 0.16869434714317322, 0.1700093150138855, 0.1695156842470169]",4,1.7913808822631836
6,12162-0,"[0.16720780730247498, 0.16479267179965973, 0.16641685366630554, 0.16706737875938416, 0.16730111837387085, 0.16721417009830475]",4,1.7917451858520508
6,12163-0,"[0.16540417075157166, 0.17079581320285797, 0.16747842729091644, 0.1658042073249817, 0.16513057053089142, 0.16538681089878082]",1,1.7916877269744873
6,12164-0,"[0.16792087256908417, 0.1624363213777542, 0.16598117351531982, 0.16756173968315125, 0.16816334426403046, 0.1679365634918213]",4,1.7916852235794067
6,12165-0,"[0.1632183939218521, 0.17817361652851105, 0.16866759955883026, 0.1642431765794754, 0.16252347826957703, 0.16317372024059296]",1,1.7912167310714722
6,12166-0,"[0.16845393180847168, 0.16068391501903534, 0.16564692556858063, 0.16792847216129303, 0.16880983114242554, 0.1684769093990326]",4,1.791609764099121
