round,split,loss,forecast_accuracy,global_num_layers,local_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,inclusive_group_count,inclusive_beta,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,8.826993608948577e-05,0.8351977826620808,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.005626737450559934,0.07409100571582923,0.0499136367191871,0.6388875076945745,0.1648022173379194,3.77722430229187,,,,,
1,val,0.0004437495396511319,0.6784433355225726,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.02811438761030634,0.1553066010047568,0.1334784341355165,-0.7704282414092255,0.5042880122945722,,9.712390601634979e-05,9.712390601634979e-05,,,
2,train,6.955994497012041e-05,0.8504232400254048,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.004439803616454204,0.06567658939124238,0.04091776007165512,0.7206843724559022,0.14957675997459535,3.624137759208679,,,,,
2,val,0.00017669005683274008,0.718754903588254,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.011151916037003199,0.102499774506747,0.08048628394802411,0.24183543595981968,0.3178977690596095,,8.098408579826355e-05,8.098408579826355e-05,,,
3,train,5.729399618095161e-05,0.8613467902674845,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.003654599112148086,0.059903822632816094,0.037687937108178936,0.767699185944815,0.1386532097325155,3.6280473470687866,,,,,
3,val,0.00015818653992027976,0.7237960630108011,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.009973265696316957,0.09735419565195674,0.0742630772292614,0.3278038454305242,0.2949453795134856,,9.460304863750935e-05,9.460304863750935e-05,,,
4,train,5.115710211419917e-05,0.8665625260424017,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.00326227507321164,0.05584190658632725,0.03459820461769899,0.8069311622910584,0.1334374739575983,3.634943127632141,,,,,
4,val,0.000170698998166093,0.7134297235682243,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.010759353404864669,0.10140311216078625,0.07909736223518848,0.2862226129944302,0.29698336670998265,,9.309384040534496e-05,9.309384040534496e-05,,,
5,train,4.257034897287129e-05,0.8778454691674438,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0027162629606512687,0.05028240436569395,0.03138694198181232,0.8435964155225543,0.12215453083255617,3.7812931140263877,,,,,
5,val,0.00016913093835076629,0.7142798461907734,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.010657402143503228,0.10075472616142864,0.07818061982591946,0.30254712887456503,0.29425158038843796,,0.0001363761257380247,0.0001363761257380247,,,
6,train,4.0296760323471665e-05,0.8780520087460195,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.002568624389823526,0.048739812415008375,0.031528045112888016,0.8554136859111615,0.12194799125398034,3.591227571169535,,,,,
6,val,0.00016971001726536392,0.7118033243455405,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.010689135951300463,0.10098780819232361,0.07800401126344998,0.30710689673861447,0.28819667565445956,,0.00010350393131375313,0.00010350393131375313,,,
7,train,3.401321115083466e-05,0.884565063521758,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0021713420283049345,0.04398845845510208,0.02763683007409175,0.8840200214248577,0.11543493647824185,3.6338565746943154,,,,,
7,val,0.00016987703080909947,0.7152811601984661,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0107059091484795,0.10122947297574134,0.07919457244376342,0.2852043369118188,0.284718839801534,,9.329407475888729e-05,9.329407475888729e-05,,,
