round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.00018760028190296425,0.8431274294080634,0.011973680928349495,0.10942431598300943,0.07956460118293762,-0.047275945421592386,0.15687257059193657,3.1421921253204346,,,,,
1,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0002042571759109732,0.8169566657388755,0.012942536734044552,0.113765270333457,0.08322121948003769,-0.05151125991782962,0.18304333426112449,,0.08142447308637202,3.7564274668693542,,,
2,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.00016948021245248503,0.8495581502700289,0.010805750265717506,0.1039507107513821,0.07534840703010559,0.05486712853425832,0.15044184972997107,2.9573252201080322,,,,,
2,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0002547526378592435,0.7873616910936727,0.015946082770824432,0.12627779999201932,0.0991956889629364,-0.2955381195530797,0.21263830890632723,,0.08083311095833778,3.39177355193533,,,
3,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.000138847093269852,0.8576281881953047,0.008864566683769226,0.0941518278302085,0.06818079948425293,0.2246345063497811,0.14237181180469524,2.943098783493042,,,,,
3,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.00026718584804766223,0.7851507653429941,0.016726497560739517,0.1293309613384959,0.10334326326847076,-0.3589470352126296,0.21484923465700595,,0.09445705194957554,3.4809262501075864,,,
4,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.00012187867205802018,0.8682919452116815,0.007771772798150778,0.08815765876060218,0.06476141512393951,0.3202400403998647,0.13170805478831846,2.9560344219207764,,,,,
4,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.00021592843053984815,0.8034450770993127,0.013527343049645424,0.11630710661711702,0.09031689167022705,-0.09902175433230889,0.19655492290068735,,0.07221466000191867,3.402064386056736,,,
5,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,9.34844710712692e-05,0.8841808261958768,0.005970848258584738,0.07727126411923606,0.05505501478910446,0.4777504623863402,0.11581917380412327,3.0053281784057617,,,,,
5,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0002095828959015889,0.798511523553902,0.013149429112672806,0.11467096019774495,0.08760406821966171,-0.06830989333809961,0.20148847644609805,,0.07077156682498753,3.3123796260915697,,,
6,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,9.897030791555478e-05,0.8825581246611551,0.006308252923190594,0.0794245108464043,0.05973773077130318,0.4482356134628156,0.11744187533884484,3.002000570297241,,,,,
6,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.00013275671673263365,0.8370453370159302,0.008344021625816822,0.09134561634701921,0.06428797543048859,0.32210018674667706,0.1629546629840698,,0.08440367691218853,3.4006765708327293,,,
7,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,8.676288146190301e-05,0.8866831858929851,0.005539349280297756,0.0744268048507912,0.053851597011089325,0.5154843772685238,0.11331681410701488,3.101583480834961,,,,,
7,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0001225828098522957,0.8453318113207708,0.007706756703555584,0.08778813532337718,0.060406457632780075,0.37387232537104126,0.1546681886792291,,0.0842867020983249,3.448411128949374,,,
8,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,9.093833453120377e-05,0.888388969652283,0.005800534039735794,0.07616123712057069,0.057256605476140976,0.4926552942858173,0.11161103034771705,2.855451822280884,,,,,
8,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.00011127620681648997,0.8546329216463349,0.006999651435762644,0.08366391955773196,0.056143809109926224,0.4313211571459722,0.14536707835366516,,0.08377902396023273,3.3726739899720997,,,
9,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,8.929392883205802e-05,0.8830063736820022,0.005687871016561985,0.075417975420731,0.05710004270076752,0.5024888998352314,0.1169936263179978,2.814415216445923,,,,,
9,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.00010530882483289334,0.8567836613772507,0.006626980844885111,0.08140627030447416,0.05444088578224182,0.4615988031186262,0.14321633862274932,,0.06679131905548275,3.340284131001681,,,
10,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,8.622008021845202e-05,0.885757488589096,0.005500898230820894,0.07416804049468272,0.05557253956794739,0.5188458684400666,0.11424251141090398,2.9759361743927,,,,,
10,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.00010795755013868829,0.8563796007061709,0.0067899939604103565,0.08240141965045479,0.054581671953201294,0.44835217764708896,0.14362039929382905,,0.07118490291759372,3.4144096770323813,,,
11,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,8.312419354893985e-05,0.889866937481684,0.00530259357765317,0.07281890947860431,0.053974419832229614,0.5361983299844424,0.11013306251831605,2.8682339191436768,,,,,
11,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.00010453489166627799,0.8589545852916054,0.006573982536792755,0.08108009951148774,0.053460776805877686,0.4659051093158874,0.14104541470839463,,0.08217012509703636,3.366714566014707,,,
12,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,9.698440652323344e-05,0.8850882591600343,0.006186585407704115,0.07865484986765987,0.061296314001083374,0.45889187013421673,0.11491174083996566,2.9284212589263916,,,,,
12,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.00010358219186791248,0.8580166000172154,0.006513782776892185,0.08070800937262786,0.053367629647254944,0.47079602822716776,0.14198339998278464,,0.07998712314292789,3.3743646941147745,,,
13,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,7.676524294023245e-05,0.8930633201548901,0.004894111305475235,0.06995792525136259,0.04825302213430405,0.5719220973515797,0.10693667984510992,2.9660325050354004,,,,,
13,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.00010334682642933154,0.8572281861950727,0.0064975786954164505,0.0806075597907321,0.05309265851974487,0.4721136604075074,0.14277181380492732,,0.08095975988544524,3.4304465958848596,,,
14,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,7.618975630365356e-05,0.8934703279409054,0.004864688962697983,0.06974732226184732,0.048177484422922134,0.5744944827618792,0.1065296720590946,2.895862340927124,,,,,
14,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,9.777587430592436e-05,0.8617470644885342,0.006150390952825546,0.07842442829135286,0.052005112171173096,0.5003195593320761,0.1382529355114658,,0.08280681888572872,3.3546579719986767,,,
15,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,9.541741843280166e-05,0.8840922567409242,0.006078587379306555,0.0779652959931953,0.06111094728112221,0.4683260492184587,0.1159077432590758,2.8867247104644775,,,,,
15,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,9.714119128402495e-05,0.8627891965029395,0.00611492246389389,0.07819796969163516,0.05278950557112694,0.5032008880491228,0.13721080349706052,,0.09254019404761493,3.379719323012978,,,
16,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,8.073304886643048e-05,0.8935363269982028,0.005145127885043621,0.07172954680634488,0.053100015968084335,0.5499713272390636,0.1064636730017971,2.841304302215576,,,,,
16,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,9.564934309726069e-05,0.8633387026836272,0.006018703803420067,0.07758030551254659,0.05204831436276436,0.5110183154915833,0.13666129731637275,,0.09049948817119002,3.4181173930410296,,,
17,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,8.178823423365284e-05,0.8916028876339916,0.005208676215261221,0.07217115916528721,0.05363142490386963,0.5444138569231309,0.10839711236600831,2.7514185905456543,,,,,
17,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,9.607527291157493e-05,0.8629152730422908,0.006040231324732304,0.07771892513881226,0.051301248371601105,0.5092696042293136,0.1370847269577092,,0.0865781910251826,3.3910283020231873,,,
18,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,8.145288576974461e-05,0.8891716416787376,0.00519379461184144,0.0720679860398599,0.05352379381656647,0.5457077638233498,0.1108283583212624,2.8039722442626953,,,,,
18,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,9.432815410731555e-05,0.8654178843148771,0.005932709202170372,0.07702408196252891,0.051383208483457565,0.5180043548539177,0.13458211568512293,,0.0938184519764036,3.3949545910581946,,,
19,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,7.821823379433737e-05,0.8922512031805575,0.004995877854526043,0.07068152413839165,0.05178753659129143,0.5630234665142542,0.10774879681944252,2.8656601905822754,,,,,
19,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,9.261426536271172e-05,0.867632834484715,0.0058295223861932755,0.07635130900117741,0.052170492708683014,0.526386842261364,0.13236716551528505,,0.06678408989682794,3.517890166025609,,,
20,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,7.708825523349587e-05,0.8908121116216906,0.004918672144412994,0.07013324564294023,0.050826407968997955,0.5697696744755771,0.10918788837830942,2.902034282684326,,,,,
20,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,9.313896961211071e-05,0.8675552336110248,0.00586336012929678,0.07657258079297563,0.05241081491112709,0.5236374706215945,0.13244476638897512,,0.08473775302991271,3.3583104840945452,,,
21,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,8.051791240522826e-05,0.8892422670266391,0.005131359212100506,0.07163350621113353,0.052971675992012024,0.551169173488979,0.11075773297336089,3.0481626987457275,,,,,
21,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,9.321409629979635e-05,0.8671590309842185,0.005863410886377096,0.07657291222342988,0.05145525187253952,0.5236338548934667,0.1328409690157815,,0.08055606693960726,3.465950007084757,,,
22,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,7.50954683684029e-05,0.8931508671180112,0.004788463935256004,0.06919872784420249,0.04881536588072777,0.5811601485768862,0.1068491328819888,2.9141249656677246,,,,,
22,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,9.24423445750327e-05,0.8672354026034119,0.005814405158162117,0.0762522469056625,0.05112409219145775,0.5276156986990597,0.13276459739658802,,0.08858826896175742,3.3536723551806062,,,
23,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,7.771767711571907e-05,0.8933358951873915,0.004954135045409203,0.07038561675093287,0.05092253535985947,0.5666719550392443,0.1066641048126084,2.8045217990875244,,,,,
23,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,9.271322461774169e-05,0.8658728309022363,0.005831025540828705,0.07636115203969035,0.05109354108572006,0.5262657320532359,0.1341271690977637,,0.07538871397264302,3.3603668669238687,,,
24,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,7.662216506186661e-05,0.8951801730119147,0.004893352743238211,0.06995250348084914,0.0503414086997509,0.5719915462640686,0.10481982698808529,2.806701183319092,,,,,
24,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,9.113981177772048e-05,0.8675186060231301,0.005730428732931614,0.07569959532871767,0.050363171845674515,0.5344384952634856,0.13248139397686992,,0.07273153495043516,3.367119831033051,,,
25,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,7.797419090845062e-05,0.894555510319269,0.004974517971277237,0.0705302628045383,0.051356203854084015,0.5648938369714978,0.105444489680731,2.9368908405303955,,,,,
25,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,9.220160873620398e-05,0.8676554668200311,0.005801421590149403,0.07616706368338878,0.05165732651948929,0.5286700686980875,0.13234453317996886,,0.07410527695901692,3.4133393249940127,,,
26,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,7.338537542532337e-05,0.8942253876709464,0.00468564173206687,0.06845174747270423,0.04692836478352547,0.5901535754805034,0.10577461232905361,2.8963305950164795,,,,,
26,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,9.146484590550191e-05,0.8681252495931542,0.005754245910793543,0.07585674598078633,0.051208943128585815,0.5325029826328537,0.13187475040684576,,0.08591192006133497,3.3791138441301882,,,
27,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,7.668778524192161e-05,0.8918626921239807,0.004890892654657364,0.06993491727783313,0.050809334963560104,0.5721974989622614,0.10813730787601925,2.830514907836914,,,,,
27,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,9.136120426194366e-05,0.8677959180921451,0.005746162962168455,0.07580344954003383,0.05094071105122566,0.5331599586827216,0.13220408190785488,,0.09470639890059829,3.3459401219151914,,,
28,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,7.506467428482403e-05,0.8941150828156001,0.004789894912391901,0.06920906669210257,0.0494111143052578,0.58103430723961,0.10588491718439991,2.9206783771514893,,,,,
28,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,9.244474086121921e-05,0.8675116316321975,0.005817195400595665,0.07627054084373379,0.051684122532606125,0.5273882559571202,0.13248836836780256,,0.10040086298249662,3.4332352851051837,,,
29,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,7.286560068633862e-05,0.8942301358762034,0.004653181880712509,0.06821423517648284,0.04733848571777344,0.5929920443166791,0.10576986412379667,2.9083218574523926,,,,,
29,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,9.249772711083692e-05,0.8684226605258306,0.005822543986141682,0.07630559603424694,0.05224413424730301,0.5269535169735049,0.13157733947416939,,0.09438206790946424,3.3952959650196135,,,
30,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,7.349384300146819e-05,0.8946868504296366,0.004683251958340406,0.06843428934635332,0.047903385013341904,0.5903615343249646,0.10531314957036336,2.9166512489318848,,,,,
30,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,9.218256675848996e-05,0.867764145354945,0.005800978280603886,0.07616415351465469,0.05167385935783386,0.5287060059117372,0.1322358546450551,,0.0908818959724158,3.492974648019299,,,
31,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,7.514358278035114e-05,0.8952971606365168,0.004788115620613098,0.06919621102786697,0.049263257533311844,0.5811943128513295,0.10470283936348325,2.9860751628875732,,,,,
31,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,9.12058793139755e-05,0.868344661825309,0.005738063715398312,0.07575000802243068,0.05108918994665146,0.5338175200997448,0.13165533817469105,,0.08657388598658144,3.3794695648830384,,,
32,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,7.706675700125101e-05,0.8908184259810646,0.004919725004583597,0.07014075138308398,0.05158921331167221,0.5696783851922863,0.10918157401893533,2.784271717071533,,,,,
32,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,9.070121436187241e-05,0.8692237617850066,0.005707539152354002,0.07554825710996914,0.05144602432847023,0.53629707970123,0.1307762382149934,,0.09761176886968315,3.4550078480970114,,,
33,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,7.180344148698013e-05,0.8954265790020697,0.004584037698805332,0.0677055219225532,0.04603153094649315,0.5990406488189612,0.10457342099793031,2.8229284286499023,,,,,
33,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,8.983344180677131e-05,0.8697655639429717,0.005652786698192358,0.07518501644737706,0.05109991878271103,0.540745350439567,0.1302344360570283,,0.06841771490871906,3.3965818390715867,,,
34,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,7.920017891588353e-05,0.8891851146592749,0.0050376951694488525,0.07097672272970099,0.053147777915000916,0.5593594779823063,0.11081488534072514,2.8930647373199463,,,,,
34,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,8.919557591632842e-05,0.8698760048024329,0.005611657164990902,0.0749109949539512,0.05086390674114227,0.5440872477832542,0.1301239951975671,,0.08193935197778046,3.340884072938934,,,
35,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,7.278138326002884e-05,0.8949518676107999,0.004636222962290049,0.06808981540795986,0.047507911920547485,0.5944768337610575,0.10504813238920013,2.918677568435669,,,,,
35,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,8.865545357638684e-05,0.8700425844306994,0.005576006136834621,0.0746726599019656,0.05017445236444473,0.546984181643854,0.12995741556930063,,0.07901842310093343,3.443566622911021,,,
36,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,7.165609876507337e-05,0.8958166711074913,0.004572218284010887,0.06761818012939189,0.0468534491956234,0.600074660096913,0.10418332889250868,2.879748821258545,,,,,
36,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,9.034852663830032e-05,0.869556268526287,0.005684917792677879,0.07539839383354184,0.05159837007522583,0.5381343436140497,0.130443731473713,,0.07840372016653419,3.469564199913293,,,
37,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,7.064993506509478e-05,0.896068187971208,0.004506160970777273,0.06712794478290895,0.04426615312695503,0.6058518849459751,0.10393181202879197,2.8752710819244385,,,,,
37,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,8.857032919184752e-05,0.8692966430769966,0.0055703213438391685,0.07463458544025799,0.050019484013319016,0.5474461877328558,0.13070335692300336,,0.07200237992219627,3.352426366880536,,,
38,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,7.189693678176932e-05,0.8949292396499452,0.004580484237521887,0.06767927480050216,0.04712596535682678,0.5993496996054521,0.10507076035005479,2.9239213466644287,,,,,
38,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,8.975461588769136e-05,0.8704276355910192,0.005649298895150423,0.07516181806709057,0.051547821611166,0.5410291630283748,0.12957236440898073,,0.08283973787911236,3.347600377164781,,,
39,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,7.039257012898238e-05,0.8963699758410432,0.004488457925617695,0.06699595454665673,0.045853883028030396,0.6074007051779987,0.10363002415895681,2.9257242679595947,,,,,
39,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,9.019654629403077e-05,0.8710927025429129,0.005677701439708471,0.075350523818408,0.052321307361125946,0.538720592491468,0.12890729745708704,,0.06977617717348039,3.3663377000484616,,,
40,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,7.048792489149914e-05,0.89697771299716,0.00448935991153121,0.06700268585311495,0.04536117613315582,0.6073228023125545,0.10302228700284002,2.9450478553771973,,,,,
40,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,8.921364521711993e-05,0.8710743023246657,0.005614510737359524,0.07493003895207531,0.05172320827841759,0.5438542898836136,0.1289256976753344,,0.07458688784390688,3.333380893804133,,,
