round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12165-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001720048216226728,0.5085288826932763,0.01095013227313757,0.10464287970587187,0.06272949278354645,0.42006927484804624,0.4914711173067236,2.4321935176849365,,,,,
1,val,12165-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028345149991594235,0.03394958149165084,0.01782485842704773,0.1335097690322612,0.10652602463960648,0.015773374377290567,0.9660504185083492,,0.06282307091169059,2.938478993019089,,,
2,train,12165-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001583844373266577,0.5196673582707736,0.010102957487106323,0.1005134691825246,0.06692760437726974,0.46494554581390435,0.4803326417292264,2.3193717002868652,,,,,
2,val,12165-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005763291388097471,0.0,0.036564648151397705,0.19121884883922324,0.17435957491397858,-1.0189904419954172,1.3960241015660824,,0.06536557199433446,2.602140422910452,,,
3,train,12165-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001571155949598492,0.5217938651326526,0.010016773827373981,0.10008383399617533,0.062357209622859955,0.4695108018933406,0.4782061348673475,2.2572784423828125,,,,,
3,val,12165-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005995826908996796,0.0,0.03797034174203873,0.1948598002206682,0.17861199378967285,-1.0966220094437058,1.4400990582901432,,0.0658958398271352,2.5580995860509574,,,
4,train,12165-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015613093726665785,0.5196204947515606,0.00995665229856968,0.09978302610449173,0.06176081299781799,0.47269853105568255,0.4803795052484394,2.2580008506774902,,,,,
4,val,12165-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004776899754964812,0.0,0.030199985951185226,0.1737814315489006,0.15648284554481506,-0.6675852290886297,1.3137112302599911,,0.06834605685435236,2.542577408021316,,,
5,train,12165-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015104065338770548,0.52567334467628,0.00959195476025343,0.09793852541392192,0.06086079776287079,0.4920176720300903,0.47432665532372,2.4289071559906006,,,,,
5,val,12165-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003750414843614374,0.0,0.023663891479372978,0.15383072345722418,0.13528525829315186,-0.30670122190600296,1.2116111516865793,,0.0643261568620801,2.670037421863526,,,
6,train,12165-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014871779359275697,0.5280725831902903,0.009503158740699291,0.09748414609924679,0.05829157680273056,0.4967204885178773,0.47192741680970973,2.261286735534668,,,,,
6,val,12165-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032991879458772587,0.0,0.0207819901406765,0.1441595995439655,0.1241292655467987,-0.14759383695151893,1.1802932995187754,,0.0705291151534766,2.590335455024615,,,
7,train,12165-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013555894196401247,0.5434338963442258,0.008626332506537437,0.09287805180201314,0.055998072028160095,0.5431646875810396,0.4565661036557742,2.259492874145508,,,,,
7,val,12165-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000300928783759366,0.0,0.018932465463876724,0.13759529593658615,0.1163429319858551,-0.04547908246329391,1.1467015097060298,,0.056950143072754145,2.7133168180007488,,,
8,train,12165-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001188984732159806,0.5657676568081875,0.0075876228511333466,0.08710696212779634,0.049977727234363556,0.59817878241041,0.4342323431918124,2.2999863624572754,,,,,
8,val,12165-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027923069219048293,0.0,0.01755157671868801,0.13248236380246245,0.11024320125579834,0.030768724009901383,1.1131579369763005,,0.06139907892793417,2.569357499014586,,,
9,train,12165-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010694427760242205,0.58711578765492,0.00681659858673811,0.08256269488539064,0.050981540232896805,0.6390092182173492,0.41288421234508,2.2967655658721924,,,,,
9,val,12165-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025646611617610694,0.0,0.01610701158642769,0.12691340191810985,0.10353385657072067,0.11053302154286293,1.0719687108584042,,0.06612345483154058,2.612665730062872,,,
10,train,12165-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010979417653356297,0.5748521266828129,0.007011109963059425,0.08373237105838713,0.04759851098060608,0.628714453659154,0.42514787331718706,2.3820064067840576,,,,,
10,val,12165-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022269702015712022,0.0036000379066943866,0.013964084908366203,0.11816972923877841,0.09255874156951904,0.22886863749103303,0.9963999620933056,,0.06783835613168776,2.7035944319795817,,,
11,train,12165-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.856460619778411e-05,0.5987179235382065,0.0062817540019750595,0.07925751700611784,0.04543990269303322,0.6673357766677986,0.4012820764617934,2.2774817943573,,,,,
11,val,12165-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002145049079500338,0.023314864076780628,0.013446789234876633,0.11596029162983608,0.0901346281170845,0.25743612608957395,0.9766851359232194,,0.06545337405987084,2.5468045969028026,,,
12,train,12165-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.338174144543802e-05,0.6083415858815947,0.00596030754968524,0.07720302811214881,0.042365849018096924,0.6843577673695701,0.3916584141184053,2.315432071685791,,,,,
12,val,12165-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020300698525514772,0.046601757644443076,0.012720424681901932,0.11278486016262082,0.0863303542137146,0.297545777507783,0.9533982423555569,,0.06954261707141995,2.5873022221494466,,,
13,train,12165-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.063217007694604e-05,0.6142758366465781,0.0057927872985601425,0.07611036262270823,0.04151162877678871,0.6932283101711592,0.38572416335342186,2.348597764968872,,,,,
13,val,12165-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018467607969132653,0.09301366552041546,0.011558787897229195,0.10751180352514414,0.07833634316921234,0.3616919326117868,0.9069863344795845,,0.07069062883965671,2.788464156910777,,,
14,train,12165-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.898893309433693e-05,0.6219707846908573,0.0056700268760323524,0.07529958084898183,0.040297731757164,0.6997275298817018,0.3780292153091427,2.3504042625427246,,,,,
14,val,12165-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001890199228332643,0.07622409974917765,0.011836455203592777,0.10879547418708545,0.08078357577323914,0.34635797589341394,0.9237759002508223,,0.0673602728638798,2.9086517239920795,,,
15,train,12165-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.146534439455394e-05,0.6134900944254866,0.005843703169375658,0.07644411795145299,0.042210325598716736,0.6905319269983595,0.3865099055745133,2.4600446224212646,,,,,
15,val,12165-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018410816779609434,0.08359174640342937,0.011529549024999142,0.10737573759932521,0.07934659719467163,0.3633048923468029,0.9164082535965706,,0.07638966105878353,2.743846144992858,,,
16,train,12165-0,1,3,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.380045248579524e-05,0.6299089122855516,0.00535167008638382,0.073155109776309,0.039801716804504395,0.7165882274558049,0.37009108771444843,2.448643445968628,,,,,
