round,split,loss,forecast_accuracy,global_num_layers,local_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,inclusive_group_count,inclusive_beta,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,9.802379720899133e-05,0.8218383430673585,3.0,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.006252335384488106,0.07822412395432436,0.05378511237601439,0.6054633830868441,0.17816165693264158,2.766972025235494,,,,,
1,val,0.0013212097959088471,0.5253620903391574,,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.08350419175500672,0.2517193558610865,0.23099828014771143,-4.500567328028146,0.4954208765089462,,8.838321082293987e-05,8.838321082293987e-05,,,
2,train,8.305518329093947e-05,0.8391065276359694,3.0,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0052932337469731765,0.07170105332428658,0.04759093622366587,0.6539191626169245,0.16089347236403068,2.4901551405588784,,,,,
2,val,0.00044981518052130315,0.6203890994000371,,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0284042206282417,0.16272099178601118,0.14330864200989404,-1.02101992095073,0.3813302570426605,,8.878298103809357e-05,8.878298103809357e-05,,,
3,train,6.56658069739364e-05,0.8506619298371899,3.0,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.004188308880353968,0.06398050137726553,0.04113897308707237,0.7358282417851669,0.1493380701628101,2.4979653358459473,,,,,
3,val,0.00034713964123511687,0.6631607287958243,,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.02190549826870362,0.14495207648846226,0.12524785846471786,-0.6222185287963643,0.3368392712041757,,8.74130055308342e-05,8.74130055308342e-05,,,
4,train,5.592648116143386e-05,0.8576225132344099,3.0,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0035704552040745816,0.05874786216528147,0.036566014091173805,0.7836854741033077,0.14237748676559034,2.558050592740377,,,,,
4,val,0.00030522120747870457,0.6749079282446792,,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.019257988625516493,0.13555829866598654,0.11339689915378888,-0.44616639881695724,0.3250920717553209,,8.549285121262074e-05,8.549285121262074e-05,,,
5,train,4.898786759816606e-05,0.8692390352520888,3.0,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.003121245924072961,0.0546324060338237,0.03326927125453949,0.817143823069128,0.13076096474791116,2.517186244328817,,,,,
5,val,0.00027413754287408665,0.6857263651719545,,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.017295633753140766,0.12879131668392682,0.10545967519283295,-0.3126027287552756,0.31427363482804554,,9.202281944453716e-05,9.202281944453716e-05,,,
6,train,4.548843899847953e-05,0.8743460653264596,3.0,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0028964964246066907,0.05212205960171432,0.031521077578266464,0.8314244991180154,0.12565393467354036,2.506542444229126,,,,,
6,val,0.0002511931719103207,0.7001079099407339,,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.015848758863285184,0.12301718680098024,0.09944929679234822,-0.18817476662331126,0.29989209005926615,,8.885306306183338e-05,8.885306306183338e-05,,,
7,train,4.058612453103568e-05,0.8799320669389595,3.0,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0025871797115541995,0.047966930189907,0.029071470722556114,0.8565850627249059,0.12006793306104044,2.5251291195551553,,,,,
7,val,0.00022633754997514188,0.7094089285553432,,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01428400546622773,0.11646397493126473,0.09289048984646797,-0.052900580782884205,0.2905910714446569,,9.649409912526608e-05,9.649409912526608e-05,,,
8,train,4.019403956230893e-05,0.8799925050914125,3.0,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.002556397240065659,0.04762777350380103,0.0290999220063289,0.858491907768219,0.12000749490858754,2.5001420974731445,,,,,
8,val,0.00021304810191698684,0.7167867023047715,,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.013446505879983306,0.1131433953368409,0.08968049411972363,0.025972590928591846,0.2832132976952285,,8.414313197135925e-05,8.414313197135925e-05,,,
9,train,3.745898157717376e-05,0.8837615184170693,3.0,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.002390280608475829,0.04566005579699602,0.02703577435264985,0.8690975788958569,0.11623848158293078,2.4898638327916465,,,,,
9,val,0.00020139738505046503,0.7227926134417401,,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.012712820355469981,0.1100360061904415,0.0868061501532793,0.07116441839084657,0.27720738655825994,,9.373389184474945e-05,9.373389184474945e-05,,,
10,train,3.60634878534823e-05,0.8850318988499918,3.0,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.002297182499508684,0.04473303684434781,0.026901773177087307,0.8740323826402724,0.11496810115000826,2.5362062056859336,,,,,
10,val,0.0001836857591115404,0.7304943257787231,,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.011590384257336458,0.10547158635697426,0.0825870508948962,0.15658895511624432,0.26950567422127686,,7.883296348154545e-05,7.883296348154545e-05,,,
11,train,3.7189255623570596e-05,0.8832173832493516,3.0,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0023741994615799436,0.04513620752626041,0.026255203721423943,0.8726159788528927,0.11678261675064844,2.488717198371887,,,,,
11,val,0.00018453062148182653,0.7325625534786221,,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.011644535853217045,0.10510756484973471,0.08218287179867427,0.15570294903081694,0.26743744652137796,,8.695409633219242e-05,8.695409633219242e-05,,,
12,train,3.490804982963688e-05,0.8866784702208322,3.0,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0022255441144807264,0.04350002273873265,0.02523023138443629,0.8807590641565752,0.11332152977916786,2.4827317794164023,,,,,
12,val,0.000177984499411347,0.7323379075116034,,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.011229083873331547,0.10415120599604819,0.0826308373361826,0.17191558183453967,0.2676620924883966,,9.029288776218891e-05,9.029288776218891e-05,,,
13,train,3.274742207710457e-05,0.8918247712140045,3.0,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0020883385926329843,0.04226981920639823,0.02469026204198599,0.8878877204991268,0.10817522878599556,2.5289777517318726,,,,,
13,val,0.00016747755944379605,0.7407032702942014,,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.010562696649382511,0.10113460800840479,0.08021454016367595,0.208844834303264,0.25929672970579865,,7.681292481720448e-05,7.681292481720448e-05,,,
14,train,3.2258606776497315e-05,0.8917157328812151,3.0,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.00205745881733795,0.041784589370008604,0.024686800626417,0.8906581540621258,0.1082842671187849,2.4960976441701255,,,,,
14,val,0.00015840146928288354,0.7455753268177103,,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.009986210304001967,0.09797925371714415,0.07744861952960491,0.2624908210543018,0.2544246731822898,,8.779298514127731e-05,8.779298514127731e-05,,,
15,train,3.057161947343e-05,0.8940316965782524,3.0,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0019514575299884502,0.0409472242512532,0.024068929255008698,0.8947422974087508,0.10596830342174747,2.499875823656718,,,,,
15,val,0.00014946500838656598,0.7479417873493801,,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.00941999062585334,0.09523094560029462,0.07453390210866928,0.31410028088539926,0.25205821265061995,,9.052292443811893e-05,9.052292443811893e-05,,,
16,train,3.074882456620546e-05,0.8936490155270134,3.0,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.001963745933608152,0.04042662265143324,0.023342558803657692,0.8981760662838358,0.10635098447298667,2.515050490697225,,,,,
16,val,0.00014897554986722147,0.7475029937124145,,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.009385938678557674,0.09410149418219096,0.07394925380746524,0.32689757907683453,0.2524970062875855,,8.665304630994797e-05,8.665304630994797e-05,,,
17,train,2.9656862004332546e-05,0.8955039847215652,3.0,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0018908182876960684,0.039662271859219285,0.023217986493060987,0.9019911215844425,0.10449601527843487,2.4927790562311807,,,,,
17,val,0.0001446940489889433,0.748269883719372,,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.009114720470582446,0.09292368397605134,0.07300111651420593,0.3493150772485342,0.251730116280628,,8.817296475172043e-05,8.817296475172043e-05,,,
18,train,2.942013941243025e-05,0.8949244933971869,3.0,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0018789728395252798,0.03946492018996768,0.022861811177184183,0.903555281154731,0.10507550660281305,2.484654943148295,,,,,
18,val,0.00013853271836220907,0.7485239113872607,,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.00872221759830912,0.09075311292800996,0.07069968432188034,0.3794226984672133,0.2514760886127392,,0.00010890397243201733,0.00010890397243201733,,,
19,train,2.7568719544339745e-05,0.8976580225305881,3.0,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0017571078108934064,0.038257474241430056,0.022266170320411522,0.9083838108907776,0.10234197746941175,2.5324434439341226,,,,,
19,val,0.00013205989550139444,0.750448698033393,,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.008313745842315257,0.08867219075737255,0.06893668447931607,0.41100133178515963,0.249551301966607,,8.971407078206539e-05,8.971407078206539e-05,,,
20,train,2.8557934269008858e-05,0.896192171305717,3.0,1.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0018211204539208363,0.038762636970017646,0.022261924265573423,0.9073296833582242,0.10380782869428277,2.482224464416504,,,,,
