round,split,loss,forecast_accuracy,global_num_layers,local_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,inclusive_group_count,inclusive_beta,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,0.0001864635455746606,0.7658311101603946,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009999999999999998,,,0.011894646178310117,0.10701861567137899,0.07698030583560467,0.25438123910543187,0.2341688898396055,3.5918617645899453,,,,,
1,val,0.0026435495140807084,0.3979352362126324,,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,,,0.16725160864492258,0.3842127693249354,0.3674580231308937,-11.306177714158316,0.7559662986876783,,9.373389184474945e-05,9.373389184474945e-05,,,
2,train,0.0001673364249770892,0.7803537585998567,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009999999999999998,,,0.010665921727195382,0.10142318325783065,0.07163183701535066,0.34018679019351405,0.21964624140014333,3.4281660318374634,,,,,
2,val,0.0014177712073433213,0.5688352518033736,,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,,,0.08975390577688813,0.2730562912899955,0.2507956586778164,-5.5429364073859135,0.6714150238429601,,9.168381802737713e-05,9.168381802737713e-05,,,
3,train,0.0001378005133858661,0.7981051447848769,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009999999999999998,,,0.008792487516378364,0.09203357007367884,0.06532525395353635,0.46805840942009214,0.20189485521512296,3.43621035416921,,,,,
3,val,0.0007839912262473566,0.6367820328069775,,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,,,0.04961924891298016,0.20115137541745423,0.1812141283104817,-2.746895885555621,0.5081722193531177,,8.517294190824032e-05,8.517294190824032e-05,,,
4,train,0.00013239802575431853,0.798898448123507,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009999999999999998,,,0.00844713121963044,0.0899244791498273,0.06260084609190623,0.4958685924085474,0.2011015518764931,3.442986528078715,,,,,
4,val,0.0005256440563243814,0.6590831065393727,,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,,,0.03324984728048245,0.16870674059271018,0.14950755362709364,-1.5349944092924979,0.417833661557,,8.680298924446106e-05,8.680298924446106e-05,,,
5,train,0.00012152880561645127,0.8061721314738306,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009999999999999998,,,0.007754238788038492,0.0858921025827841,0.05864244947830836,0.5317578719643787,0.1938278685261694,3.41279673576355,,,,,
5,val,0.00039697898318991065,0.6659025169232172,,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,,,0.025096215773373842,0.1510667730198264,0.13281884044408798,-0.9156199008506322,0.36575614046689053,,8.52139201015234e-05,8.52139201015234e-05,,,
