round,split,loss,forecast_accuracy,global_num_layers,local_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,inclusive_group_count,inclusive_beta,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,0.00010357444198519796,0.8238622288750218,3.0,2.3333333333333335,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.006606886939456065,0.08086910126321038,0.0555610420803229,0.5727313479478083,0.1761377711249781,2.797157804171244,,,,,
1,val,0.002268407948577078,0.4865929175249639,,2.3333333333333335,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.14351315749809146,0.30122835480358834,0.28405511441330117,-10.988372622983784,0.6495081230702487,,9.482400491833687e-05,9.482400491833687e-05,,,
2,train,8.399062552796717e-05,0.8418693058863502,3.0,2.3333333333333335,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.005352890895058711,0.07295745257904204,0.047981648395458855,0.6550975651938761,0.1581306941136497,2.6055742502212524,,,,,
2,val,0.00126390023190955,0.5683198959238375,,2.3333333333333335,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0799057218246162,0.22596847303145437,0.2086332067847252,-5.75066468853157,0.4741211423564145,,8.66639893501997e-05,8.66639893501997e-05,,,
3,train,6.654404915328038e-05,0.8543775819373437,3.0,2.3333333333333335,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.004247529820228617,0.06487943848965069,0.04313833514849345,0.7269352274581212,0.14562241806265624,2.610657572746277,,,,,
3,val,0.0006064620053318018,0.6318167632552293,,2.3333333333333335,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03831147860425214,0.16919266421531862,0.15140183890859285,-2.187654447973739,0.38267627984510316,,8.496316149830818e-05,8.496316149830818e-05,,,
4,train,6.507825559401575e-05,0.8558892578554327,3.0,2.3333333333333335,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.004151785047724843,0.06290985114480109,0.04201256235440572,0.7549175108902713,0.14411074214456726,2.5969621340433755,,,,,
4,val,0.00032220871798926964,0.6775354606983068,,2.3333333333333335,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.02032826266561945,0.1341835141851012,0.1153319093088309,-0.6066735630214319,0.3224645393016931,,9.275414049625397e-05,9.275414049625397e-05,,,
5,train,4.9976778951951455e-05,0.8710873812200687,3.0,2.3333333333333335,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0031925501534715295,0.055618988695381295,0.0357376995186011,0.7988788019065234,0.1289126187799313,2.597799221674601,,,,,
5,val,0.00019325030613496588,0.7185789714583324,,2.3333333333333335,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.012175294104963541,0.1087973927038331,0.0878606519351403,0.07154466758483215,0.28142102854166756,,8.536409586668015e-05,8.536409586668015e-05,,,
6,train,4.7338477761013795e-05,0.8726846794673949,3.0,2.3333333333333335,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.003021885990165174,0.05308854523037141,0.034392224003871284,0.8185331676071611,0.12731532053260503,2.590816060702006,,,,,
6,val,0.00014701734229068583,0.7391333394273351,,2.3333333333333335,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.009252890090768537,0.09567290554601338,0.07305239078899224,0.3190533303382655,0.2608666605726649,,8.514313958585262e-05,8.514313958585262e-05,,,
