round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12163-0,3,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00011829821986192783,0.8714486633198891,0.0075394934974610806,0.08683025680867862,0.06333532184362411,0.3950336206096599,0.12855133668011087,2.733898401260376,,,,,
1,val,12163-0,3,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00014960952669635887,0.8417657515150054,0.00949112605303526,0.09742241042509295,0.07080765068531036,0.003719461625207282,0.1582342484849945,,0.08268367499113083,3.551640221849084,,,
2,train,12163-0,3,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.039258509164764e-05,0.8961765341060204,0.005127031356096268,0.07160329151719401,0.043023668229579926,0.588606503562176,0.10382346589397957,2.491029977798462,,,,,
2,val,12163-0,3,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00010490841589133887,0.8651292344896084,0.006676972843706608,0.08171274590727329,0.054283782839775085,0.2991229524444998,0.13487076551039162,,0.0721168729942292,3.0752487760037184,,,
3,train,12163-0,3,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.399590709778879e-05,0.9090934616708172,0.00280962698161602,0.05300591459088335,0.033319126814603806,0.7745628576790122,0.09090653832918279,2.5276694297790527,,,,,
3,val,12163-0,3,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.844958478553162e-05,0.8656277602931967,0.0062721166759729385,0.07919669611778599,0.04963099956512451,0.3416030697790507,0.13437223970680334,,0.0691218189895153,3.082922149915248,,,
4,train,12163-0,3,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.1348346470131535e-05,0.9320852641415133,0.0013625654391944408,0.036912944060240455,0.025381598621606827,0.890672051863129,0.06791473585848669,2.483959436416626,,,,,
4,val,12163-0,3,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.07685822940946e-05,0.8737191728369729,0.005777580197900534,0.07601039532787955,0.046176910400390625,0.3935233955923989,0.12628082716302708,,0.09053715202026069,3.1041314559988678,,,
5,train,12163-0,3,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.36331888152347e-05,0.9497123692895187,0.0008707776432856917,0.029508941751369054,0.02077300474047661,0.9301305576725676,0.05028763071048126,2.500425100326538,,,,,
5,val,12163-0,3,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.37901215781877e-05,0.8702169497730837,0.005970385856926441,0.07726827199392025,0.04708445072174072,0.3732782342904061,0.12978305022691627,,0.06771249091252685,3.1308670870494097,,,
6,train,12163-0,3,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.1856300122135412e-05,0.9536069945752297,0.000757122877985239,0.027515865931953497,0.01885356195271015,0.939249955841132,0.04639300542477028,2.5108277797698975,,,,,
6,val,12163-0,3,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.177069756408605e-05,0.8723929111350047,0.0058476487174630165,0.07646992034429627,0.04498634859919548,0.38616443778481735,0.12760708886499525,,0.0662238399963826,3.0765357529744506,,,
7,train,12163-0,3,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.928956278937821e-06,0.9589543288569118,0.0006339697865769267,0.025178756652720697,0.016909154132008553,0.949131403250021,0.041045671143088235,2.606703042984009,,,,,
7,val,12163-0,3,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00010055800477255797,0.8670765476927812,0.00640859454870224,0.08005369790773091,0.05016907677054405,0.327277538342327,0.13292345230721878,,0.06992475991137326,3.1758974231779575,,,
8,train,12163-0,3,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.16180011780303e-05,0.9562008827184868,0.0007396266446448863,0.027196077743764563,0.019786573946475983,0.9406533532558856,0.043799117281513214,2.4796979427337646,,,,,
8,val,12163-0,3,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00010021386436954902,0.8646496631645861,0.006386968307197094,0.0799185104165305,0.05197296291589737,0.3295415602721957,0.1353503368354138,,0.11783311096951365,3.1417350308038294,,,
9,train,12163-0,3,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.150323079931404e-06,0.9619018537972802,0.0005189302028156817,0.0227800395701079,0.015102382749319077,0.958362193671384,0.03809814620271981,2.5065701007843018,,,,,
9,val,12163-0,3,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.945992447227385e-05,0.8650659678329947,0.00634014792740345,0.07962504585495352,0.05065690353512764,0.33445560031764976,0.13493403216700525,,0.08486480708234012,3.0618597390130162,,,
10,train,12163-0,3,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.077547303497203e-06,0.9659060730198874,0.000450780033133924,0.02123158103236601,0.013818233273923397,0.9638301455396356,0.034093926980112606,2.568274736404419,,,,,
10,val,12163-0,3,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00010020790806883117,0.8647193623651294,0.006392708979547024,0.07995441813650465,0.050659142434597015,0.32894112294595856,0.13528063763487067,,0.0814908491447568,3.189092872897163,,,
11,train,12163-0,3,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.872821234460297e-06,0.9626327283126808,0.0005648662336170673,0.023766914684431956,0.016528258100152016,0.9546759708924146,0.0373672716873192,2.464407205581665,,,,,
