round,split,loss,forecast_accuracy,global_num_layers,local_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,inclusive_group_count,inclusive_beta,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,0.00010311303846547081,0.825575167705029,3.0,2.3333333333333335,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.006577813144152363,0.08074747766593932,0.056831310192743935,0.5755686795537891,0.17442483229497088,2.7999574343363443,,,,,
1,val,0.002899136205087416,0.44386831277283256,,2.3333333333333335,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.18342897513260445,0.33496268310095434,0.31818661093711853,-14.421260494229978,0.6932180635259307,,9.312410838901997e-05,9.312410838901997e-05,,,
2,train,8.506023185444831e-05,0.8410261156566711,3.0,2.3333333333333335,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.005420775540793936,0.07328387761919036,0.0482722744345665,0.6476484111851106,0.15897388434332885,2.606874465942383,,,,,
2,val,0.0021639173464791384,0.5139454561238408,,2.3333333333333335,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.13685597448299328,0.278287198795211,0.2603084606428941,-10.650861828540485,0.532468001585421,,8.5494015365839e-05,8.5494015365839e-05,,,
3,train,7.06007269496766e-05,0.8520952734069877,3.0,2.3333333333333335,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.00450655755897363,0.06658059424557657,0.044344254458944,0.7084280958475211,0.14790472659301235,2.610098203023275,,,,,
3,val,0.0016107502160593867,0.5515873889922444,,2.3333333333333335,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.10186048954104383,0.24713744642401608,0.2274681180715561,-7.63958788861137,0.47062203061219293,,8.683395572006702e-05,8.683395572006702e-05,,,
4,train,6.796913890990505e-05,0.856467678006594,3.0,2.3333333333333335,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.004335945161680381,0.06381195901941221,0.043190413465102516,0.7364422186063753,0.143532321993406,2.597148060798645,,,,,
4,val,0.0011575596763577778,0.5905983064747912,,2.3333333333333335,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.07318857319963475,0.21560798329363084,0.1950832692285379,-5.169043913029421,0.4142088433689233,,8.400389924645424e-05,8.400389924645424e-05,,,
5,train,5.3478658591620474e-05,0.8702722278529889,3.0,2.3333333333333335,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.003414830716792494,0.05644561444769821,0.037250702579816185,0.7874258118626899,0.1297277721470111,2.6108798583348594,,,,,
5,val,0.0008271520176397947,0.6326126834486846,,2.3333333333333335,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0522882672958076,0.18833679380787344,0.16645155226190886,-3.386330855607177,0.36738731655131535,,9.304285049438477e-05,9.304285049438477e-05,,,
