round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.027211238313185e-05,0.8987564962122955,0.004485089797526598,0.06697081302721804,0.04326566308736801,0.6077020359633826,0.1012435037877045,2.789997100830078,,,,,
1,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005144815588338242,0.7060492325252212,0.03273271769285202,0.18092185521061854,0.16403444111347198,-1.6593840714089567,0.29395076747477883,,0.07122679497115314,3.6105234341230243,,,
2,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.428827364246483e-05,0.9003053990141348,0.004095589742064476,0.06399679477961749,0.042708076536655426,0.6417634456352075,0.09969460098586522,2.5942327976226807,,,,,
2,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005394380036605536,0.6751660766410417,0.03416341915726662,0.18483349035623012,0.17368446290493011,-1.775548311011521,0.3248339233589584,,0.07077778596431017,3.2460316279903054,,,
3,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5821002953178514e-05,0.9081041073126533,0.0035626778844743967,0.05968817206511184,0.03835699334740639,0.6883789635624293,0.09189589268734664,2.626068592071533,,,,,
3,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003079756530151315,0.751444998166553,0.019461078569293022,0.13950296975080145,0.12591566145420074,-0.5810809102339527,0.2485550018334471,,0.08256652788259089,3.2548887450248003,,,
4,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.945809172215449e-05,0.9122630414625513,0.0031552778091281652,0.05617185958403162,0.034788262099027634,0.7240114720339964,0.08773695853744867,2.637866973876953,,,,,
4,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002367937905655,0.7836034625199728,0.014957099221646786,0.12229922003695194,0.10867345333099365,-0.2151646352557987,0.21639653748002718,,0.07008167821913958,3.3448456320911646,,,
5,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166095515141971e-05,0.914066241221364,0.0026619178242981434,0.05159377699197979,0.03386571630835533,0.7671597322991398,0.085933758778636,2.588707208633423,,,,,
5,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024403826789046727,0.7676470465371816,0.015412723645567894,0.12414799090427478,0.1095505803823471,-0.25216927384189924,0.2323529534628184,,0.08008586708456278,3.2490565669722855,,,
6,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1131004912088627e-05,0.9350351191550856,0.0013476108433678746,0.036709819440687456,0.02445649914443493,0.8821148241243301,0.06496488084491431,2.5958054065704346,,,,,
6,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022641952101984164,0.7785535998085861,0.014295395463705063,0.11956335334752477,0.10418462753295898,-0.16139338107123136,0.22144640019141396,,0.0742802550084889,3.239668974885717,,,
7,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7584492514638986e-05,0.9460262267870341,0.0011222220491617918,0.033499582820712734,0.02415749989449978,0.9018379165546607,0.053973773212965925,2.6571390628814697,,,,,
7,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019389737188961093,0.7997276858163787,0.012230338528752327,0.11059086096397083,0.09527024626731873,0.006368164422932726,0.2002723141836214,,0.08135673799552023,3.3912113870028406,,,
8,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4170266508176689e-05,0.9507272381976689,0.0009018514538183808,0.030030841710121627,0.021495208144187927,0.921114355255316,0.049272761802331075,2.672642707824707,,,,,
8,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001677281037426198,0.8160318829215265,0.010572348721325397,0.1028219272398908,0.08707865327596664,0.14106703701177195,0.18396811707847344,,0.07389161898754537,3.2620576478075236,,,
9,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.392909538614132e-05,0.9508959741609598,0.0008891122415661812,0.029817985202997555,0.021325692534446716,0.9222265970944383,0.049104025839040125,2.600872755050659,,,,,
9,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016258541129783268,0.8192584669997491,0.010244222357869148,0.10121374589387129,0.08520488440990448,0.16773094341138997,0.18074153300025092,,0.0762666929513216,3.230358432047069,,,
10,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1598627905685317e-05,0.9543521706712147,0.0007389616221189499,0.027183848552384003,0.018487732857465744,0.9353607944516518,0.045647829328785264,2.7421624660491943,,,,,
10,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001565167032309112,0.8202398422752366,0.009863878600299358,0.09931706097292327,0.08373521268367767,0.19863421141413262,0.17976015772476334,,0.07771577103994787,3.2595135930459946,,,
11,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1243482727290247e-05,0.9575798749876046,0.0007173706544563174,0.026783775955908782,0.019084805622696877,0.937250285807653,0.04242012501239542,2.584397315979004,,,,,
11,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014899756335664695,0.8190603698854243,0.009390200488269329,0.09690304684719325,0.08046720921993256,0.23712404037032145,0.1809396301145757,,0.08603574289008975,3.256347179878503,,,
12,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0159086874720254e-05,0.9599414886938703,0.0006479793810285628,0.02545543912464609,0.017273100093007088,0.9433218556307426,0.04005851130612966,2.5510916709899902,,,,,
