round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00010425933776261084,0.8147994044570253,0.00664818100631237,0.08153637842283878,0.05488711968064308,0.8246616748402478,0.18520059554297474,3.283724308013916,,,,,
1,val,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0016976133659663281,0.6013014709980735,0.10716317594051361,0.327357871358722,0.30119138956069946,-2.5896422364369363,0.39869852900192654,,0.10462152794934809,4.45421063201502,,,
2,train,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.313001366100695e-05,0.8223795629073786,0.005949107464402914,0.07713045743675395,0.05041440203785896,0.8431009408874728,0.17762043709262143,3.0521223545074463,,,,,
2,val,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0002419621719913036,0.8243136323955236,0.015313406474888325,0.12374734936510084,0.10149193555116653,0.4870592686449118,0.1756863676044764,,0.11247494700364769,4.072407323168591,,,
3,train,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.558542590018288e-05,0.8251022840441348,0.005458739120513201,0.07388328038543768,0.04743754863739014,0.8560376744191103,0.17489771595586523,3.0626397132873535,,,,,
3,val,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00017155140724459122,0.8508819403732929,0.010849805548787117,0.10416239988012525,0.08173056691884995,0.6365751855939215,0.14911805962670707,,0.11106197093613446,4.110397855984047,,,
4,train,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.304447886716838e-05,0.8246280782214335,0.00529860146343708,0.07279149307053044,0.04839158058166504,0.8602639678287443,0.1753719217785666,3.0958683490753174,,,,,
4,val,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0001340309589072482,0.8691246410103589,0.008460383862257004,0.09198034497791908,0.06754759699106216,0.7166095994884399,0.1308753589896411,,0.09810261917300522,4.159585549030453,,,
5,train,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.397241717323436e-05,0.8488346478132507,0.0040780785493552685,0.06385983518108443,0.041539646685123444,0.8924496654903009,0.15116535218674926,3.0295493602752686,,,,,
5,val,12164-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00016321165605001785,0.8635953995503306,0.010258152149617672,0.10128253625190116,0.07472911477088928,0.656389557733311,0.13640460044966943,,0.0931609149556607,4.075586170190945,,,
