round,client_id,weights,dominant_head_id,entropy
1,12162-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12163-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12164-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12165-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12166-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12167-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
2,12162-0,"[0.1516105979681015, 0.17830511927604675, 0.07490352541208267, 0.21903519332408905, 0.18889668583869934, 0.18724891543388367]",3,1.748682975769043
2,12163-0,"[0.24667562544345856, 0.12662039697170258, 0.15967394411563873, 0.17074260115623474, 0.14419986307621002, 0.15208756923675537]",0,1.7673588991165161
2,12164-0,"[0.1369088888168335, 0.19902731478214264, 0.051929183304309845, 0.18983207643032074, 0.20024560391902924, 0.22205685079097748]",5,1.7187484502792358
2,12165-0,"[0.24521124362945557, 0.06445160508155823, 0.37881970405578613, 0.12954522669315338, 0.0933830514550209, 0.08858918398618698]",2,1.590000033378601
2,12166-0,"[0.12008670717477798, 0.2339467704296112, 0.039803143590688705, 0.19044402241706848, 0.20603501796722412, 0.2096843272447586]",1,1.6915578842163086
2,12167-0,"[0.13060292601585388, 0.19676080346107483, 0.05507439374923706, 0.1926746964454651, 0.22341598570346832, 0.2014712244272232]",4,1.7203103303909302
3,12162-0,"[0.1644541174173355, 0.17660604417324066, 0.12894149124622345, 0.17655585706233978, 0.17679597437381744, 0.17664647102355957]",4,1.7859374284744263
3,12163-0,"[0.18483921885490417, 0.15112720429897308, 0.18674181401729584, 0.1640341877937317, 0.15660972893238068, 0.15664781630039215]",2,1.7882535457611084
3,12164-0,"[0.15662910044193268, 0.1863299310207367, 0.10994525253772736, 0.17913895845413208, 0.18369708955287933, 0.18425962328910828]",1,1.7771565914154053
3,12165-0,"[0.19734621047973633, 0.11895421892404556, 0.2835429012775421, 0.14303545653820038, 0.12896126508712769, 0.1281600296497345]",2,1.7364846467971802
3,12166-0,"[0.15011416375637054, 0.19379033148288727, 0.0975983738899231, 0.18113373219966888, 0.1884777694940567, 0.18888568878173828]",1,1.7685742378234863
3,12167-0,"[0.1566901057958603, 0.18552887439727783, 0.11194271594285965, 0.17891961336135864, 0.18364198505878448, 0.18327665328979492]",1,1.7781779766082764
4,12162-0,"[0.16585642099380493, 0.17049363255500793, 0.1536298543214798, 0.16962823271751404, 0.1701885461807251, 0.1702033132314682]",1,1.7910897731781006
4,12163-0,"[0.17255263030529022, 0.15906332433223724, 0.18323063850402832, 0.16345931589603424, 0.1608976423740387, 0.1607964038848877]",2,1.7904468774795532
4,12164-0,"[0.16298383474349976, 0.17492987215518951, 0.14284415543079376, 0.17178380489349365, 0.17368444800376892, 0.17377392947673798]",1,1.7893540859222412
4,12165-0,"[0.1785021722316742, 0.1448480486869812, 0.22472703456878662, 0.15456829965114594, 0.14880716800689697, 0.14854726195335388]",2,1.7782795429229736
4,12166-0,"[0.16069155931472778, 0.1782153844833374, 0.13523225486278534, 0.17328746616840363, 0.17622092366218567, 0.17635241150856018]",1,1.78741455078125
4,12167-0,"[0.16315677762031555, 0.17456506192684174, 0.1438387781381607, 0.17158143222332, 0.17339730262756348, 0.17346066236495972]",1,1.7895554304122925
5,12162-0,"[0.1661825031042099, 0.16819801926612854, 0.16188733279705048, 0.16770629584789276, 0.1680067628622055, 0.16801908612251282]",1,1.7916685342788696
5,12163-0,"[0.1687665581703186, 0.163190558552742, 0.17548276484012604, 0.1648559719324112, 0.16387362778186798, 0.16383050382137299]",2,1.7914228439331055
5,12164-0,"[0.16509555280208588, 0.17017094790935516, 0.1566755324602127, 0.16878902912139893, 0.16961650550365448, 0.16965241730213165]",1,1.7913438081741333
5,12165-0,"[0.17145875096321106, 0.15709304809570312, 0.19292889535427094, 0.16115139424800873, 0.15873683989048004, 0.15863105654716492]",2,1.78896164894104
5,12166-0,"[0.16424795985221863, 0.17164286971092224, 0.15286265313625336, 0.16957621276378632, 0.17080844938755035, 0.1708618849515915]",1,1.7909516096115112
5,12167-0,"[0.1651734858751297, 0.17000922560691833, 0.15712520480155945, 0.16869424283504486, 0.16948212683200836, 0.16951577365398407]",1,1.791380763053894
6,12162-0,"[0.16641679406166077, 0.16730107367038727, 0.16479246318340302, 0.1670674979686737, 0.16720807552337646, 0.16721412539482117]",1,1.7917453050613403
6,12163-0,"[0.16747836768627167, 0.1651306450366974, 0.1707957535982132, 0.16580414772033691, 0.16540440917015076, 0.16538675129413605]",2,1.7916878461837769
6,12164-0,"[0.1659812182188034, 0.16816338896751404, 0.16243603825569153, 0.16756178438663483, 0.16792108118534088, 0.16793644428253174]",1,1.7916853427886963
6,12165-0,"[0.16866765916347504, 0.16252335906028748, 0.17817367613315582, 0.16424307227134705, 0.1632184535264969, 0.16317376494407654]",2,1.7912167310714722
6,12166-0,"[0.1656469851732254, 0.16880972683429718, 0.1606840044260025, 0.1679285317659378, 0.16845417022705078, 0.1684766560792923]",1,1.7916098833084106
