round,split,loss,forecast_accuracy,global_num_layers,local_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,inclusive_group_count,inclusive_beta,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,9.201633047342785e-05,0.8313092756469734,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0058641124827166395,0.07567663477961956,0.05145162219802538,0.6230575344378915,0.16869072435302665,3.466570734977722,,,,,
1,val,0.0023184433327211687,0.4081865566302082,,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.14668082259595394,0.3442423175912068,0.3292280857761701,-10.541177525689816,0.7037404974428056,,8.982419967651367e-05,8.982419967651367e-05,,,
2,train,7.260893695197958e-05,0.8455985406038221,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.004634770176683863,0.06745142657904762,0.04379535342256228,0.7042429800643365,0.15440145939617791,3.205808440844218,,,,,
2,val,0.0011060345035123949,0.5603849403951168,,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.069941321387887,0.2230724851608398,0.20683207362890244,-4.7981001727610995,0.48181230758064125,,8.841394446790218e-05,8.841394446790218e-05,,,
3,train,6.333708316277917e-05,0.8544321994339658,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.00404030104012539,0.0630435127268792,0.039803108821312584,0.743475058134576,0.1455678005660342,3.2139020363489785,,,,,
3,val,0.0007308751943734629,0.617211743506787,,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.04619208831960956,0.1845696466701825,0.16730674480398497,-2.8244059344040666,0.40094615315218696,,8.628307841718197e-05,8.628307841718197e-05,,,
4,train,5.548630548325417e-05,0.8607595429072632,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0035374562333648405,0.058932396500541204,0.036709532452126346,0.7805857644406228,0.13924045709273689,3.259192188580831,,,,,
4,val,0.0005224937182598902,0.6506419891018703,,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.03300164376075069,0.15957014399118744,0.1404090995589892,-1.7206332869825232,0.3535036941703641,,9.421305730938911e-05,9.421305730938911e-05,,,
5,train,4.6884714661561247e-05,0.8716243296481875,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0029912786170219383,0.0539194680741354,0.03326531903197368,0.8145337121789221,0.1283756703518125,3.1981430053710938,,,,,
5,val,0.0004270809707425845,0.6643882732310191,,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.02695475084086259,0.14947668792842703,0.13014752666155496,-1.189223893613656,0.33561172676898093,,8.781277574598789e-05,8.781277574598789e-05,,,
6,train,4.249059318461532e-05,0.8791184186108116,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0027079786329219737,0.05064145634035222,0.03058753690371911,0.8364559871828472,0.12088158138918846,3.2114532788594565,,,,,
6,val,0.00040144400918507017,0.6723420100663792,,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.025322767129788797,0.14459199057975783,0.1257960113386313,-1.0516336385805085,0.3276579899336209,,0.00010345387272536755,0.00010345387272536755,,,
7,train,3.926089068430464e-05,0.8807544760607469,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.002506566136920204,0.04791879114154535,0.028658585002024967,0.8553047376017844,0.11924552393925313,3.2604660193125405,,,,,
7,val,0.0003648131193282704,0.6727194182399682,,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.02300750813446939,0.1401062053306713,0.12085035319129626,-0.8413257525198531,0.32728058176003183,,9.45038627833128e-05,9.45038627833128e-05,,,
8,train,3.7840302086324295e-05,0.8842527686172938,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0024147090152837336,0.047113247625233654,0.02871768642216921,0.8593315366233889,0.11574723138270605,3.2300459146499634,,,,,
8,val,0.00031308740775178495,0.6815856370395899,,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.019736460332448285,0.13163878282345567,0.11154096201062202,-0.5538664678420641,0.3184143629604102,,8.899299427866936e-05,8.899299427866936e-05,,,
9,train,3.506233592423388e-05,0.8897031331676956,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.002237686606046433,0.04484094857896464,0.026634504397710163,0.8737146474961509,0.11029686683230447,3.2905885775883994,,,,,
9,val,0.000291155140682046,0.6881577677887807,,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0183520606563737,0.1288358839069712,0.1080641324321429,-0.4359402586243697,0.31184223221121926,,0.00010048388503491879,0.00010048388503491879,,,
10,train,3.386723164705079e-05,0.8926109101104491,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0021582011152834943,0.04454023775115602,0.026892900777359802,0.8738772347470002,0.10738908988955076,3.391469717025757,,,,,
10,val,0.0002699164785250711,0.6882197107004995,,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.01701697924484809,0.1251681835424727,0.10433213040232658,-0.32840541460360906,0.31178028929950047,,8.560321293771267e-05,8.560321293771267e-05,,,
11,train,3.469694461444093e-05,0.8901719841951556,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0022123496358593306,0.044435070412705044,0.026053098651270073,0.8775903197280477,0.1098280158048444,3.442890167236328,,,,,
11,val,0.0002478139031154569,0.7048928964769655,,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.015627655278270442,0.11961523345745992,0.09964403323829174,-0.21617841910944938,0.2951071035230344,,0.00010813400149345398,0.00010813400149345398,,,
12,train,3.336445385490772e-05,0.890944285483081,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0021298715728335083,0.04350864611638494,0.02546688572814067,0.8819136173455733,0.10905571451691913,3.5548101663589478,,,,,
12,val,0.00024533421553011675,0.7096401082195753,,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.015480405030151209,0.1189785983352875,0.09927770122885704,-0.21173004651897445,0.29035989178042454,,0.0001004640944302082,0.0001004640944302082,,,
13,train,3.193839950151202e-05,0.8945270790974017,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0020358296072420976,0.042596147122864254,0.02487961978962024,0.8870178929891711,0.10547292090259822,3.477741837501526,,,,,
13,val,0.0002151991041804043,0.7146057022392219,,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.01357088191434741,0.11348779814694283,0.09308819907406966,-0.027525693751330835,0.28539429776077807,,0.00011929497122764587,0.00011929497122764587,,,
14,train,3.226781477550222e-05,0.8947648157964116,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.002057448999645809,0.04268352262828237,0.024954596379150946,0.8857522503162104,0.10523518420358832,3.5128092765808105,,,,,
