round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00012639958160952944,0.7847299287882268,0.007999114692211151,0.08943776994207286,0.06094549596309662,0.7654632130966316,0.2152700712117732,2.2746102809906006,,,,,
1,val,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.009196030752999441,0.014097171433095967,0.5267951488494873,0.725806550569425,0.7041409015655518,-17.308323760264237,0.985902828566904,,0.1443142220377922,8.225099727045745,,,
2,train,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00012695940609903954,0.7855393255464765,0.007842013612389565,0.08855514447162043,0.05962595343589783,0.7700691637392095,0.21446067445352343,2.2869837284088135,,,,,
2,val,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.006319414377212524,0.23043309584761584,0.36120709776878357,0.6010050729975444,0.5727238655090332,-11.554502829722676,0.7695669041523842,,0.0774644201155752,7.998293129960075,,,
3,train,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00010842583470850111,0.8050910958680851,0.006855502258986235,0.08279796047600589,0.05620440095663071,0.7989856390099392,0.19490890413191486,2.116666078567505,,,,,
3,val,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.004726715797469729,0.3537366888158898,0.26933205127716064,0.5189721103076356,0.4821774959564209,-8.360617814943856,0.6462633111841102,,0.062294947216287255,8.022967213066295,,,
4,train,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00010286703895111111,0.8068428365814546,0.006435844115912914,0.08022371292774297,0.0533456914126873,0.8112977134941363,0.19315716341854536,2.0945751667022705,,,,,
4,val,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00397261483328683,0.3330539687145977,0.22680532932281494,0.4762408312217831,0.4458411931991577,-6.884986711750724,0.6669460312854023,,0.09877248690463603,8.005455045029521,,,
5,train,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.251339960458064e-05,0.812569277303921,0.0058331722393631935,0.07637520696772739,0.04961451515555382,0.8289723532119774,0.187430722696079,2.143963575363159,,,,,
5,val,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0032723926788284664,0.3710676807351667,0.18771444261074066,0.43326024813123654,0.4050683081150055,-5.526655975880388,0.6289323192648333,,0.07657350180670619,8.230348147917539,,,
6,train,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.27007022133627e-05,0.8208404499136086,0.0052445316687226295,0.07241913882892166,0.04663943126797676,0.8462316281244062,0.1791595500863914,2.054316520690918,,,,,
6,val,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0027377925884156,0.4240280316662205,0.15729713439941406,0.39660702767275074,0.3688122034072876,-4.469148779070723,0.5759719683337795,,0.06741333194077015,7.955086198169738,,,
7,train,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.126884594285192e-05,0.8207082613441592,0.005038757808506489,0.07098420816284766,0.04610364884138107,0.8522702925911526,0.1792917386558408,2.1208770275115967,,,,,
7,val,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0023776763393765403,0.4441366558640001,0.13720160722732544,0.37040735309564987,0.3451700210571289,-3.7709801166925625,0.5558633441359999,,0.09420906309969723,7.917213829932734,,,
