round,client_id,weights,dominant_head_id,entropy
1,12162-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12163-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12164-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12165-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12166-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12167-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
2,12162-0,"[0.18054664134979248, 0.08326879143714905, 0.1510978490114212, 0.2273045927286148, 0.16935668885707855, 0.18842540681362152]",3,1.753552794456482
2,12163-0,"[0.11435362696647644, 0.17900434136390686, 0.26574453711509705, 0.1766504943370819, 0.11507732421159744, 0.14916972815990448]",2,1.7469639778137207
2,12164-0,"[0.20827634632587433, 0.05517058074474335, 0.12831325829029083, 0.1894904226064682, 0.19016006588935852, 0.22858937084674835]",5,1.7182775735855103
2,12165-0,"[0.06216493248939514, 0.3740236759185791, 0.25194090604782104, 0.13701657950878143, 0.08458245545625687, 0.0902714878320694]",1,1.586195707321167
2,12166-0,"[0.24136225879192352, 0.040115825831890106, 0.10386158525943756, 0.19171254336833954, 0.20303313434123993, 0.21991464495658875]",0,1.6807528734207153
2,12167-0,"[0.2063106745481491, 0.05546325072646141, 0.10620623081922531, 0.18273372948169708, 0.24525879323482513, 0.20402731001377106]",4,1.7037861347198486
3,12162-0,"[0.16246934235095978, 0.16992251574993134, 0.17445017397403717, 0.16683945059776306, 0.16227546334266663, 0.16404306888580322]",2,1.7914164066314697
3,12163-0,"[0.14265504479408264, 0.22801168262958527, 0.18452273309230804, 0.15374095737934113, 0.1442103087902069, 0.14685922861099243]",1,1.7755749225616455
3,12164-0,"[0.17086470127105713, 0.1474969983100891, 0.16919276118278503, 0.17148159444332123, 0.16969646513462067, 0.17126749455928802]",3,1.7903815507888794
3,12165-0,"[0.12283550202846527, 0.29504159092903137, 0.18676504492759705, 0.1385670304298401, 0.1280289590358734, 0.12876179814338684]",1,1.7320501804351807
3,12166-0,"[0.17785413563251495, 0.13107776641845703, 0.16413374245166779, 0.1750413328409195, 0.175180122256279, 0.17671291530132294]",0,1.7865517139434814
3,12167-0,"[0.1717354953289032, 0.14371401071548462, 0.1664404720067978, 0.17187261581420898, 0.17414040863513947, 0.17209699749946594]",4,1.78969144821167
4,12162-0,"[0.1648750603199005, 0.1717492789030075, 0.16768081486225128, 0.1655675768852234, 0.1649979054927826, 0.16512936353683472]",1,1.7916508913040161
4,12163-0,"[0.160125732421875, 0.1868722140789032, 0.169149711728096, 0.16224686801433563, 0.16069099307060242, 0.16091443598270416]",1,1.7901649475097656
4,12164-0,"[0.16696979105472565, 0.16523554921150208, 0.16694337129592896, 0.1669960618019104, 0.16687904298305511, 0.1669761687517166]",3,1.7917520999908447
4,12165-0,"[0.1555446833372116, 0.2018035501241684, 0.1701430231332779, 0.1589459627866745, 0.15673622488975525, 0.15682654082775116]",1,1.7870959043502808
4,12166-0,"[0.16872930526733398, 0.1599329262971878, 0.16625618934631348, 0.16816206276416779, 0.16841211915016174, 0.168507382273674]",0,1.791582465171814
4,12167-0,"[0.16729111969470978, 0.1640070676803589, 0.1667325347661972, 0.16723832488059998, 0.16744163632392883, 0.1672893613576889]",4,1.7917331457138062
5,12162-0,"[0.16621987521648407, 0.16807197034358978, 0.16681793332099915, 0.16635866463184357, 0.16626015305519104, 0.1662714034318924]",1,1.7917516231536865
5,12163-0,"[0.1651402860879898, 0.17154064774513245, 0.1671219766139984, 0.16559715569019318, 0.16528871655464172, 0.16531126201152802]",1,1.7916666269302368
5,12164-0,"[0.16670383512973785, 0.16652554273605347, 0.16667649149894714, 0.16669826209545135, 0.16669461131095886, 0.1667012870311737]",0,1.7917594909667969
5,12165-0,"[0.1641235202550888, 0.1748134195804596, 0.16738836467266083, 0.16487686336040497, 0.1643904447555542, 0.1644073873758316]",1,1.7915018796920776
5,12166-0,"[0.1671147495508194, 0.16522325575351715, 0.16655166447162628, 0.16698457300662994, 0.16706040501594543, 0.1670653522014618]",0,1.7917513847351074
5,12167-0,"[0.16678211092948914, 0.16625060141086578, 0.1666509509086609, 0.16675682365894318, 0.16678546369075775, 0.16677400469779968]",4,1.7917587757110596
6,12162-0,"[0.16656392812728882, 0.16699622571468353, 0.1666964590549469, 0.1665942668914795, 0.1665739268064499, 0.16657520830631256]",1,1.7917590141296387
6,12163-0,"[0.16632050275802612, 0.16777850687503815, 0.1667637974023819, 0.16642236709594727, 0.16635587811470032, 0.16635890305042267]",1,1.7917546033859253
6,12164-0,"[0.16667349636554718, 0.16664424538612366, 0.166665717959404, 0.16667160391807556, 0.16667239367961884, 0.16667254269123077]",0,1.7917593717575073
6,12165-0,"[0.1660928726196289, 0.1685105264186859, 0.16682583093643188, 0.1662616729736328, 0.16615277528762817, 0.16615626215934753]",1,1.7917460203170776
6,12166-0,"[0.16676679253578186, 0.16634491086006165, 0.1666392832994461, 0.16673752665519714, 0.1667558252811432, 0.16675564646720886]",0,1.7917590141296387
