round,split,loss,forecast_accuracy,global_num_layers,local_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,inclusive_group_count,inclusive_beta,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,5.412206918923705e-05,0.8956854969982845,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0034243250284572233,0.05447699339032104,0.03497774572244436,0.7801507417173073,0.10431450300171546,6.097412279402592,,,,,
1,val,0.0011804720300017339,0.6941998692165571,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.06949485369089634,0.1845025930405781,0.17129482520591746,-2.9991530392939105,0.31119453371608513,,7.360312156379223e-05,7.360312156379223e-05,,,
2,train,4.1740788099565395e-05,0.9099798261199811,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.002630773685228792,0.04677722328800087,0.03069993222163622,0.8359558013527544,0.0900201738800188,5.799820149789418,,,,,
2,val,0.0008121584491254584,0.7899482440110042,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.047358247209373476,0.1224039253354406,0.10421942411805918,-1.403683282787123,0.2100517559889959,,7.367297075688839e-05,7.367297075688839e-05,,,
3,train,2.8127494784043083e-05,0.924323096349934,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.001765204361520255,0.03500110206323105,0.022579410291173142,0.895757112548221,0.07567690365006598,5.6785316990748775,,,,,
3,val,0.0007286385323149976,0.7789619806648517,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0425622718610877,0.1285745458468238,0.11158320234286404,-1.3324023685118085,0.22103801933514824,,8.895294740796089e-05,8.895294740796089e-05,,,
4,train,2.410454878452737e-05,0.9316583763051034,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0015112178757350047,0.030307429004346086,0.018882621537681707,0.9124997671221642,0.06834162369489656,5.907342093998156,,,,,
4,val,0.0006731243781583136,0.7799767843318176,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.039332569576634155,0.1216537891764996,0.10491895230612933,-1.1582048998304648,0.22002321566818236,,7.805298082530499e-05,7.805298082530499e-05,,,
5,train,2.3690251640016498e-05,0.9344285125320245,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0014584811894106458,0.028989113722618552,0.01804271452296664,0.9161317431643144,0.06557148746797545,5.736779602338387,,,,,
5,val,0.0006341290546803726,0.7792357839404453,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.037121251224642916,0.11742656964184826,0.10101842162235776,-1.0393099297202137,0.22076421605955446,,8.973386138677597e-05,8.973386138677597e-05,,,
6,train,2.1365406725503726e-05,0.9378634095810513,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0013376552205940616,0.02758368948714147,0.01667465958111898,0.9221465001210247,0.062136590418948666,5.722450587874617,,,,,
6,val,0.0006246753509718908,0.7790077644678706,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.03659488662358148,0.11648326668843635,0.10151709315907276,-1.0112948492136966,0.2234945723174767,,8.391286246478558e-05,8.391286246478558e-05,,,
7,train,2.18478613449897e-05,0.936670899142446,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0013597972100414695,0.02799675598594001,0.01708643655161211,0.9213523598151458,0.06332910085755399,5.660148235761621,,,,,
7,val,0.0005789009000347046,0.7811068866881361,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0339872168048096,0.11376496233512513,0.09933669046893238,-0.9006026264973263,0.21889311331186376,,9.3432841822505e-05,9.3432841822505e-05,,,
