round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.6585612639863505e-05,0.9266839852063062,0.002327321795746684,0.048242323697627626,0.030118003487586975,0.8211069022515494,0.07331601479369373,7.292755603790283,,,,,
1,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.000284950307559879,0.8273655135105452,0.018227413296699524,0.13500893784005386,0.1265868991613388,-1.2863036303544564,0.1726344864894548,,0.1758401149418205,8.589469872880727,,,
2,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6333542391057623e-05,0.9473298470570517,0.0010402390034869313,0.032252736372080607,0.023350218310952187,0.9200406507832771,0.052670152942948335,6.869832277297974,,,,,
2,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.866028331387373e-05,0.9042543189832609,0.0037520714104175568,0.061254154229876984,0.04395823925733566,0.5293683846646715,0.0957456810167391,,0.18168123112991452,8.228051407029852,,,
3,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.54890369058837e-06,0.9586745527031979,0.0006058045546524227,0.02461309721779083,0.01662200689315796,0.9534340689863996,0.04132544729680211,7.103543996810913,,,,,
3,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.516015129053279e-05,0.9098763575996937,0.004167043603956699,0.06455264211445337,0.05544335022568703,0.47731722133942905,0.09012364240030635,,0.14996803691610694,8.096336136106402,,,
4,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.5193854668479435e-06,0.9645600977269452,0.0004802391049452126,0.021914358419657477,0.01459164172410965,0.9630857826263315,0.0354399022730548,6.78919529914856,,,,,
4,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.840736160149203e-05,0.9243002648334094,0.002456040121614933,0.04955845156595324,0.042831093072891235,0.6919328959736555,0.0756997351665906,,0.16217732103541493,8.077361166011542,,,
5,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.115886536895338e-06,0.9656579895828622,0.00039061871939338744,0.019764076487237835,0.011895153671503067,0.969974595665741,0.034342010417137775,7.223133563995361,,,,,
5,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.3848899858417095e-05,0.925512614127789,0.0021646569948643446,0.046525874466412175,0.03849293664097786,0.7284816594107116,0.07448738587221099,,0.17115764482878149,8.25793543108739,,,
6,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.267821869832579e-06,0.9680672694484858,0.00039888464380055666,0.01997209663006257,0.012831577099859715,0.9693391963423298,0.031932730551514237,6.967411518096924,,,,,
6,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.821135063264859e-05,0.9235801273325769,0.002443652367219329,0.0494333123229602,0.041020046919584274,0.6934864285701823,0.07641987266742309,,0.3421197319403291,8.17992308200337,,,
7,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.785537393636284e-06,0.9667423679147529,0.0003682308888528496,0.01918934310634029,0.011411082930862904,0.9716955060889939,0.03325763208524708,6.861414909362793,,,,,
7,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.066336437975656e-05,0.9169005605315834,0.0026002805680036545,0.05099294625733695,0.043595895171165466,0.6738400051697597,0.08309943946841654,,0.16253347601741552,8.121585570042953,,,
8,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.082064326982605e-06,0.9676865129225659,0.0003247694985475391,0.018021362283344153,0.010396614670753479,0.9750362390108922,0.03231348707743407,6.859191656112671,,,,,
8,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.374634881587761e-05,0.9257407429747717,0.002157932845875621,0.0464535557936701,0.040002696216106415,0.7293248549939332,0.07425925702522823,,0.15767925884574652,8.084781679091975,,,
9,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.561898636949611e-06,0.9701170685992407,0.000291618489427492,0.0170768407332121,0.009246297180652618,0.9775844247954428,0.02988293140075928,6.814811944961548,,,,,
9,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.739653009292339e-05,0.9235455413525215,0.0023912033066153526,0.04889993156043629,0.043043725192546844,0.7000655360108561,0.07645445864747852,,0.2544216529931873,8.160185738001019,,,
10,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.4208607965941256e-06,0.9686829124580526,0.0003464279288891703,0.018612574483106045,0.010995691642165184,0.9733713792994885,0.03131708754194744,6.795604944229126,,,,,
10,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.258509915480657e-05,0.9226194722307006,0.002723023761063814,0.05218260017538235,0.0469215027987957,0.6584439359410106,0.07738052776929934,,0.16220102203078568,8.203570861835033,,,
11,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.741926723061649e-06,0.9693976800952763,0.00030320126097649336,0.017412675296360793,0.009810568764805794,0.9766941007263392,0.03060231990472369,7.102262258529663,,,,,
11,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.313054360781602e-05,0.9193771551483015,0.0027579860761761665,0.052516531456067876,0.04688546434044838,0.6540588674960367,0.08062284485169849,,0.17239843495190144,8.439533446216956,,,
12,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.554465934940981e-06,0.9698390241282527,0.00029116193763911724,0.0170634679253403,0.00904963631182909,0.9776194859700447,0.030160975871747247,6.981163501739502,,,,,
12,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.44375267271206e-05,0.921302183696374,0.0028414460830390453,0.05330521628357815,0.04838051646947861,0.6435902136790166,0.07869781630362599,,0.1627403839956969,8.176948501029983,,,
13,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.21618157681993e-06,0.9708753851385065,0.0002696657320484519,0.01642150212521534,0.008245408535003662,0.9792718322972249,0.029124614861493512,6.918095827102661,,,,,
13,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.869929953723447e-05,0.927106375399454,0.0024744952097535133,0.049744298263755954,0.045147281140089035,0.6896175200200805,0.0728936246005461,,0.15562336589209735,8.049737753113732,,,
14,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.1251024358251955e-06,0.9672966585489381,0.00032612428185530007,0.018058911424980745,0.010685733519494534,0.9749320761601104,0.032703341451061935,6.798783540725708,,,,,
14,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.8831516528000976e-05,0.9281809637621157,0.002483004704117775,0.04982975721511971,0.04491611197590828,0.6885502499237205,0.07181903623788431,,0.16500147595070302,7.958001590101048,,,
15,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.471686790486203e-06,0.9703528490763771,0.00028589251451194286,0.016908356351577846,0.008545424789190292,0.9780245496859931,0.02964715092362286,7.3612165451049805,,,,,
15,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.553382776431629e-05,0.9302416909803818,0.0022721518762409687,0.047667094271005954,0.04336879402399063,0.7149983219372477,0.06975830901961819,,0.14986613299697638,8.504083851119503,,,
16,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.126918258109106e-06,0.9708187917628565,0.00026393216103315353,0.016245989075250343,0.008220951072871685,0.9797125547771139,0.029181208237143576,6.772567987442017,,,,,
16,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.902790256792908e-05,0.9284997711431188,0.0024955328553915024,0.04995530858068542,0.04523979127407074,0.6869794844480881,0.0715002288568812,,0.1539990899618715,8.072569011012092,,,
17,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.379540570123212e-06,0.9707624843877665,0.00027672096621245146,0.016634932107239014,0.008107328787446022,0.9787295213331483,0.02923751561223353,6.693831443786621,,,,,
