round,client_id,weights,dominant_head_id,entropy
1,12162-0,"[0.5, 0.5]",0,0.6931471824645996
1,12163-0,"[0.5, 0.5]",0,0.6931471824645996
1,12164-0,"[0.5, 0.5]",0,0.6931471824645996
1,12165-0,"[0.5, 0.5]",0,0.6931471824645996
1,12166-0,"[0.5, 0.5]",0,0.6931471824645996
1,12167-0,"[0.5, 0.5]",0,0.6931471824645996
2,12162-0,"[0.31563255190849304, 0.6843674778938293]",1,0.6235334873199463
2,12163-0,"[0.6101910471916199, 0.3898089528083801]",0,0.6686625480651855
2,12164-0,"[0.20941804349422455, 0.7905819416046143]",1,0.5131846070289612
2,12165-0,"[0.8574815988540649, 0.14251835644245148]",0,0.4095088839530945
2,12166-0,"[0.14251825213432312, 0.8574817776679993]",1,0.4095086455345154
2,12167-0,"[0.21187478303909302, 0.788125216960907]",1,0.5164300203323364
3,12162-0,"[0.5188383460044861, 0.4811617136001587]",0,0.6924372315406799
3,12163-0,"[0.5986236929893494, 0.4013763666152954]",0,0.6735657453536987
3,12164-0,"[0.482511043548584, 0.517488956451416]",1,0.6925353407859802
3,12165-0,"[0.6689252257347107, 0.3310747742652893]",0,0.6349371671676636
3,12166-0,"[0.4520915150642395, 0.5479084849357605]",1,0.6885497570037842
3,12167-0,"[0.4764866232872009, 0.5235133767127991]",1,0.6920410394668579
4,12162-0,"[0.5074822306632996, 0.49251776933670044]",0,0.6930352449417114
4,12163-0,"[0.5251685976982117, 0.4748314321041107]",0,0.6918797492980957
4,12164-0,"[0.49950745701789856, 0.5004925727844238]",1,0.6931467056274414
4,12165-0,"[0.5415989756584167, 0.45840102434158325]",0,0.6896822452545166
4,12166-0,"[0.4926930069923401, 0.5073069930076599]",1,0.6930403709411621
4,12167-0,"[0.4981963634490967, 0.5018036365509033]",1,0.6931406259536743
5,12162-0,"[0.5016884803771973, 0.49831151962280273]",0,0.6931414604187012
5,12163-0,"[0.5056610107421875, 0.4943389892578125]",0,0.6930830478668213
5,12164-0,"[0.49989771842956543, 0.5001022815704346]",1,0.6931471228599548
5,12165-0,"[0.5093725323677063, 0.4906274080276489]",0,0.6929714679718018
5,12166-0,"[0.4983680546283722, 0.5016319751739502]",1,0.6931418180465698
5,12167-0,"[0.4996090233325958, 0.5003910064697266]",1,0.693146824836731
6,12162-0,"[0.5003793239593506, 0.499620646238327]",0,0.6931469440460205
6,12163-0,"[0.5012726783752441, 0.49872732162475586]",0,0.6931439638137817
6,12164-0,"[0.49997639656066895, 0.500023603439331]",1,0.6931471824645996
6,12165-0,"[0.5021080374717712, 0.497891902923584]",0,0.6931383609771729
