run_index,num_residual_heads,head_scale,port,result_directory
0,1,0.0,8800,heads_1_scale_0p0
1,1,0.25,8801,heads_1_scale_0p25
2,1,0.5,8802,heads_1_scale_0p5
3,1,1.0,8803,heads_1_scale_1p0
4,1,2.0,8804,heads_1_scale_2p0
5,2,0.0,8805,heads_2_scale_0p0
6,2,0.25,8806,heads_2_scale_0p25
7,2,0.5,8807,heads_2_scale_0p5
8,2,1.0,8808,heads_2_scale_1p0
9,2,2.0,8809,heads_2_scale_2p0
10,4,0.0,8810,heads_4_scale_0p0
11,4,0.25,8811,heads_4_scale_0p25
12,4,0.5,8812,heads_4_scale_0p5
13,4,1.0,8813,heads_4_scale_1p0
14,4,2.0,8814,heads_4_scale_2p0
15,6,0.0,8815,heads_6_scale_0p0
16,6,0.25,8816,heads_6_scale_0p25
17,6,0.5,8817,heads_6_scale_0p5
18,6,1.0,8818,heads_6_scale_1p0
19,6,2.0,8819,heads_6_scale_2p0
20,8,0.0,8820,heads_8_scale_0p0
21,8,0.25,8821,heads_8_scale_0p25
22,8,0.5,8822,heads_8_scale_0p5
23,8,1.0,8823,heads_8_scale_1p0
24,8,2.0,8824,heads_8_scale_2p0
