round,split,loss,forecast_accuracy,global_num_layers,local_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,inclusive_group_count,inclusive_beta,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,5.4469367601970636e-05,0.8950555092405142,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0034229594474922457,0.05417054938720552,0.03413557499665209,0.7828792125272692,0.1049444907594858,6.490439328973057,,,,,
1,val,0.0011907889687201817,0.7065844941025459,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.07002662213227556,0.18286492018609254,0.16944875286302108,-2.9684334374189314,0.29775356615600623,,8.9223962277174e-05,8.9223962277174e-05,,,
2,train,3.8434639690661984e-05,0.9062894844860625,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.002405866761706791,0.04376852964997677,0.028851642173668313,0.852572935309549,0.09371051551393747,6.290730299041896,,,,,
2,val,0.000827705659704727,0.7906436295489674,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.04825963153987725,0.12417705752479641,0.10608158222734398,-1.4352645408756997,0.20935637045103273,,8.540297858417034e-05,8.540297858417034e-05,,,
3,train,2.767811712726605e-05,0.9256826294447296,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.001719687187566833,0.03343174676709519,0.021830847166867746,0.8991240814011349,0.07431737055527053,6.064161683148989,,,,,
3,val,0.0007261661619151088,0.7947492007543082,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.04240069327688713,0.1222555923236677,0.105076141549387,-1.2403277241319497,0.20525079924569178,,9.535392746329308e-05,9.535392746329308e-05,,,
4,train,2.4339763072688735e-05,0.9328175353605527,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0015256738096108024,0.03067511135753418,0.019514616021524135,0.9108585573548037,0.06718246463944728,6.040031827551311,,,,,
4,val,0.0006493382315797996,0.789479688204666,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.037959974149019984,0.1170955083817168,0.10138499153068693,-1.052101032525888,0.21052031179533406,,8.719414472579956e-05,8.719414472579956e-05,,,
5,train,2.2788172919076237e-05,0.9353636132736579,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.001410532434106037,0.028880679524553848,0.01751946540339354,0.9181246301996141,0.06463638672634221,5.982211581388256,,,,,
5,val,0.0006022482823739591,0.7839738419676456,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.03521655205499673,0.11093981463444545,0.09580978944539706,-0.8923503542646846,0.22297883786129938,,0.00010409392416477203,0.00010409392416477203,,,
6,train,2.1808289562720856e-05,0.9370943892570457,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0013797526610092427,0.027896690755354347,0.01671810515038443,0.9208350693664809,0.06290561074295434,5.918277631965642,,,,,
6,val,0.0005706248775033302,0.7857185840553488,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.033416290730370536,0.10867436497370413,0.0940981160809561,-0.7994699606131804,0.2246833890264111,,8.73231329023838e-05,8.73231329023838e-05,,,
7,train,2.132912259123663e-05,0.9383486350251998,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0013235960176891672,0.02725725585334238,0.01638467061453867,0.9234491457082429,0.061651364974800116,5.875833698705022,,,,,
7,val,0.0005320159034311852,0.7874147314984417,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.031211263668024083,0.10737514178194751,0.09435753119161545,-0.7031284050764542,0.2174525798753507,,0.0001300550065934658,0.0001300550065934658,,,
8,train,2.0076184730717867e-05,0.9387974644012033,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0012554752243604781,0.026853018758453327,0.01642625185693444,0.9264400443377392,0.06120253559879688,6.130694301686336,,,,,
8,val,0.0004940917230776393,0.7899045019528751,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.029060958273579563,0.10469669085459589,0.09149963855743408,-0.6087577026969845,0.21009549804712502,,8.764304220676422e-05,8.764304220676422e-05,,,
9,train,2.0460281740835252e-05,0.939422311097251,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0012752570394735337,0.027003015554180585,0.016570198602126496,0.9263158944949544,0.06057768890274888,6.09559576475866,,,,,
9,val,0.0004665457960765312,0.7974069507504904,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.027475149436684797,0.10305276620783667,0.09133598686086537,-0.5316474520005817,0.20259304924950966,,8.964282460510731e-05,8.964282460510731e-05,,,
10,train,1.9348540745862335e-05,0.9412471438320944,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0012045497156108604,0.02596519831067186,0.015487287169499505,0.9296393551826372,0.05875285616790564,6.011286240340146,,,,,
10,val,0.00043866114129511815,0.8073670742885969,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.02582612803012789,0.0983296576131545,0.0870002480561835,-0.4313809558608668,0.19263292571140309,,7.158308289945126e-05,7.158308289945126e-05,,,
11,train,1.8778756736356285e-05,0.9424595397473908,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0011686375697492481,0.02523541425851412,0.014597681162378123,0.9314068960291608,0.05754046025260917,5.947058804502277,,,,,
11,val,0.0004189356061596497,0.8078980072524795,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.02470255153207274,0.09810321696820477,0.0871232099333957,-0.383957448484346,0.1921019927475206,,9.196414612233639e-05,9.196414612233639e-05,,,
12,train,1.895363187194714e-05,0.9418865826396197,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0011759143626327787,0.025893781415157652,0.015290272414633318,0.9300775040178232,0.05811341736038041,6.219511362702227,,,,,
12,val,0.0003867335451276278,0.817853019701144,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.022803608787965255,0.092279815767024,0.08154435261049942,-0.2753863811481801,0.18214698029885595,,8.739391341805458e-05,8.739391341805458e-05,,,
13,train,1.833611063631961e-05,0.9424424456339314,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0011495540561785463,0.025313483773773713,0.014585194313155303,0.9322624318359988,0.05755755436606863,6.0193152858833905,,,,,
13,val,0.00036940664194261833,0.8214263891366054,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.02179257016744153,0.0908355469380656,0.08052403849957253,-0.22180338999568264,0.1785736108633946,,0.0001211951021105051,0.0001211951021105051,,,
14,train,1.8129369208696584e-05,0.9427186799773933,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0011293656877711079,0.025007665328738087,0.014168629453435383,0.9338026780136044,0.057281320022606816,5.982620679586739,,,,,
14,val,0.0003642009912705054,0.8241242330044658,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.02148567253567968,0.09070044499877998,0.08057728451129804,-0.2018467349081015,0.1758757669955342,,0.000127395149320364,0.000127395149320364,,,
15,train,1.8165383602137793e-05,0.941134540649634,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.001130079832694152,0.025966818939154,0.015223197978413872,0.9319674233010492,0.058865459350366,5.927394603786736,,,,,
15,val,0.0003718326001481822,0.8238295184244193,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.021936880875821307,0.09052485433370187,0.08008238270321986,-0.2087513798433261,0.1761704815755806,,9.506405331194401e-05,9.506405331194401e-05,,,
16,train,1.7807457213577373e-05,0.9425225716539494,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0011238175873507041,0.024993009850311637,0.013969739103470711,0.933422903261971,0.057477428346050616,6.269442889196052,,,,,
16,val,0.00036811498778327814,0.8259254650025233,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.02174035853091495,0.09126002500421432,0.08121529548458782,-0.20539263004092023,0.17407453499747663,,0.00011143414303660393,0.00011143414303660393,,,
17,train,1.738510092355589e-05,0.9434453028467897,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0011001568319212837,0.024792995455335018,0.01420324436703814,0.9347623007048477,0.056554697153210244,6.057863161011707,,,,,
17,val,0.000342572306737009,0.8339218723983912,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.020232468935142328,0.08639317744682092,0.07625631735630307,-0.11613534994450728,0.16607812760160878,,7.59628601372242e-05,7.59628601372242e-05,,,
18,train,1.7289204663645094e-05,0.9432558535796988,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.00108373514605711,0.024930808623920987,0.014302891245227654,0.9348863708150925,0.05674414642030116,5.969796289795506,,,,,
18,val,0.0003301671543343726,0.8341572346370245,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.019495345558474018,0.08547835802720209,0.07544270841689826,-0.07786133238223195,0.1658427653629756,,9.306310676038265e-05,9.306310676038265e-05,,,
