round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12162-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00013426188878599998,0.8646598754608603,0.008295446634292603,0.09107934252228989,0.06507346779108047,0.3093854299483663,0.1353401245391397,1.6792981624603271,,,,,
1,val,12162-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.006580147184903109,0.11783364435629418,0.38584262132644653,0.6211623147989956,0.6097220778465271,-23.985268312657176,0.8821663556437058,,0.06701355101540685,10.140764472074807,,,
2,train,12162-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.665804954040981e-05,0.884360621136312,0.006064905785024166,0.07787750499999449,0.055011086165905,0.4950893093092489,0.11563937886368797,1.483016014099121,,,,,
2,val,12162-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.004826558667396191,0.23015764355824742,0.2830658257007599,0.532039308416925,0.520898163318634,-17.32996457428757,0.7698423564417526,,0.06300720386207104,9.16880179499276,,,
3,train,12162-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.316082267288616e-05,0.8897553012736935,0.005424351431429386,0.07365019641134289,0.048823706805706024,0.5484098621072866,0.11024469872630646,1.4999618530273438,,,,,
3,val,12162-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00418321128132977,0.2738290156154537,0.24541622400283813,0.49539501814495285,0.4846835136413574,-14.891958420534827,0.7261709843845463,,0.06666465802118182,8.813760702032596,,,
4,train,12162-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.555966197639082e-05,0.8911857400174279,0.005281566176563501,0.07267438459707451,0.04835451394319534,0.5602959365363562,0.10881425998257205,1.556117296218872,,,,,
4,val,12162-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.003671719617984466,0.3065646653736901,0.21557579934597015,0.46430141001936465,0.4541228413581848,-12.959625121557766,0.6934353346263099,,0.061762794852256775,8.664172714110464,,,
5,train,12162-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.607031794418864e-05,0.8920624442979666,0.005204187706112862,0.07214005618318343,0.04952831566333771,0.5667383066953062,0.10793755570203344,1.521284580230713,,,,,
5,val,12162-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0032619798107992246,0.33603577454873323,0.19165508449077606,0.4377842899085988,0.42802679538726807,-11.410631712706573,0.6639642254512668,,0.05520747695118189,8.570708655985072,,,
