round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.633218663359495e-05,0.9246773130560135,0.0023200931027531624,0.048167344775824655,0.03108164668083191,0.8216629044139117,0.0753226869439865,7.791508436203003,,,,,
1,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00025405496303040654,0.8273282318564508,0.016251254826784134,0.12748040958039056,0.11863421648740768,-1.0384326686242187,0.17267176814354918,,0.16314538614824414,9.672291861847043,,,
2,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.502959686031347e-05,0.9485651151862995,0.0009593671420589089,0.030973652384872354,0.020731931552290916,0.9262568506581408,0.05143488481370048,7.426120281219482,,,,,
2,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.5531269492947756e-05,0.9319022188401144,0.0022727609612047672,0.047673482788703064,0.03181428089737892,0.7149219888093934,0.06809778115988567,,0.2881294710095972,9.282777030020952,,,
3,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.570474741390562e-06,0.9621978654385702,0.00048312568105757236,0.021980120132919483,0.013962849043309689,0.9628639433321959,0.03780213456142983,8.298459529876709,,,,,
3,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.684827936906556e-05,0.9139819043225265,0.00363544630818069,0.06029466235232344,0.05200377106666565,0.5439976278110172,0.08601809567747352,,0.16363642900250852,9.592742036795244,,,
4,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.629854209859136e-06,0.9667091410379827,0.00042294306331314147,0.020565579576397586,0.013050265610218048,0.9674899009707124,0.033290858962017326,7.967596530914307,,,,,
4,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.6959088617175726e-05,0.9058370669709593,0.003642772324383259,0.06035538355758547,0.05261118710041046,0.5430782817944997,0.09416293302904062,,0.18481276300735772,9.265847781905904,,,
5,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.12105987718058e-06,0.9654109195421671,0.00039133336395025253,0.019782147607129326,0.012244757264852524,0.9699196283731985,0.0345890804578329,8.030092239379883,,,,,
5,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.5012058760315965e-05,0.9140380976800039,0.002878684550523758,0.05365337408331146,0.045227423310279846,0.6389194807629353,0.0859619023199961,,0.21025071199983358,9.280594461830333,,,
6,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.412395556224427e-06,0.9678418230423441,0.0003393390215933323,0.018421156901599105,0.010474780574440956,0.9739163010117792,0.032158176957655896,7.762569904327393,,,,,
6,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.357551654723634e-05,0.9167858502177871,0.0027865958400070667,0.05278821686709134,0.045350879430770874,0.6504700294332673,0.08321414978221284,,0.16709546092897654,8.892233278835192,,,
7,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.260028799379233e-06,0.9675569111098428,0.00033560674637556076,0.0183195727672771,0.01095507200807333,0.9742031893867734,0.0324430888901572,8.16968035697937,,,,,
7,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.431116691384062e-05,0.9100228652467636,0.0028335964307188988,0.053231536054475254,0.045470111072063446,0.6445745916654175,0.08997713475323646,,0.16362040303647518,9.243866817094386,,,
8,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.6907711979682e-06,0.9700034408589798,0.00029987370362505317,0.017316861829588328,0.009568826295435429,0.976949831441945,0.029996559141020163,7.969584941864014,,,,,
