round,split,loss,forecast_accuracy,global_num_layers,local_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,inclusive_group_count,inclusive_beta,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,5.569945076303912e-05,0.8942679315166664,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.003452441906643602,0.05453527877850428,0.034763116230125055,0.7809928815030422,0.10573206848333364,7.0744354838869015,,,,,
1,val,0.0011070877611021896,0.7051783623809541,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.06507115443783988,0.17445220637981024,0.16063813093877347,-2.657228878055022,0.29713699820620915,,9.407405741512775e-05,9.407405741512775e-05,,,
2,train,3.693462345357311e-05,0.9109923427754545,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0023319474602830057,0.04314745059876943,0.02830498593217467,0.8564493714173101,0.08900765722454548,6.690297272451907,,,,,
2,val,0.0007486567049923919,0.7941900314860619,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.04369011947726069,0.11818753577936536,0.099397433852757,-1.2383337239125716,0.20580996851393799,,8.761417120695114e-05,8.761417120695114e-05,,,
3,train,2.9092872638965423e-05,0.9240470698495148,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0018201808047905727,0.0345087856648434,0.022443500761715116,0.8953034161664954,0.07595293015048525,7.145769694556443,,,,,
3,val,0.0006392068108345412,0.7944377621283042,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0373598699332828,0.11700128669500563,0.1006657104872936,-1.0410908393846667,0.20556223787169567,,8.857296779751778e-05,8.857296779751778e-05,,,
4,train,2.3325605572709173e-05,0.9341521593570435,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0014683466656029076,0.029846228793477394,0.01883111950102016,0.9144323938430816,0.06584784064295646,6.910056639394954,,,,,
4,val,0.000596036337426289,0.7907734769633392,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.03486940189450316,0.11458997200081966,0.09872234125366415,-0.9403698018414028,0.20922652303666084,,9.227404370903969e-05,9.227404370903969e-05,,,
5,train,2.2506886381070983e-05,0.9358148674153449,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0014011461991413872,0.02884260861765053,0.01799669089052286,0.9183262943891903,0.0641851325846551,6.7952545267776125,,,,,
5,val,0.0005560954135653188,0.7902461768425101,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.03263360693092952,0.10946277548885047,0.0933134063826443,-0.8100027922077013,0.20975382315748997,,6.910297088325024e-05,6.910297088325024e-05,,,
6,train,2.433254851266249e-05,0.9345727853250785,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0014437357586393174,0.028884746310759404,0.017494516316594814,0.9180321930320476,0.0654272146749216,6.6070790603052245,,,,,
6,val,0.0005241475570695251,0.7881045060546735,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0308426814984855,0.10731720454067502,0.09177101916066799,-0.7246969359807534,0.2118954939453265,,9.467406198382378e-05,9.467406198382378e-05,,,
7,train,2.0843796038710738e-05,0.9377635411293119,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0013023313344133103,0.02746434811134286,0.016863812424423825,0.9234775501314394,0.06223645887068815,6.622120471878686,,,,,
7,val,0.0004955088059775539,0.7904380314312114,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.02922496881263059,0.10446141822522595,0.08923169129935767,-0.6547281849572412,0.2095619685687888,,0.00011407490819692612,0.00011407490819692612,,,
8,train,1.9257134666178022e-05,0.9406317669758534,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0012153342575954692,0.02627683131934429,0.015608269786928414,0.9283910874766368,0.05936823302414676,6.831918057052345,,,,,
8,val,0.0004523302812904343,0.7991520993193582,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.026734638410774506,0.10045889687509643,0.08555278367233658,-0.5423828442643229,0.20084790068064184,,9.62638296186924e-05,9.62638296186924e-05,,,
9,train,1.8937594493763125e-05,0.9420371264423302,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0011828625791335664,0.025755045545883426,0.015187962854309461,0.9299512857793543,0.057962873557669846,7.001158819585992,,,,,
9,val,0.0004285959091944391,0.8071918301388054,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.025345933919911707,0.09565625740177193,0.0814603502825698,-0.46139668287544633,0.19280816986119478,,0.00013084616512060165,0.00013084616512060165,,,
10,train,1.958422201194887e-05,0.9395410783211641,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0012206360229201326,0.027014919036621773,0.016157881158266767,0.9274976456066639,0.06045892167883581,6.9598175673391465,,,,,
10,val,0.00040015143243495184,0.8146663538891192,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.02367238420674087,0.0927366413719316,0.07944284391281231,-0.3739099739750797,0.1853336461108807,,9.269383735954762e-05,9.269383735954762e-05,,,
