round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.633218663359495e-05,0.9246773130560135,0.0023200931027531624,0.048167344775824655,0.03108164668083191,0.8216629044139117,0.0753226869439865,7.6219213008880615,,,,,
1,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0002596419573783909,0.8322893302257842,0.01660856232047081,0.12887421123122658,0.12019427120685577,-1.0832492122899176,0.16771066977421575,,0.1758071689400822,8.971266105072573,,,
2,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4792581194210792e-05,0.9496533783502065,0.0009435606189072132,0.030717431841011923,0.020447280257940292,0.9274718481657861,0.05034662164979354,8.389185190200806,,,,,
2,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.7210247304874195e-05,0.9305833853817741,0.0023800907656550407,0.04878617391900128,0.03377392515540123,0.7014592564254158,0.06941661461822587,,0.2577762291766703,9.396920877043158,,,
3,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.592936990206753e-06,0.9620736207925402,0.0004846522933803499,0.022014819858003604,0.0140162892639637,0.9627465682465044,0.03792637920745978,7.508738994598389,,,,,
3,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.763633832948262e-05,0.8915713579811178,0.005604212172329426,0.07486128620541746,0.06733407825231552,0.29705195616110924,0.10842864201888229,,0.19312595902010798,8.898382673971355,,,
4,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.6407639614976285e-06,0.9660195911735385,0.0004236228414811194,0.020582100026020653,0.012968078255653381,0.9674376730319959,0.03398040882646147,8.348949193954468,,,,,
4,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0001092865838446187,0.8821844579187704,0.006989103276282549,0.08360085691117376,0.0764455571770668,0.12334198380487468,0.11781554208122953,,0.2128787818364799,9.361191746080294,,,
5,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.055444432785144e-06,0.9665276324711913,0.000387146370485425,0.019676035436170188,0.012207199819386005,0.9702415076673054,0.033472367528808694,7.835883378982544,,,,,
5,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.074794711192863e-05,0.898073633607343,0.005163968540728092,0.07186075800273813,0.06451800465583801,0.35227130221428227,0.10192636639265697,,0.16894019790925086,8.948912498075515,,,
6,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.340706228379946e-06,0.9679092194048201,0.00033473336952738464,0.018295719978382502,0.010310187935829163,0.9742702546506301,0.032090780595179884,7.583124876022339,,,,,
6,val,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.989183308320946e-05,0.8982374380962361,0.0051090531051158905,0.07147764059561487,0.06499435752630234,0.35915949008389336,0.10176256190376384,,0.1844799481332302,9.024928563041613,,,
7,train,12167-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.051513889747296e-06,0.9685848036517231,0.00032223970629274845,0.0179510363570672,0.010143319144845009,0.9752306871123791,0.03141519634827689,7.356709718704224,,,,,
