round,split,loss,forecast_accuracy,global_num_layers,local_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,inclusive_group_count,inclusive_beta,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,5.569945076303912e-05,0.8942679315166664,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.003452441906643602,0.05453527877850427,0.034763116230125055,0.7809928815030424,0.10573206848333364,6.672274390601748,,,,,
1,val,0.0011128413445508692,0.7032555325643755,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.06543589306504755,0.17661446892045893,0.16289515884798617,-2.6865766826175275,0.29674446743562455,,9.121396578848362e-05,9.121396578848362e-05,,,
2,train,3.668737518923229e-05,0.9117151762845618,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0023163340484723288,0.04298839382630384,0.028159971482356147,0.8576434570914603,0.08828482371543826,6.73958189686105,,,,,
2,val,0.0006032626746498708,0.8044764023115727,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.03533173197751129,0.11083292982583123,0.09302148577289861,-0.8473259887590892,0.19552359768842706,,7.791304960846901e-05,7.791304960846901e-05,,,
3,train,2.8524614725649185e-05,0.9236904401722416,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.001787406961939259,0.03436843687767074,0.021909783712238017,0.8968225256353898,0.07630955982775847,6.564200988617881,,,,,
3,val,0.00047915546027562343,0.7994154080869765,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.028294310528035955,0.11279840451944494,0.09742645436360955,-0.6596453241964056,0.20058459191302333,,8.861301466822624e-05,8.861301466822624e-05,,,
4,train,2.242150832619119e-05,0.9349193711298744,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.001412961988700349,0.029361335630878366,0.018174485456719208,0.917466698148506,0.06508062887012556,6.827341919008913,,,,,
4,val,0.0004141696169268128,0.8005862629991857,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.024597518383011593,0.11091998723994134,0.09597757196988499,-0.5331558661621112,0.19941373700081427,,6.739189848303795e-05,6.739189848303795e-05,,,
5,train,2.10710222336986e-05,0.9376405258367412,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0013108498022313478,0.028034777689009537,0.017426848140858642,0.9234370321239401,0.062359474163258787,6.621807956332126,,,,,
5,val,0.0003494200684371308,0.8079435074421002,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.020825209484263273,0.10158647045185588,0.08653042908771183,-0.2887507858084205,0.19205649255789992,,9.964313358068466e-05,9.964313358068466e-05,,,
6,train,2.2621854158503583e-05,0.9354693710463281,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0013393513021748309,0.028252365367870347,0.01690595167173273,0.9226832434626454,0.06453062895367187,6.646249245279855,,,,,
6,val,0.0002960327286772719,0.8140258984578461,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.017731994645524225,0.09590802673003165,0.08182262145446818,-0.132808025105461,0.18597410154215405,,9.137298911809921e-05,9.137298911809921e-05,,,
