round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.753697471124197e-05,0.8971860321198574,0.0049447836354374886,0.07031915553700491,0.045786723494529724,0.5675031691641574,0.1028139678801426,3.577164649963379,,,,,
1,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00014708690184401914,0.8304327268519319,0.009324043989181519,0.09656108941587972,0.06936920434236526,0.24247837572198866,0.1695672731480681,,0.1492963710334152,4.536829649005085,,,
2,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.165915295513051e-05,0.9052909644188355,0.003937079571187496,0.06274615184365888,0.04009486362338066,0.6556347607729511,0.09470903558116453,3.5083463191986084,,,,,
2,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00010889074952090091,0.856907753082835,0.006873319391161203,0.0829054846868481,0.0651889443397522,0.44158545389771264,0.14309224691716502,,0.09322287607938051,4.132061753887683,,,
3,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.775282709614853e-05,0.9090739013283122,0.003681458532810211,0.06067502396217253,0.04077983647584915,0.6779936888067909,0.09092609867168783,3.4382541179656982,,,,,
3,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00010071117646194577,0.8604702610424741,0.0063498253002762794,0.07968579108144865,0.06125099956989288,0.484117782529408,0.13952973895752585,,0.073981081135571,4.10808164300397,,,
4,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.240854847760877e-05,0.912531876498326,0.0033430452458560467,0.05781907337424257,0.03682974725961685,0.7075915436464806,0.087468123501674,3.4874188899993896,,,,,
4,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00012107486292774224,0.8342648601518121,0.007639637216925621,0.08740501825939756,0.07092466950416565,0.37933890220010386,0.16573513984818786,,0.09775575599633157,4.206317289965227,,,
5,train,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0362436916845725e-05,0.9210836487130377,0.0025745080783963203,0.05073961054636033,0.032729633152484894,0.7748126817607578,0.07891635128696228,3.448770046234131,,,,,
5,val,12162-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00011202346487084082,0.8469410990298041,0.00706351175904274,0.08404470095754246,0.06709586083889008,0.4261403262672039,0.15305890097019595,,0.07739764102734625,4.22849430097267,,,
