round,client_id,weights,dominant_head_id,entropy
1,12162-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12163-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12164-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12165-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12166-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12167-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
2,12162-0,"[0.1872490644454956, 0.07490351051092148, 0.1516105681657791, 0.21903514862060547, 0.17830507457256317, 0.18889664113521576]",3,1.7486828565597534
2,12163-0,"[0.15208755433559418, 0.15967391431331635, 0.24667559564113617, 0.17074258625507355, 0.12662038207054138, 0.14419999718666077]",2,1.7673588991165161
2,12164-0,"[0.22205689549446106, 0.05192919448018074, 0.13690891861915588, 0.18983212113380432, 0.19902735948562622, 0.2002454549074173]",0,1.7187485694885254
2,12165-0,"[0.08858923614025116, 0.3788195848464966, 0.2452111542224884, 0.1295451819896698, 0.06445164233446121, 0.09338318556547165]",1,1.5900001525878906
2,12166-0,"[0.20968428254127502, 0.03980317339301109, 0.1200866773724556, 0.1904439926147461, 0.23394672572612762, 0.20603515207767487]",4,1.6915578842163086
2,12167-0,"[0.20147119462490082, 0.055074386298656464, 0.1306028962135315, 0.1926746517419815, 0.19676077365875244, 0.22341614961624146]",5,1.7203103303909302
3,12162-0,"[0.17664651572704315, 0.1289416253566742, 0.1644541621208191, 0.17655591666698456, 0.1766059249639511, 0.1767958551645279]",5,1.785937786102295
3,12163-0,"[0.15664778649806976, 0.1867421269416809, 0.18483920395374298, 0.1640341728925705, 0.15112702548503876, 0.1566096842288971]",1,1.788253664970398
3,12164-0,"[0.18425965309143066, 0.10994527488946915, 0.15662913024425507, 0.17913898825645447, 0.18632961809635162, 0.18369731307029724]",4,1.7771565914154053
3,12165-0,"[0.12815988063812256, 0.28354308009147644, 0.19734613597393036, 0.1430354118347168, 0.11895418912172318, 0.12896133959293365]",1,1.7364845275878906
3,12166-0,"[0.18888558447360992, 0.09759850054979324, 0.15011420845985413, 0.18113397061824799, 0.1937900185585022, 0.18847765028476715]",4,1.7685742378234863
3,12167-0,"[0.18327678740024567, 0.11194279789924622, 0.15669022500514984, 0.17891956865787506, 0.18552866578102112, 0.1836419403553009]",4,1.7781779766082764
4,12162-0,"[0.17020350694656372, 0.153629869222641, 0.16585673391819, 0.16962823271751404, 0.17049331963062286, 0.17018841207027435]",4,1.7910897731781006
4,12163-0,"[0.1607966125011444, 0.1832306832075119, 0.17255252599716187, 0.16345936059951782, 0.1590632200241089, 0.16089753806591034]",1,1.7904468774795532
4,12164-0,"[0.17377428710460663, 0.14284417033195496, 0.16298387944698334, 0.17178381979465485, 0.17492955923080444, 0.17368431389331818]",4,1.7893540859222412
4,12165-0,"[0.14854730665683746, 0.22472688555717468, 0.17850224673748016, 0.1545683592557907, 0.1448480784893036, 0.14880706369876862]",1,1.7782795429229736
4,12166-0,"[0.1763526201248169, 0.13523216545581818, 0.16069144010543823, 0.17328770458698273, 0.17821526527404785, 0.17622080445289612]",4,1.78741455078125
4,12167-0,"[0.1734607219696045, 0.1438388228416443, 0.16315682232379913, 0.17158132791519165, 0.17456495761871338, 0.17339737713336945]",4,1.7895554304122925
5,12162-0,"[0.16801907122135162, 0.16188715398311615, 0.16618278622627258, 0.1677064150571823, 0.16819800436496735, 0.16800656914710999]",4,1.79166841506958
5,12163-0,"[0.16383057832717896, 0.17548266053199768, 0.16876661777496338, 0.16485588252544403, 0.16319075226783752, 0.16387352347373962]",1,1.7914230823516846
5,12164-0,"[0.16965265572071075, 0.1566753387451172, 0.16509562730789185, 0.16878893971443176, 0.17017102241516113, 0.16961640119552612]",4,1.7913438081741333
5,12165-0,"[0.15863098204135895, 0.19292865693569183, 0.1714588701725006, 0.16115134954452515, 0.15709315240383148, 0.158736914396286]",1,1.78896164894104
5,12166-0,"[0.17086192965507507, 0.15286239981651306, 0.16424815356731415, 0.1695762574672699, 0.17164307832717896, 0.17080815136432648]",4,1.7909513711929321
5,12167-0,"[0.16951581835746765, 0.1571251004934311, 0.16517353057861328, 0.1686941236257553, 0.17000927031040192, 0.16948217153549194]",4,1.7913808822631836
6,12162-0,"[0.16721388697624207, 0.16479253768920898, 0.16641688346862793, 0.16706740856170654, 0.16730114817619324, 0.16720815002918243]",4,1.7917451858520508
6,12163-0,"[0.16538675129413605, 0.1707957535982132, 0.16747836768627167, 0.16580414772033691, 0.1651306450366974, 0.16540440917015076]",1,1.7916877269744873
6,12164-0,"[0.16793663799762726, 0.16243606805801392, 0.16598108410835266, 0.16756181418895721, 0.16816343367099762, 0.16792096197605133]",4,1.7916852235794067
6,12165-0,"[0.1631736010313034, 0.17817366123199463, 0.16866764426231384, 0.16424305737018585, 0.1625235229730606, 0.1632184386253357]",1,1.7912167310714722
6,12166-0,"[0.16847693920135498, 0.16068394482135773, 0.16564695537090302, 0.16792833805084229, 0.16880986094474792, 0.16845396161079407]",4,1.791609764099121
