round,split,loss,forecast_accuracy,global_num_layers,local_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,inclusive_group_count,inclusive_beta,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,9.620858820485534e-05,0.8258342530911413,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.006133301765657961,0.07731013722188153,0.052711449563503265,0.6074976200906742,0.17416574690885867,3.6455500523249307,,,,,
1,val,0.0005228920175189463,0.6647256610129268,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.033134792310496174,0.1673033858046558,0.14487902944286665,-1.0632556745311734,0.5520201052192883,,8.78041610121727e-05,8.78041610121727e-05,,,
2,train,7.36572803951352e-05,0.8461633166535677,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.00470071107459565,0.0675824918987665,0.04331835980216662,0.7059813604389806,0.15383668334643238,3.453805446624756,,,,,
2,val,0.00019559169110531607,0.7190647858978957,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0123514241228501,0.10629767259376326,0.08479212783277035,0.17246537948549057,0.34373377493507756,,8.671404793858528e-05,8.671404793858528e-05,,,
3,train,6.182690716346425e-05,0.8597007203093389,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.003943981369957328,0.06220988120191249,0.03862619244803985,0.7494686585087528,0.14029927969066117,3.458085020383199,,,,,
3,val,0.00016391811732319184,0.7243334623330028,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.010336223679284254,0.09839254698038695,0.07567500323057175,0.31037311088528907,0.3079071431356818,,9.257392957806587e-05,9.257392957806587e-05,,,
4,train,5.510825230582717e-05,0.8602244931890557,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.003514203242957592,0.0582309953164749,0.03583873528987169,0.7892821622222229,0.13977550681094433,3.5202614068984985,,,,,
4,val,0.00016647632461778508,0.7134557919612274,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.010493384829411903,0.10010238795718399,0.07758305097619693,0.30216476956602106,0.29810002152570136,,7.539312355220318e-05,7.539312355220318e-05,,,
5,train,4.501696385625428e-05,0.8752914168073648,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0028722406132146716,0.0517765189852924,0.03203591021398703,0.8316102618384296,0.12470858319263514,3.458852529525757,,,,,
5,val,0.0001554593994418004,0.7193538847445654,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.009790153242647648,0.09675923677904794,0.07402265258133411,0.35903529314387367,0.28228936069930344,,0.00011823582462966442,0.00011823582462966442,,,
6,train,3.945308422863884e-05,0.880386982828836,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.002514137178271388,0.04799952605807479,0.02915151013682286,0.8573599573311141,0.11961301717116402,3.457139531771342,,,,,
6,val,0.00015781214339464592,0.7221365636309351,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.009935632813721895,0.09790979160853926,0.0751302670687437,0.34182024781552384,0.27786343636906496,,8.546398021280766e-05,8.546398021280766e-05,,,
7,train,3.366098518494293e-05,0.8857031326217673,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0021490926931922636,0.04371427987382162,0.026942428201436996,0.885291632105152,0.11429686737823284,3.529095411300659,,,,,
7,val,0.00015569263753908066,0.7264351066176106,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.00980106663579742,0.09729884256441726,0.07509056416650613,0.3448465932209102,0.27356489338238954,,9.89050604403019e-05,9.89050604403019e-05,,,
8,train,3.3152149207394714e-05,0.8871129471533843,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.002114804432494566,0.04328440284018672,0.026791161236663658,0.8885344824356042,0.11288705284661572,3.460067550341288,,,,,
8,val,0.00013996380221215077,0.7343402535541074,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.008808141807094216,0.09247373506352824,0.0697086260964473,0.4087339554393633,0.26565974644589263,,8.865399286150932e-05,8.865399286150932e-05,,,
9,train,2.871862032571162e-05,0.893706524230946,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0018320934129102777,0.04024152266297447,0.024984317210813362,0.9008121999939168,0.10629347576905397,3.469606876373291,,,,,
9,val,0.00013676519301952794,0.7411692288961061,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.008604149256522456,0.09141944780238746,0.06889567400018375,0.42127620825440426,0.2588307711038939,,8.530402556061745e-05,8.530402556061745e-05,,,
10,train,3.2072368706285827e-05,0.890872014329845,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0020438884967006743,0.04136598985515739,0.02587705881645282,0.8987424428310935,0.10912798567015514,3.4755594730377197,,,,,
10,val,0.00013264830704429187,0.7430522790401882,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.008350197536249956,0.0900034547000469,0.06695491634309292,0.43968902427524553,0.2569477209598117,,9.12640243768692e-05,9.12640243768692e-05,,,
11,train,2.7404836145456744e-05,0.8966554408482327,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0017465037332537274,0.03823897445628971,0.023550244358678658,0.9119436090411591,0.10334455915176735,3.4697261651357016,,,,,
11,val,0.000138324608997209,0.7398005443064744,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.008714019553735852,0.09201845325379376,0.06984206413229306,0.40673948087520456,0.2601994556935256,,8.659390732645988e-05,8.659390732645988e-05,,,
12,train,2.6087703925418483e-05,0.894818388093488,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0016652493504807353,0.037392002573192425,0.022503229789435863,0.9145327659625136,0.10518161190651196,3.5146462122599282,,,,,
12,val,0.00013011729000330283,0.7487192450518166,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.008194633565532664,0.08917462985615886,0.06687351067860921,0.44627495773937076,0.25128075494818347,,0.00010614492930471897,0.00010614492930471897,,,
13,train,2.5435238312202216e-05,0.8979106134957653,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.001621752919163555,0.03678108231024931,0.02263974832991759,0.9170014872746207,0.1020893865042348,3.4569081465403237,,,,,
13,val,0.0001306078520428855,0.745744469281719,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.008230364881455898,0.08941299444261706,0.06733165557185809,0.43455601608446454,0.25425553071828105,,9.220419451594353e-05,9.220419451594353e-05,,,
14,train,2.5602846835892967e-05,0.8991407900839327,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0016327026338937383,0.03652862194203485,0.021846046205610037,0.918792418631987,0.10085920991606734,3.445770502090454,,,,,
14,val,0.00012697422304578745,0.7504221984671933,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.007998851321948072,0.08815079174354279,0.06624103523790836,0.4542965909225335,0.2495778015328068,,0.00010846508666872978,0.00010846508666872978,,,
15,train,2.4568218091860685e-05,0.8994457513880537,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.001569231574346001,0.035641974326020724,0.02166592236608267,0.9222846035350757,0.10055424861194627,3.4965184926986694,,,,,
15,val,0.00012703285695655117,0.747223814046065,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.008005140465684235,0.08811399895965734,0.06620145030319691,0.45210779353066244,0.25277618595393503,,9.321491234004498e-05,9.321491234004498e-05,,,
16,train,2.3218161237574474e-05,0.9036342310388396,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0014823891445606325,0.034694561984373075,0.02110103750601411,0.9255925063036002,0.09636576896116054,3.464838663736979,,,,,
16,val,0.00013205676198898195,0.7453954547337723,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.008327122234428922,0.0897549137832878,0.06848351533214252,0.4233524127163821,0.2546045452662278,,7.869303226470947e-05,7.869303226470947e-05,,,
17,train,2.256624936684475e-05,0.9032671346886292,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0014406242407858372,0.03387224103212541,0.020172471335778635,0.9287244692540384,0.09673286531137089,3.4780195156733194,,,,,
17,val,0.00012332832557149231,0.7459205064571607,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.007774350776647528,0.08677094426938678,0.06563389860093594,0.468930702065416,0.2540794935428393,,8.897390216588974e-05,8.897390216588974e-05,,,
18,train,2.1992542280063687e-05,0.9045542573281936,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.001401950391785552,0.03350349126553426,0.019735699829955895,0.929577563651614,0.09544574267180635,3.5030380487442017,,,,,
18,val,0.00012195792684603172,0.7456004281504507,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.007687160124381383,0.08621412420771403,0.0645750891417265,0.47414653012877067,0.2543995718495495,,0.0001043051015585661,0.0001043051015585661,,,
19,train,2.2055602977241398e-05,0.9052919888215349,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.001407763872218008,0.03313428851535673,0.01919123250991106,0.9319929715894938,0.0947080111784651,3.473169763882955,,,,,
19,val,0.00012038961237218852,0.7477663713413133,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.007592763635329902,0.08566286880782661,0.06435855540136497,0.4778227072366305,0.25223362865868676,,8.766399696469307e-05,8.766399696469307e-05,,,
20,train,2.1528150723414928e-05,0.9061762699263787,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0013693454335831727,0.032671832585473105,0.018833154812455177,0.9339144211810758,0.09382373007362135,3.472905000050863,,,,,
20,val,0.0001219417093428395,0.746516346914854,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.007693698940177758,0.08626783687939645,0.06516186334192753,0.4696732331549354,0.25348365308514603,,9.276391938328743e-05,9.276391938328743e-05,,,
21,train,2.239122778247052e-05,0.9044867553770696,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0014256617190161098,0.03301755142741947,0.019294029101729393,0.9323613266473957,0.09551324462293057,3.5171307722727456,,,,,
21,val,0.0001170090502758588,0.7513876014753981,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0073801151011139154,0.08442416719295473,0.06335902276138465,0.5012913783288294,0.24861239852460193,,0.00010041496716439724,0.00010041496716439724,,,
22,train,2.213199658717343e-05,0.9056927247943918,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0014077236264711246,0.032710182757266754,0.01885644548262159,0.9323488769705204,0.09430727520560832,3.472551941871643,,,,,
22,val,0.00011301480056620979,0.7576893811749724,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.007126965986875196,0.08300196651655986,0.06186675590773424,0.5160892692568011,0.24231061882502766,,8.54339450597763e-05,8.54339450597763e-05,,,
23,train,2.1084739179281928e-05,0.908331928327134,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.001339264796115458,0.03158370927343148,0.017350392571340006,0.9377652834262011,0.09166807167286593,3.4894155263900757,,,,,
23,val,0.000117105693789199,0.7501233651167778,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.007387844457601507,0.0845565357609979,0.06352989872296651,0.4906836824643216,0.24987663488322234,,9.057484567165375e-05,9.057484567165375e-05,,,
24,train,2.099536999681743e-05,0.9083666215192138,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0013408544036792591,0.0319102624083293,0.01814863784238696,0.9364042506234872,0.09163337848078638,3.504923184712728,,,,,
24,val,0.00011371131404303014,0.7570587574371224,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0071723987348377705,0.08353396802120336,0.0627209475884835,0.5035458826821346,0.24294124256287766,,9.834393858909607e-05,9.834393858909607e-05,,,
25,train,2.079270762692387e-05,0.9072529043462618,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0013263221238351737,0.031646798023627125,0.018415645696222782,0.9366434576234074,0.09274709565373827,3.4539122581481934,,,,,
25,val,0.00011253569573455025,0.7521001093437263,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.007099750257718067,0.08286074703659556,0.06249123439192772,0.5113193187230414,0.24789989065627366,,0.00010893493890762329,0.00010893493890762329,,,
26,train,2.1479758884949258e-05,0.9067743436013199,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0013698503559377666,0.03226615445773967,0.018139385463049013,0.9349664579586275,0.09322565639867991,3.5075525442759194,,,,,
26,val,0.00010955317581344086,0.7615072248849956,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.006907984265126288,0.0817413316095108,0.06113519643743833,0.5219653603093298,0.23849277511500452,,9.687407873570919e-05,9.687407873570919e-05,,,
27,train,1.9964121174530307e-05,0.909914470847733,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0012741949564466875,0.03102858007058685,0.01724359191333254,0.9400453306761886,0.09008552915226709,3.4595065911610923,,,,,
27,val,0.0001077275689264449,0.7585343523960079,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.006794498690093557,0.08109448048856271,0.060337637861569725,0.5312983142417336,0.2414656476039922,,8.657388389110565e-05,8.657388389110565e-05,,,
28,train,2.0033132230055077e-05,0.9095700579997799,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.001273780595511198,0.030650243133363533,0.017111467197537422,0.9402925837995343,0.09042994200022023,3.4580583572387695,,,,,
28,val,0.00010355305676057469,0.7568814143468616,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.006531816596786181,0.07960529294241489,0.05888299954434236,0.5537655780569821,0.24311858565313832,,9.289407171308994e-05,9.289407171308994e-05,,,
29,train,1.9866484094389638e-05,0.9095967921193546,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0012653197287969913,0.030810498164047413,0.017186645573625963,0.9398351025951606,0.09040320788064532,3.5262996753056846,,,,,
29,val,0.00010769606827428409,0.7576181836567144,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.006794235125804941,0.08108906612582585,0.06090688891708851,0.5336045005905017,0.24238181634328562,,9.047403000295162e-05,9.047403000295162e-05,,,
30,train,1.9399526731357843e-05,0.9104300877944398,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0012376309702328097,0.030833254650689083,0.017351471353322268,0.9401358741904191,0.08956991220556022,3.462122837702433,,,,,
30,val,0.00010649636169546284,0.7560489707612077,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.006718818757993479,0.08055760978905578,0.060582089548309646,0.540973241970888,0.24395102923879217,,9.475392289459705e-05,9.475392289459705e-05,,,
31,train,1.9721206732839313e-05,0.9098567899505762,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0012568959452134247,0.03045222727619556,0.01646121358498931,0.9403601282925645,0.09014321004942397,3.466607133547465,,,,,
31,val,0.00010689367506226215,0.7628962054638393,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.006743051460944116,0.08090703478066737,0.06114510881404082,0.534262244772818,0.23710379453616057,,8.090399205684662e-05,8.090399205684662e-05,,,
32,train,1.832809609864389e-05,0.9130502970473678,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0011690804943403539,0.029601552358868948,0.016278302296996117,0.9436585940805723,0.08694970295263225,3.5068978865941367,,,,,
32,val,0.00010656154699972831,0.7590078971797248,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.006723414640873671,0.08069446368911587,0.06068486782411734,0.5361616331881107,0.24099210282027517,,8.836411871016026e-05,8.836411871016026e-05,,,
33,train,1.777170482339208e-05,0.9135688071197511,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0011335308469521503,0.029333474189631385,0.015750803519040346,0.9446821200313013,0.08643119288024889,3.4613340298334756,,,,,
33,val,0.00010653537477386028,0.7594076839628274,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.006720583342636625,0.08076154527140997,0.06049464891354243,0.5327367327539687,0.2405923160371725,,9.264401160180569e-05,9.264401160180569e-05,,,
34,train,1.8310781009640044e-05,0.9127958178256487,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0011678780332052459,0.02953372625840481,0.015776514696578186,0.9440068718584174,0.08720418217435123,3.481350620587667,,,,,
34,val,0.00010698643806487478,0.7573658119311941,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.006750671348224084,0.08076294149975669,0.0611256267875433,0.5366927440985729,0.24263418806880596,,8.404417894780636e-05,8.404417894780636e-05,,,
35,train,1.756552509840686e-05,0.9140310609141288,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0011208045665019502,0.02893415970005617,0.015325147192925215,0.9461600071628457,0.08596893908587115,3.507157802581787,,,,,
35,val,0.00010619207387208007,0.75248978744959,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.006701641483232379,0.08030367946370885,0.06047976637880007,0.5411621469305636,0.24751021255040986,,0.00010788510553538799,0.00010788510553538799,,,
36,train,1.9321834459469246e-05,0.9109562399371294,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.001230195863172412,0.030170165522812403,0.01672936308508118,0.9411176094106477,0.08904376006287056,3.459140419960022,,,,,
36,val,9.894596829932804e-05,0.76225543773003,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.006240737508051097,0.07743741945844482,0.058089521403114,0.576212523672332,0.2377445622699701,,0.00012003607116639614,0.00012003607116639614,,,
37,train,1.7742959759194184e-05,0.914496510883972,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0011319201851923328,0.028824362917664638,0.01541003305464983,0.9455735088789737,0.08550348911602822,3.4679387410481772,,,,,
37,val,9.536524582169174e-05,0.7671062894275944,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.006013431663935383,0.07610135138056325,0.05619862427314123,0.5941609150069767,0.2328937105724056,,9.52139962464571e-05,9.52139962464571e-05,,,
38,train,1.6848281953209165e-05,0.9149824527315217,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0010740098708386843,0.02836241061780852,0.014676906944562992,0.9472470228369638,0.08501754726847814,3.5109125773111978,,,,,
38,val,9.931108434102498e-05,0.7656473576934327,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.00626255680496494,0.07744064220449343,0.058411816135048866,0.57530254033647,0.23435264230656708,,8.03039874881506e-05,8.03039874881506e-05,,,
39,train,1.7597563720733004e-05,0.9141786205615838,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0011218941290280782,0.028645887528301356,0.01514989867185553,0.9466766452091583,0.08582137943841636,3.4667531649271646,,,,,
39,val,9.665152902016416e-05,0.7684652077249506,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.006094792974181473,0.07647355727256186,0.05769624809424082,0.5871750509091499,0.2315347922750493,,8.214288391172886e-05,8.214288391172886e-05,,,
40,train,1.6893124961658126e-05,0.9153991365553714,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0010791435900803965,0.028436270544137592,0.01477638011177381,0.9472042727767163,0.08460086344462843,3.4919705390930176,,,,,
40,val,9.631530701881275e-05,0.7675389375136967,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.006076129851862788,0.07621313879839825,0.05769481944541136,0.5896312168707243,0.2324610624863032,,8.787401020526886e-05,8.787401020526886e-05,,,
41,train,1.64586568863165e-05,0.9167183088427474,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.001049983632886627,0.028037725724820786,0.014397716925789913,0.9482155374868876,0.08328169115725266,3.5176108280817666,,,,,
41,val,9.482482467622806e-05,0.7658375194378495,,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.005980687603975336,0.07539187345530672,0.056672959898908935,0.6031836328930604,0.23416248056215055,,9.12640243768692e-05,9.12640243768692e-05,,,
