round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12165-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0001398365087125723,0.5475714255361512,0.008936475962400436,0.0945329358604737,0.06297861784696579,0.5267286068995929,0.4524285744638487,3.5069384574890137,,,,,
1,val,12165-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00045165795959767926,0.0,0.028640490025281906,0.16923501418229595,0.1502855271100998,-0.5815162627369095,1.3686297761131652,,0.075130979064852,4.089001917978749,,,
2,train,12165-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.354496502228791e-05,0.6132114416237198,0.00596523005515337,0.0772349017941589,0.04549597203731537,0.6840960073235085,0.38678855837628023,3.239607334136963,,,,,
2,val,12165-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00030032005682225065,0.0,0.01893572323024273,0.1376071336459078,0.11746129393577576,-0.045649777751673865,1.123961252290602,,0.08511820086278021,3.883872504811734,,,
3,train,12165-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.312657832733759e-05,0.6157233608075844,0.005921606905758381,0.07695197791972849,0.044919997453689575,0.6864054085802321,0.3842766391924156,3.270375967025757,,,,,
3,val,12165-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0002140239138301199,0.04867822304472347,0.0134126553311944,0.11581301883292051,0.08998556435108185,0.25933597218759025,0.9513217769552765,,0.18087753211148083,3.965982531895861,,,
4,train,12165-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.019320312039397e-05,0.6187100738591631,0.005759904161095619,0.07589403244719323,0.04172815382480621,0.6949708809090456,0.38128992614083684,3.382033586502075,,,,,
4,val,12165-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00017833290904887257,0.1311759981237276,0.011126142926514149,0.10548053340078514,0.0720132514834404,0.3855985340995316,0.8688240018762724,,0.06307228305377066,3.9874399539548904,,,
5,train,12165-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.297102905865044e-05,0.6585266885558017,0.004649404436349869,0.06818654146053947,0.0357765294611454,0.7537751085448372,0.3414733114441984,3.199321746826172,,,,,
5,val,12165-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00016702096393771487,0.14253139477434829,0.010402120649814606,0.10199078708302337,0.06400039792060852,0.42557279495735967,0.8574686052256517,,0.061711827060207725,3.899343167897314,,,
6,train,12165-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.200113484964778e-05,0.6659510061402463,0.00457587419077754,0.06764520818784979,0.03568423539400101,0.7576676219852134,0.3340489938597538,3.190293312072754,,,,,
6,val,12165-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00016297979355130317,0.14996867112912338,0.010150710120797157,0.10075073260675159,0.061978235840797424,0.4394548390014722,0.8500313288708766,,0.0847642170265317,4.050528279971331,,,
7,train,12165-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.04285016639805e-05,0.6597368688394512,0.004478007555007935,0.06691791654712462,0.03370729088783264,0.762854216140342,0.3402631311605488,3.2544806003570557,,,,,
7,val,12165-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00015857903011496703,0.1578677743199567,0.009881354868412018,0.0994050042423017,0.061571355909109116,0.45432823039321246,0.8421322256800433,,0.1333561260253191,3.9755258029326797,,,
8,train,12165-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.758727668838642e-05,0.6724806945001487,0.0043225414119660854,0.06574603723393589,0.031925830990076065,0.7710843312342799,0.32751930549985125,3.2241055965423584,,,,,
8,val,12165-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00015598122759012917,0.15992898323277172,0.009724549949169159,0.09861313274188767,0.062157876789569855,0.46298517974777,0.8400710167672283,,0.07532306597568095,3.7625167248770595,,,
9,train,12165-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.799501455881126e-05,0.6743194507018708,0.004338635131716728,0.0658683165999916,0.034897223114967346,0.7702309319141358,0.3256805492981291,3.2571816444396973,,,,,
9,val,12165-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00015264831725825213,0.1698959068568392,0.009526802226901054,0.09760533913112056,0.06325694918632507,0.47390494236427716,0.8301040931431608,,0.21159402909688652,4.084799582138658,,,
10,train,12165-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.640435200650786e-05,0.6746166304759529,0.004243515897542238,0.06514227427364075,0.03386750444769859,0.7752697764588816,0.32538336952404706,3.282869577407837,,,,,
10,val,12165-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00015219127240425335,0.16970575580050884,0.009502439759671688,0.09748045834766929,0.06419819593429565,0.4752492293649002,0.8302942441994912,,0.10219448013231158,3.984927003039047,,,
11,train,12165-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.466257665387455e-05,0.6749869378788522,0.004116326104849577,0.06415860117591075,0.03382164612412453,0.7820074747581736,0.3250130621211478,3.2692501544952393,,,,,
11,val,12165-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0001546063048565656,0.15014156592023986,0.00964971911162138,0.0982329838273346,0.06255342811346054,0.46711106143061654,0.8498584340797601,,0.0827834871597588,3.8972158150281757,,,
12,train,12165-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.61802461233453e-05,0.6767461737230515,0.004223211202770472,0.06498623856456436,0.03287981450557709,0.7763451788073445,0.32325382627694854,3.3666751384735107,,,,,
12,val,12165-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00015454627278911227,0.14666498540004524,0.00964824203401804,0.09822546530313837,0.0624481663107872,0.4671905963414298,0.8533350145999548,,0.08344953414052725,3.9140353889670223,,,
13,train,12165-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.33208719517551e-05,0.6846317091207527,0.004038101993501186,0.06354606198263733,0.03219559043645859,0.7861476157954304,0.31536829087924734,3.236772060394287,,,,,
13,val,12165-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00015204569320319053,0.15878064926655855,0.009497183375060558,0.09745349339587862,0.06325199455022812,0.47553366561293436,0.8412193507334415,,0.07623352319933474,3.8734024490695447,,,
14,train,12165-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.487726303667661e-05,0.6802319980415178,0.004137570038437843,0.06432394607327696,0.029444705694913864,0.7808800594176877,0.3197680019584822,3.3031632900238037,,,,,
14,val,12165-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00015233607408692584,0.15982590868268443,0.009509860537946224,0.09751851382145969,0.0625658705830574,0.474834354329335,0.8401740913173156,,0.08224247489124537,3.920774315018207,,,
