round,client_id,weights,dominant_head_id,entropy
1,12162-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12163-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12164-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12165-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12166-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12167-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
2,12162-0,"[0.21903519332408905, 0.07490352541208267, 0.1516105979681015, 0.17830511927604675, 0.18889668583869934, 0.18724891543388367]",0,1.7486828565597534
2,12163-0,"[0.17074261605739594, 0.1596737951040268, 0.24667565524578094, 0.12662041187286377, 0.1441998928785324, 0.15208758413791656]",2,1.7673587799072266
2,12164-0,"[0.18983225524425507, 0.051929231733083725, 0.13690876960754395, 0.19902750849723816, 0.20024560391902924, 0.22205664217472076]",5,1.7187485694885254
2,12165-0,"[0.1295451670885086, 0.37881994247436523, 0.2452111542224884, 0.06445158272981644, 0.09338302165269852, 0.08858916163444519]",1,1.5899996757507324
2,12166-0,"[0.19044406712055206, 0.0398031510412693, 0.12008673697710037, 0.23394683003425598, 0.2060350626707077, 0.20968417823314667]",3,1.6915581226348877
2,12167-0,"[0.1926746517419815, 0.055074382573366165, 0.1306028962135315, 0.19676075875759125, 0.22341594099998474, 0.20147138833999634]",4,1.7203104496002197
3,12162-0,"[0.17655602097511292, 0.12894172966480255, 0.16445410251617432, 0.17660586535930634, 0.17679579555988312, 0.17664645612239838]",4,1.7859376668930054
3,12163-0,"[0.1640341430902481, 0.18674209713935852, 0.18483933806419373, 0.15112701058387756, 0.1566096693277359, 0.15664775669574738]",1,1.788253664970398
3,12164-0,"[0.17913895845413208, 0.10994535684585571, 0.15662910044193268, 0.18632975220680237, 0.18369728326797485, 0.18425960838794708]",3,1.7771565914154053
3,12165-0,"[0.14303536713123322, 0.2835432291030884, 0.1973462551832199, 0.1189541295170784, 0.12896117568016052, 0.12815983593463898]",1,1.7364842891693115
3,12166-0,"[0.18113406002521515, 0.09759855270385742, 0.15011416375637054, 0.19379012286663055, 0.18847757577896118, 0.18888549506664276]",3,1.7685743570327759
3,12167-0,"[0.1789196878671646, 0.11194276809692383, 0.1566903293132782, 0.18552878499031067, 0.183641716837883, 0.18327674269676208]",3,1.7781779766082764
4,12162-0,"[0.16962839663028717, 0.1536298543214798, 0.16585642099380493, 0.17049363255500793, 0.17018839716911316, 0.1702033132314682]",3,1.7910897731781006
4,12163-0,"[0.1634594351053238, 0.18323059380054474, 0.17255258560180664, 0.1590634435415268, 0.1608976125717163, 0.1607963591814041]",1,1.7904467582702637
4,12164-0,"[0.171783909201622, 0.142844095826149, 0.16298379004001617, 0.17492981255054474, 0.17368438839912415, 0.17377403378486633]",3,1.7893540859222412
4,12165-0,"[0.15456843376159668, 0.22472700476646423, 0.178502157330513, 0.14484816789627075, 0.14880715310573578, 0.14854709804058075]",1,1.7782795429229736
4,12166-0,"[0.17328761518001556, 0.13523225486278534, 0.1606915444135666, 0.1782153695821762, 0.17622075974941254, 0.17635256052017212]",3,1.7874146699905396
4,12167-0,"[0.17158156633377075, 0.14383861422538757, 0.16315674781799316, 0.17456503212451935, 0.1733972728252411, 0.17346079647541046]",3,1.789555549621582
5,12162-0,"[0.1677064448595047, 0.16188733279705048, 0.1661825031042099, 0.16819801926612854, 0.16800659894943237, 0.16801908612251282]",3,1.7916685342788696
5,12163-0,"[0.1648561954498291, 0.1754826456308365, 0.16876645386219025, 0.16319045424461365, 0.16387367248535156, 0.16383056342601776]",1,1.791422963142395
5,12164-0,"[0.16878896951675415, 0.15667550265789032, 0.1650954782962799, 0.17017105221748352, 0.1696164309978485, 0.16965252161026]",3,1.7913438081741333
5,12165-0,"[0.16115149855613708, 0.19292883574962616, 0.1714586764574051, 0.15709298849105835, 0.1587369292974472, 0.15863099694252014]",1,1.78896164894104
5,12166-0,"[0.16957634687423706, 0.15286262333393097, 0.16424793004989624, 0.17164301872253418, 0.1708080768585205, 0.17086201906204224]",3,1.7909514904022217
5,12167-0,"[0.16869421303272247, 0.15712516009807587, 0.1651734560728073, 0.17000918090343475, 0.16948208212852478, 0.16951587796211243]",3,1.791380763053894
6,12162-0,"[0.1670674979686737, 0.16479262709617615, 0.16641679406166077, 0.16730107367038727, 0.16720807552337646, 0.16721397638320923]",3,1.7917453050613403
6,12163-0,"[0.1658041924238205, 0.17079581320285797, 0.16747841238975525, 0.16513055562973022, 0.16540446877479553, 0.1653866320848465]",1,1.7916877269744873
6,12164-0,"[0.16756170988082886, 0.16243644058704376, 0.16598114371299744, 0.16816331446170807, 0.1679210066795349, 0.16793638467788696]",3,1.7916853427886963
6,12165-0,"[0.16424313187599182, 0.17817392945289612, 0.16866755485534668, 0.1625232696533203, 0.16321852803230286, 0.16317354142665863]",1,1.7912166118621826
6,12166-0,"[0.167928546667099, 0.16068415343761444, 0.16564685106277466, 0.16880974173545837, 0.16845384240150452, 0.16847683489322662]",3,1.791609764099121
