round,split,loss,forecast_accuracy,global_num_layers,local_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,inclusive_group_count,inclusive_beta,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,9.534850026932634e-05,0.8274894793187892,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.006076219957321882,0.07686033130519591,0.052776701748371124,0.6128218975216283,0.1725105206812107,3.470126430193583,,,,,
1,val,0.0019300975545775145,0.46993983703088404,,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.12212845031172037,0.31404793652354435,0.29922686765591305,-8.64988788561062,0.6447249122304516,,0.00012665591202676296,0.00012665591202676296,,,
2,train,7.280858514446115e-05,0.8479335856533177,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.004647870780900121,0.06755380329170486,0.044126929715275764,0.7046519184097851,0.15206641434668228,3.2030245463053384,,,,,
2,val,0.0009068269852529435,0.6124699455260748,,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.05733868293464184,0.1997230167897033,0.1821943869193395,-3.747347879312627,0.43046053553532715,,8.791498839855194e-05,8.791498839855194e-05,,,
3,train,5.995295848309823e-05,0.8581598683596399,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0038247773967062435,0.061434038103948284,0.03973624793191751,0.7573337940031323,0.14184013164036002,3.2108070850372314,,,,,
3,val,0.0006361359252575008,0.6405305970560892,,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.04020137479528785,0.17232064830503432,0.1550447717308998,-2.301970044702712,0.3787701247595103,,8.454406633973122e-05,8.454406633973122e-05,,,
4,train,5.48843534254897e-05,0.8626043729995114,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0034995124054451785,0.05827882250372695,0.03614507460345825,0.7878858163969341,0.13739562700048863,3.2646404504776,,,,,
4,val,0.0005070580349032147,0.650549469698942,,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.03203365338655809,0.15946724313413171,0.14224633822838464,-1.5840922405818918,0.35360422542375697,,9.015388786792755e-05,9.015388786792755e-05,,,
5,train,4.714822513682309e-05,0.873088649403997,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.003007285122293979,0.05377467784563238,0.03286284146209558,0.821165943526434,0.12691135059600298,3.219428022702535,,,,,
5,val,0.00042112964365514927,0.6622958855961575,,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.026600372046232224,0.14947063265754373,0.13222803734242916,-1.0904767921746994,0.3438986113462589,,9.3444949015975e-05,9.3444949015975e-05,,,
6,train,4.216595513594618e-05,0.8776371783901697,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.002687667370385801,0.04995035229887294,0.03026044089347124,0.8447874374994807,0.12236282160983018,3.197401841481527,,,,,
6,val,0.00038879477870068513,0.6777338353366477,,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.024551590361321967,0.14451776933470997,0.12573124344150224,-0.9133567418323669,0.32226616466335234,,0.00010569603182375431,0.00010569603182375431,,,
7,train,3.852018949366508e-05,0.8844722834117646,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0024593045527581125,0.04728412387693557,0.028018601859609287,0.8600900019939833,0.11552771658823534,3.246800700823466,,,,,
7,val,0.00036057084556280944,0.6870751958834569,,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.02277151953118543,0.13965173513556323,0.12109191715717316,-0.7703583032986282,0.31292480411654316,,8.183391764760017e-05,8.183391764760017e-05,,,
8,train,3.7837436279434356e-05,0.8839775726027471,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.00241412870430698,0.046624466514662066,0.02818814975519975,0.862733864140052,0.1160224273972529,3.205064376195272,,,,,
8,val,0.00030475925329180126,0.7015319477748412,,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.019239019059265654,0.1300725743674084,0.11109138342241447,-0.4819981826870912,0.29846805222515876,,9.134411811828613e-05,9.134411811828613e-05,,,
9,train,3.321297027791855e-05,0.8921070868855672,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.002119315972474093,0.0433838837694603,0.02510618418455124,0.8797252080617253,0.10789291311443285,3.2274692058563232,,,,,
9,val,0.00029009200200865354,0.7084440954522264,,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.01831377351966997,0.12691327526498852,0.10744282354911168,-0.39708729471971843,0.29155590454777364,,8.94651748239994e-05,8.94651748239994e-05,,,
10,train,3.8018293150125445e-05,0.8863333095597096,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0024229139768673726,0.04619674718348741,0.02880135489006837,0.8675713299996886,0.11366669044029049,3.207431515057882,,,,,
