round,split,loss,forecast_accuracy,global_num_layers,local_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,inclusive_group_count,inclusive_beta,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,9.238564896655453e-05,0.8264435520873433,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.005890919438873728,0.07571604799333215,0.051468891402085624,0.6249699377893627,0.17355644791265668,3.152756690979004,,,,,
1,val,0.0003964171337429434,0.6916975438352879,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.025111547904089093,0.1439840179215354,0.12381263015170892,-0.5978517341618107,0.5050218114186589,,8.762301877140999e-05,8.762301877140999e-05,,,
2,train,7.430540097575777e-05,0.83876878790207,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.004739468645614882,0.0677908247030775,0.04381935360531012,0.7070233386180053,0.16123121209793012,2.8680275281270347,,,,,
2,val,0.00020257742532218495,0.7189896936903534,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.012792861554771662,0.10804466328037074,0.08632248640060425,0.13503167856246925,0.35336328566843256,,7.487297989428043e-05,7.487297989428043e-05,,,
3,train,6.309101256919412e-05,0.8522273459922153,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.004020979744382203,0.06252382410461853,0.03871104897310337,0.7536262639574351,0.14777265400778478,2.8542616764704385,,,,,
3,val,0.00017432479823279815,0.721367884113934,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.010993524144093195,0.10196011261815052,0.08046969150503476,0.25480050704589075,0.3188460269055396,,9.16339922696352e-05,9.16339922696352e-05,,,
4,train,5.957701766292521e-05,0.8566898842453764,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0038030802194649973,0.06070026337490245,0.03766294941306114,0.7686697454450188,0.14331011575462352,2.904622713724772,,,,,
4,val,0.00017595871516581005,0.7145516280995231,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.011095681693404913,0.10331533361202402,0.08200815195838611,0.2528123404053828,0.30775434528929474,,7.94529914855957e-05,7.94529914855957e-05,,,
5,train,4.93042843865544e-05,0.8685388870086662,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.003142861785211911,0.05541618537834056,0.03231602224210898,0.8049648264258197,0.1314611129913338,2.80537215868632,,,,,
5,val,0.00020098579989280552,0.704882390492554,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.01267369456278781,0.1091148628034424,0.08728533548613389,0.21336310539086376,0.30012770297735025,,7.838290184736252e-05,7.838290184736252e-05,,,
