round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12166-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.143814965522265e-05,0.9140442660644678,0.003912320360541344,0.0625485440321463,0.045357607305049896,0.7474240395654377,0.08595573393553221,3.4905412197113037,,,,,
1,val,12166-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0023337233168075266,0.5490726609281023,0.14763961732387543,0.38423901067418365,0.37616434693336487,-8.782604804218574,0.45092733907189775,,0.08393170405179262,4.187707608100027,,,
2,train,12166-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.2463136052942116e-05,0.9266653685864399,0.0027101882733404636,0.05205946862330102,0.033626534044742584,0.8250282244971502,0.07333463141356016,3.169879913330078,,,,,
2,val,12166-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0008085507518836182,0.7185429879205132,0.051045630127191544,0.2259328000251215,0.21819272637367249,-2.382512630050633,0.2814570120794868,,0.1062049379106611,3.8500870789866894,,,
3,train,12166-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.5973866232189496e-05,0.9354306909275754,0.0022950568236410618,0.04790675133674858,0.028501560911536217,0.8518354432187139,0.06456930907242461,3.1738052368164062,,,,,
3,val,12166-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0004801770010532544,0.7792870906916054,0.030276542529463768,0.17400155898572797,0.16506630182266235,-1.0063141120317636,0.22071290930839463,,0.07826992520131171,3.854180437978357,,,
4,train,12166-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.3234583524095804e-05,0.9377899510626884,0.0021204096265137196,0.046047905777719354,0.027294030413031578,0.8631092354758862,0.06221004893731166,3.274340867996216,,,,,
4,val,12166-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0004487147400667778,0.7823555024854254,0.028304195031523705,0.16823850638757973,0.15938638150691986,-0.8756452103843941,0.21764449751457465,,0.08454168983735144,3.850092553999275,,,
5,train,12166-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.105117005115412e-05,0.9390918451909,0.001980074681341648,0.044498030083832345,0.025821227580308914,0.8721690906043709,0.060908154809099946,3.2095253467559814,,,,,
5,val,12166-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00039356133000984097,0.8119326978281017,0.024844225496053696,0.15762051102586142,0.14890888333320618,-0.6461975030478904,0.18806730217189827,,0.09228891599923372,3.9241521519143134,,,
6,train,12166-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.877598642057909e-05,0.9432823045324743,0.0018358705565333366,0.042847060068729764,0.02377324178814888,0.881481687050876,0.05671769546752575,3.1981520652770996,,,,,
6,val,12166-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0004453709226672667,0.7979236048429335,0.028137866407632828,0.16774345414242794,0.15993517637252808,-0.8644476149840041,0.2020763951570666,,0.0996037928853184,3.922706044977531,,,
7,train,12166-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.7415687751033615e-05,0.9445960039172606,0.0017521920381113887,0.041859192994029265,0.022668559104204178,0.8868841508723104,0.055403996082739417,3.2548749446868896,,,,,
7,val,12166-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0004248519897134635,0.8014794351555197,0.026854194700717926,0.16387249525383424,0.15410855412483215,-0.7794142085068875,0.19852056484448038,,0.08538903598673642,3.8853418610524386,,,
