round,split,loss,forecast_accuracy,global_num_layers,local_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,inclusive_group_count,inclusive_beta,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,9.534850026932634e-05,0.8274894793187892,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.006076219957321882,0.07686033130519593,0.052776701748371124,0.6128218975216283,0.1725105206812107,3.4343154033025107,,,,,
1,val,0.0019220733811380342,0.4721746987462154,,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.12161474737028281,0.31232282491550745,0.2969380170106888,-8.58755526676483,0.6456033454831261,,0.0001162851694971323,0.0001162851694971323,,,
2,train,7.595785489809554e-05,0.8476678316621714,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.004848163924179971,0.0686995295916009,0.04459205083549023,0.6864276773219601,0.15233216833782856,3.2370996872584024,,,,,
2,val,0.0007643237319522692,0.6248938705236419,,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.048321058973670006,0.1865585296050442,0.16850231712063155,-2.9796170050597053,0.4189402024370296,,9.16430726647377e-05,9.16430726647377e-05,,,
3,train,6.296053334241866e-05,0.8550651063126875,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.004015883198007941,0.06297184282849311,0.04030169919133186,0.7451326899437121,0.1449348936873124,3.1963587601979575,,,,,
3,val,0.0004532061490560106,0.6677633602851462,,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.028626164343828957,0.15050479201285963,0.13216469436883926,-1.3132054991810136,0.3524612507210557,,9.186402894556522e-05,9.186402894556522e-05,,,
4,train,5.4710400428024793e-05,0.8630748255438264,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0034884498842681446,0.058183528794687404,0.03636241673181454,0.7882643645385246,0.13692517445617355,3.2297901709874473,,,,,
4,val,0.00034732882340904325,0.6771611595226598,,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.021927868326505024,0.13764149433733716,0.11911909220119317,-0.7070054039079002,0.32307434342593905,,8.423300459980965e-05,8.423300459980965e-05,,,
5,train,4.7220752403440955e-05,0.8722553878350099,3.0,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0030117150551329055,0.05399869663527298,0.033596194349229336,0.8190433718905341,0.12774461216499014,3.201857050259908,,,,,
5,val,0.0002801176002928211,0.6881712831678719,,2.3333333333333335,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.017678258940577507,0.12746686592878753,0.10849867016077042,-0.30978035160904116,0.31460506995601356,,9.158393368124962e-05,9.158393368124962e-05,,,
