round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00015147015038188225,0.7779155444999575,0.00891735777258873,0.09443176251976201,0.06474002450704575,0.7385330354871442,0.22208445550004255,2.270759105682373,,,,,
1,val,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.008879995346069336,0.0,0.5086785554885864,0.7132170465493561,0.6914455890655518,-16.681178866277392,1.0220634941386124,,0.13268151599913836,9.62292275391519,,,
2,train,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00010863466974127918,0.7985788099079457,0.006867469288408756,0.08287019541674048,0.055164486169815063,0.7986442435385243,0.20142119009205425,2.4932644367218018,,,,,
2,val,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00574434791292463,0.21318772110062656,0.32839661836624146,0.5730590007723825,0.5430651307106018,-10.417099211783182,0.7868122788993734,,0.07683015987277031,8.995550096966326,,,
3,train,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00011784503611752948,0.7921292202777619,0.007399682886898518,0.08602140946821621,0.058116182684898376,0.7830378950465879,0.20787077972223814,2.3486762046813965,,,,,
3,val,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.004170133187657311,0.33791765059348156,0.23690985143184662,0.48673386098754895,0.4521341323852539,-7.2360769567150625,0.6620823494065184,,0.08496726513840258,9.318039919948205,,,
4,train,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.27524076492798e-05,0.8140396722602259,0.005872722249478102,0.0766336887372525,0.050202786922454834,0.8278105178616318,0.18596032773977417,2.343463897705078,,,,,
4,val,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0037192050899778092,0.36155097284794135,0.21118171513080597,0.45954511762263994,0.4272993803024292,-6.341241414756405,0.6384490271520586,,0.08095068810507655,9.13201239099726,,,
5,train,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.962970568860074e-05,0.8140115296020579,0.005694232881069183,0.07546014100880798,0.050029002130031586,0.8330468664870214,0.18598847039794206,2.352205514907837,,,,,
5,val,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0033465939476376486,0.389192078941222,0.19170773029327393,0.43784441334025714,0.4104209840297699,-5.66412018346878,0.610807921058778,,0.07839513896033168,8.608860933920369,,,
6,train,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0001172281777311763,0.8039475298833404,0.0066811516880989075,0.08173831224156092,0.056680433452129364,0.8041022249649452,0.19605247011665963,2.4093177318573,,,,,
6,val,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0030203451145262945,0.3951172268033474,0.1740272343158722,0.41716571565251165,0.39379453659057617,-5.050066192353435,0.6048827731966526,,0.08462831797078252,8.927674211096019,,,
7,train,12164-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.863877621416087e-05,0.8235335779777072,0.0049564410001039505,0.07040199571108727,0.0452803410589695,0.8546808040116325,0.17646642202229282,2.423401355743408,,,,,
