round,split,loss,forecast_accuracy,global_num_layers,local_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,inclusive_group_count,inclusive_beta,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,5.569945076303912e-05,0.8942679315166664,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.003452441906643602,0.05453527877850427,0.034763116230125055,0.7809928815030424,0.10573206848333364,7.137998083549253,,,,,
1,val,0.0011061244382600886,0.7047686548574886,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.06500538323369554,0.1740339497306917,0.16016100800970695,-2.6465286978397735,0.29735801879697354,,8.579390123486519e-05,8.579390123486519e-05,,,
2,train,3.718929138818939e-05,0.9106072213697974,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0023482297567226232,0.0434134075987211,0.028472213296707873,0.8551725532049206,0.08939277863020267,6.7382282942930996,,,,,
2,val,0.0007506945504767785,0.793942748632843,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.043805256640883264,0.1183044225365863,0.09945685680014382,-1.2436247975138148,0.20605725136715713,,0.00011860416270792484,0.00011860416270792484,,,
3,train,2.9600847416371552e-05,0.9223131918276087,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.00185411454846687,0.03490196789534635,0.022367541023758986,0.8931918481840456,0.07768680817239122,6.907337336426237,,,,,
3,val,0.0006412895865508669,0.7957528040899683,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.03745387318018771,0.11580773604222201,0.09928894907607302,-1.031540381945516,0.20424719591003176,,8.623301982879639e-05,8.623301982879639e-05,,,
4,train,2.3367262389462942e-05,0.9346587103630759,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0014707734496517018,0.02986016803171938,0.019085403418379113,0.9143481940343273,0.06534128963692418,6.828784262495935,,,,,
4,val,0.0006050665854753759,0.789527218943197,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.03537985780218358,0.11473848695780878,0.09897391568750037,-0.9546823878695065,0.21047278105680295,,8.502299897372723e-05,8.502299897372723e-05,,,
5,train,2.273499736825645e-05,0.9343907728516365,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0014155045674102338,0.028959930655413305,0.018029074358261662,0.9176981123791402,0.0656092271483633,6.456961876099225,,,,,
5,val,0.00056214314927695,0.7885944384232794,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.03297553766159228,0.10945507039337553,0.093613773714287,-0.8177053500244121,0.21140556157672064,,9.248405694961548e-05,9.248405694961548e-05,,,
6,train,2.4599900514663803e-05,0.9344803027251299,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0014601946464722518,0.028987059375363153,0.017727750527744904,0.9172857005348695,0.06551969727487013,6.677597349176947,,,,,
6,val,0.00052811003867688,0.7876032031543706,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.031065405498331686,0.10733600921661579,0.09181976023716752,-0.7282531660262418,0.2143283674797158,,9.720306843519211e-05,9.720306843519211e-05,,,
7,train,2.0599076856527548e-05,0.9386581704876819,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.001287055992315335,0.027153492359097798,0.01652634917167476,0.9245933867821299,0.061341829512318057,6.69347205059627,,,,,
7,val,0.0005051622191931658,0.7873742564498761,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.029801594509305664,0.10670294609130414,0.0915352398059016,-0.6895679066562203,0.21760001336754545,,9.21841710805893e-05,9.21841710805893e-05,,,
8,train,1.9444894504976975e-05,0.940264251303548,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0012266153970695636,0.02638483990320417,0.015725742323701906,0.9279199758481173,0.059735748696452075,6.666730424405053,,,,,
8,val,0.00045938877042139457,0.796604962929042,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.027145699000986977,0.10136217035563992,0.08644444881093248,-0.5575876889950134,0.2067785612394749,,9.95041336864233e-05,9.95041336864233e-05,,,
