round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5038274761650816e-05,0.9422920018568532,0.0015921429730951786,0.039901666294719806,0.023292899131774902,0.884751873173573,0.05770799814314676,8.03000545501709,,,,,
1,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.924779614688795e-05,0.879110911312271,0.005067494697868824,0.07118633785965411,0.0576804094016552,0.5447268020377484,0.12088908868772902,,0.179860777920112,9.22339824703522,,,
2,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.8781107325857788e-05,0.9443178670505226,0.0011977959657087922,0.03460918903569964,0.022312313318252563,0.9132948671731327,0.055682132949477416,7.429650545120239,,,,,
2,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.6782443653139435e-05,0.9161831229157418,0.0023530451580882072,0.048508196813406776,0.032011713832616806,0.7886001586485636,0.08381687708425818,,0.2780000530183315,8.750301592983305,,,
3,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.347747753507658e-06,0.9633882610542787,0.000468095182441175,0.02163550744589031,0.014044057577848434,0.9661148488038962,0.03661173894572137,7.303121089935303,,,,,
3,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.8453450268946314e-05,0.9109573522224328,0.002459962386637926,0.04959800788981273,0.03141576424241066,0.7789957038813929,0.08904264777756718,,0.1767198338638991,8.567593073938042,,,
4,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.147495201844195e-06,0.9718638002365332,0.00026496173813939095,0.016277645349969724,0.010633666068315506,0.9808193067977968,0.028136199763466846,8.551591157913208,,,,,
4,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.74410282566932e-05,0.9120402845828286,0.0023952315095812082,0.04894110245571925,0.031110798940062523,0.7848102392620275,0.0879597154171714,,0.16351617313921452,9.55106089799665,,,
5,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.376966811346595e-06,0.975288700930193,0.00021589058451354504,0.014693215594741167,0.008991917595267296,0.9843717408029021,0.024711299069807003,8.109527349472046,,,,,
5,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.366199487379555e-05,0.9165614273147966,0.002153567736968398,0.04640654842765618,0.027811389416456223,0.8065219202897855,0.08343857268520334,,0.190712362062186,9.52316538989544,,,
6,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.017400360703562e-06,0.9719417939956091,0.0002560173743404448,0.016000542938926943,0.010320550762116909,0.9814667494999086,0.0280582060043909,8.090795993804932,,,,,
6,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.353232585469273e-05,0.9176558325667387,0.0021452964283525944,0.04631734478953424,0.026945320889353752,0.8072648471826497,0.0823441674332613,,0.17697407910600305,9.125027617905289,,,
7,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.2289248451522516e-06,0.9766362370030242,0.00020611552463378757,0.014356724021648795,0.009375124238431454,0.985079497677378,0.023363762996975804,7.558827638626099,,,,,
7,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0099458488385693e-05,0.9198394800457623,0.001925675431266427,0.04388251851553677,0.025172296911478043,0.8269962393951696,0.08016051995423772,,0.18555112998001277,9.105122228851542,,,
8,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.7528459386410897e-06,0.9775754085471372,0.0001759266306180507,0.013263733660551643,0.007962219417095184,0.9872646407555041,0.022424591452862755,7.480638027191162,,,,,
8,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.6614904303757473e-05,0.9250859650922851,0.001702725887298584,0.04126409925466184,0.02435120940208435,0.8470253600093484,0.07491403490771485,,0.16429621004499495,8.700598533963785,,,
9,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.563360213742895e-06,0.9786464434264479,0.00015919154975563288,0.012617113368581297,0.007313217967748642,0.9884760173443596,0.02135355657355213,8.055468797683716,,,,,
9,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.258029370777721e-05,0.9283905801665859,0.001444586319848895,0.03800771395189265,0.02232562191784382,0.8702174765243558,0.07160941983341412,,0.1641227889340371,9.109241406898946,,,
10,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.558220727768661e-06,0.974644726656166,0.0002272087149322033,0.01507344403022094,0.009555035270750523,0.9835522524428892,0.02535527334383398,7.874336004257202,,,,,
10,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.071473557950296e-05,0.9326625963765858,0.0013252189382910728,0.03640355667089512,0.021614424884319305,0.8809413892551813,0.06733740362341417,,0.17607532092370093,9.34327214001678,,,
11,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.4498129264395545e-06,0.9779827483268732,0.00015663032536394894,0.012515203768375045,0.00678607914596796,0.9886613683664233,0.022017251673126837,7.476524114608765,,,,,
11,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0876893862815455e-05,0.9335147189762705,0.001335587934590876,0.03654569652627893,0.021884117275476456,0.88000982213514,0.06648528102372955,,0.16647055884823203,8.672579291975126,,,
12,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.4801062095023004e-06,0.9789040065054297,0.00015579850878566504,0.012481927286507682,0.007347539998590946,0.9887217845307071,0.021095993494570295,7.44113302230835,,,,,
12,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0828592259104557e-05,0.9323692375500044,0.0013324645115062594,0.0365029383955081,0.022521432489156723,0.8802906636521685,0.06763076244999558,,0.1955490750260651,8.909301882842556,,,
13,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0855767559026716e-06,0.9798554582400673,0.0001332967367488891,0.011545420596448147,0.006032162811607122,0.9903505248395135,0.020144541759932726,7.7792181968688965,,,,,
13,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.1326184047420034e-05,0.9314469225882704,0.0013643574202433228,0.03693720915612498,0.021809734404087067,0.8774256018121043,0.06855307741172961,,0.17099750391207635,9.102742477087304,,,
14,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.262694668156074e-06,0.9791469829183361,0.00014423098764382303,0.01200962062863865,0.006578745786100626,0.9895589712351035,0.020853017081663906,8.607732772827148,,,,,
14,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0680882742257866e-05,0.9344909060695656,0.0013230335898697376,0.036373528696976014,0.022554006427526474,0.8811378069031819,0.0655090939304344,,0.16257928707636893,9.5870986150112,,,
15,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.487632662732777e-06,0.9781489237619959,0.00015906308544799685,0.012612021465569936,0.007522209081798792,0.9884853494214676,0.021851076238004113,7.526740789413452,,,,,
15,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.954020300646502e-05,0.9332557627956146,0.0012500504963099957,0.03535605317777984,0.021593604236841202,0.8876947886354412,0.06674423720438534,,0.19902819604612887,9.258089494192973,,,
16,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.4148466521746527e-06,0.9784678658478926,0.00015440862625837326,0.01242612676011207,0.007173578720539808,0.9888222713086641,0.021532134152107387,7.442171335220337,,,,,
16,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6218748272286312e-05,0.9390242991543749,0.001037541893310845,0.03221089712055293,0.019747387617826462,0.9067867478981749,0.06097570084562504,,0.2099987321998924,8.767397023970261,,,
17,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.823557009946487e-06,0.9771577833385542,0.00018045549222733825,0.013433372332640015,0.008086036890745163,0.9869368361587888,0.0228422166614458,7.5337207317352295,,,,,
17,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.691888166602853e-05,0.9402628124788093,0.0010823349002748728,0.03289885864699371,0.020899023860692978,0.9027623649686338,0.05973718752119073,,0.16504865512251854,8.652150298003107,,,
18,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.5440483731722856e-06,0.9720075734977137,0.00022609817096963525,0.015036561141751635,0.009930080734193325,0.9836322798936284,0.027992426502286318,7.461881637573242,,,,,
18,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6381913819532358e-05,0.9414510659996279,0.001047950005158782,0.03237205593036658,0.020928356796503067,0.9058512606732817,0.058548934000372095,,0.18585839890874922,8.572019316023216,,,
19,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.2435211627390683e-06,0.9778321149939974,0.00020699066226370633,0.014387170057509793,0.010203107260167599,0.9850165546171266,0.02216788500600265,7.296837091445923,,,,,
19,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6893776261905527e-05,0.9397476810993247,0.0010807134676724672,0.032874206723090174,0.021209970116615295,0.9029080930577364,0.06025231890067527,,0.26156788994558156,8.678852102952078,,,
20,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.6574313724456863e-06,0.9776600419159314,0.0001698719133855775,0.01303349198739837,0.007896862924098969,0.9877029087844392,0.022339958084068683,7.489062309265137,,,,,
20,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.518525028250121e-05,0.9411346594256573,0.0009714079787954688,0.03116741854558168,0.019761599600315094,0.9127281286667568,0.05886534057434263,,0.20990961510688066,8.735151377972215,,,
21,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.282687180039179e-06,0.97854819317286,0.00014595204265788198,0.012081061321667148,0.0068280743435025215,0.9894344045861421,0.021451806827139975,7.509297609329224,,,,,
21,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5188673796504952e-05,0.943071291615757,0.0009715634514577687,0.031169912599456687,0.02129383012652397,0.9127136375502582,0.056928708384243056,,0.19236239697784185,8.73671601107344,,,
22,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.410155790459916e-06,0.9784816843735965,0.00015408014587592334,0.012412902395327345,0.007085454650223255,0.9888460524265927,0.021518315626403522,7.593394756317139,,,,,
22,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4660452902702738e-05,0.9429566496719383,0.0009377903770655394,0.030623363255291528,0.020492132753133774,0.9157479834642508,0.05704335032806177,,0.2090493489522487,8.826769198058173,,,
23,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2294217189360443e-06,0.979440638380931,0.00014250833191908896,0.011937685366899604,0.006824778858572245,0.9896837394069573,0.02055936161906904,7.679670810699463,,,,,
23,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.3390281813501311e-05,0.9460814639853637,0.0008565520984120667,0.029266911323405254,0.020146764814853668,0.9230467627581346,0.05391853601463621,,0.1760918211657554,9.338087370153517,,,
24,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.1580168414372294e-06,0.979884080328894,0.0001373247359879315,0.011718563734004756,0.006345588713884354,0.9900589852618704,0.02011591967110606,7.538466691970825,,,,,
24,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.544404879148727e-05,0.938911101924566,0.0009879420977085829,0.03143154621886399,0.0198809951543808,0.9112427438583584,0.0610888980754341,,0.19552154303528368,9.266220003832132,,,
