round,client_id,weights,dominant_head_id,entropy
1,12162-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12163-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12164-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12165-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12166-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
1,12167-0,"[0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204, 0.1666666716337204]",0,1.791759729385376
2,12162-0,"[0.08326879143714905, 0.18054664134979248, 0.1510978490114212, 0.2273045927286148, 0.16935668885707855, 0.18842540681362152]",3,1.753552794456482
2,12163-0,"[0.17900434136390686, 0.11435362696647644, 0.26574453711509705, 0.1766504943370819, 0.11507732421159744, 0.14916972815990448]",2,1.7469639778137207
2,12164-0,"[0.05517058074474335, 0.20827634632587433, 0.12831325829029083, 0.1894904226064682, 0.19016006588935852, 0.22858937084674835]",5,1.7182775735855103
2,12165-0,"[0.3740236759185791, 0.06216493248939514, 0.25194090604782104, 0.13701657950878143, 0.08458245545625687, 0.0902714878320694]",0,1.586195707321167
2,12166-0,"[0.040115825831890106, 0.24136225879192352, 0.10386158525943756, 0.19171254336833954, 0.20303313434123993, 0.21991464495658875]",1,1.6807528734207153
2,12167-0,"[0.05546325072646141, 0.2063106745481491, 0.10620623081922531, 0.18273372948169708, 0.24525879323482513, 0.20402731001377106]",4,1.7037861347198486
3,12162-0,"[0.08326882123947144, 0.18054653704166412, 0.15109792351722717, 0.22730447351932526, 0.16935674846172333, 0.1884254813194275]",3,1.753552794456482
3,12163-0,"[0.17900438606739044, 0.11435365676879883, 0.2657445967197418, 0.17665036022663116, 0.11507735401391983, 0.14916960895061493]",2,1.7469639778137207
3,12164-0,"[0.05517056584358215, 0.20827648043632507, 0.12831321358680725, 0.18949037790298462, 0.19015981256961823, 0.2285895198583603]",5,1.7182774543762207
3,12165-0,"[0.3740238547325134, 0.06216491013765335, 0.2519408166408539, 0.13701651990413666, 0.08458241075277328, 0.09027153998613358]",0,1.5861955881118774
3,12166-0,"[0.04011582210659981, 0.24136222898960114, 0.10386147350072861, 0.19171270728111267, 0.20303311944007874, 0.21991461515426636]",1,1.6807527542114258
3,12167-0,"[0.05546329915523529, 0.20631061494350433, 0.10620620101690292, 0.18273384869098663, 0.24525873363018036, 0.20402726531028748]",4,1.7037863731384277
4,12162-0,"[0.08326876163482666, 0.1805465817451477, 0.15109780430793762, 0.22730451822280884, 0.1693567931652069, 0.18842552602291107]",3,1.7535526752471924
4,12163-0,"[0.17900438606739044, 0.11435365676879883, 0.2657445967197418, 0.17665036022663116, 0.11507735401391983, 0.14916960895061493]",2,1.7469639778137207
4,12164-0,"[0.05517055466771126, 0.2082764357328415, 0.12831318378448486, 0.18949033319950104, 0.19015997648239136, 0.22858946025371552]",5,1.7182774543762207
4,12165-0,"[0.3740237355232239, 0.06216488778591156, 0.2519409656524658, 0.13701647520065308, 0.0845823809504509, 0.09027159214019775]",0,1.5861955881118774
4,12166-0,"[0.0401158481836319, 0.24136213958263397, 0.10386164486408234, 0.1917126327753067, 0.20303304493427277, 0.2199147343635559]",1,1.6807529926300049
4,12167-0,"[0.05546329542994499, 0.20631085336208344, 0.10620620101690292, 0.18273386359214783, 0.24525851011276245, 0.20402726531028748]",4,1.7037863731384277
5,12162-0,"[0.08326882123947144, 0.18054653704166412, 0.15109792351722717, 0.22730447351932526, 0.16935674846172333, 0.1884254813194275]",3,1.753552794456482
5,12163-0,"[0.1790044605731964, 0.11435359716415405, 0.26574447751045227, 0.17665044963359833, 0.11507729440927505, 0.1491696834564209]",2,1.7469638586044312
5,12164-0,"[0.05517052486538887, 0.20827651023864746, 0.12831324338912964, 0.1894903928041458, 0.19016003608703613, 0.22858934104442596]",5,1.7182775735855103
5,12165-0,"[0.3740238547325134, 0.06216491013765335, 0.2519408166408539, 0.13701651990413666, 0.08458241075277328, 0.09027153998613358]",0,1.5861955881118774
5,12166-0,"[0.04011582210659981, 0.24136222898960114, 0.10386168211698532, 0.19171270728111267, 0.20303289592266083, 0.21991461515426636]",1,1.6807528734207153
5,12167-0,"[0.05546329915523529, 0.20631061494350433, 0.10620629787445068, 0.18273384869098663, 0.24525873363018036, 0.20402726531028748]",4,1.7037863731384277
6,12162-0,"[0.08326876163482666, 0.1805465817451477, 0.15109795331954956, 0.22730451822280884, 0.16935664415359497, 0.18842552602291107]",3,1.753552794456482
6,12163-0,"[0.17900443077087402, 0.11435357481241226, 0.265744686126709, 0.17665040493011475, 0.11507738381624222, 0.14916951954364777]",2,1.7469637393951416
6,12164-0,"[0.05517056956887245, 0.20827649533748627, 0.12831322848796844, 0.18949037790298462, 0.19016002118587494, 0.22858931124210358]",5,1.7182775735855103
6,12165-0,"[0.37402376532554626, 0.062164951115846634, 0.2519409954547882, 0.13701647520065308, 0.0845823884010315, 0.09027151763439178]",0,1.586195468902588
6,12166-0,"[0.0401158444583416, 0.24136236310005188, 0.10386163741350174, 0.1917126327753067, 0.20303301513195038, 0.219914510846138]",1,1.6807529926300049
