round,split,loss,forecast_accuracy,global_num_layers,local_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,inclusive_group_count,inclusive_beta,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,5.569945076303912e-05,0.8942679315166663,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.003452441906643602,0.054535278778504274,0.034763116230125055,0.7809928815030424,0.10573206848333364,6.749960569085683,,,,,
1,val,0.001100829220754948,0.7081611223474711,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.06467770790628213,0.17287668847562704,0.15890933447964886,-2.617518744862972,0.29409660920764225,,8.335406892001629e-05,8.335406892001629e-05,,,
2,train,3.738546930566743e-05,0.9102821692046008,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0023607856433569357,0.04360935879986031,0.028736199859046407,0.8542289710884376,0.08971783079539922,6.415855303311211,,,,,
2,val,0.0007516748818576238,0.7934168277563727,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.043863514082811215,0.11838625840845529,0.09965418814631756,-1.2463831318590337,0.2065831722436273,,6.837304681539536e-05,6.837304681539536e-05,,,
3,train,2.885130602116309e-05,0.9247230921844317,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0018045860075236715,0.03412965998314597,0.022221880420789486,0.8964417264233498,0.07527690781556827,6.306351375707861,,,,,
3,val,0.0006374961577198017,0.7938460648210414,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.037255478329505785,0.11713954274114087,0.10054621352313677,-1.0380054918496948,0.20615393517895875,,8.876295760273933e-05,8.876295760273933e-05,,,
4,train,2.347483024366735e-05,0.9336605113636955,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0014781199977924766,0.030083655599100083,0.01906327022006937,0.9137297287374693,0.06633948863630448,6.861290071094427,,,,,
4,val,0.000596962230021059,0.7921308652726862,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.03490784221960172,0.11393123557180596,0.09793466158489633,-0.9326467324539914,0.20786913472731391,,8.519389666616917e-05,8.519389666616917e-05,,,
5,train,2.2538657651571188e-05,0.935029145348512,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0014032216706699886,0.02878459095801421,0.017886341418783803,0.9183183597344515,0.06497085465148808,7.067001208139007,,,,,
5,val,0.0005522009694738644,0.7920781433224625,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.03237897147775837,0.10793357736775398,0.09173314009935618,-0.788091542328325,0.2079218566775375,,9.463401511311531e-05,9.463401511311531e-05,,,
6,train,2.4477268146266e-05,0.9340822908171853,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0014527518828249045,0.029086349687288276,0.017803576987600683,0.9173643000252227,0.06591770918281475,6.749132531056387,,,,,
6,val,0.0005190390262505648,0.7922923015380005,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.030515123982632075,0.10524208236906767,0.089244487733842,-0.6960161103033574,0.20770769846199943,,9.987386874854565e-05,9.987386874854565e-05,,,
7,train,2.0753763996881593e-05,0.9379719182512254,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0012963123126381862,0.027565542731374425,0.017109013262977407,0.9236965377529973,0.06202808174877461,6.656800511018378,,,,,
