round,split,loss,forecast_accuracy,global_num_layers,local_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,inclusive_group_count,inclusive_beta,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,5.569945076303912e-05,0.8942679315166663,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.003452441906643602,0.05453527877850427,0.034763116230125055,0.7809928815030424,0.10573206848333364,6.6331319897752605,,,,,
1,val,0.0011012727682372253,0.7150700206826097,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.06473511917818192,0.17424889662617912,0.16012407415861338,-2.647833774909494,0.28574040438418186,,0.00013496610336005688,0.00013496610336005688,,,
2,train,3.612359492350615e-05,0.9125316226079394,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.002281235880460432,0.04239113475338712,0.027851669726967194,0.8604695949897607,0.08746837739206068,6.5059320440371655,,,,,
2,val,0.0005954204219358943,0.8057019757305293,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.03487640523668246,0.11044773878646374,0.09233434549615689,-0.8352658815344093,0.1942980242694707,,8.310400880873203e-05,8.310400880873203e-05,,,
3,train,2.859151513432213e-05,0.9227987494978139,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0017916366563898668,0.034637797090511874,0.022221722858529632,0.8962057638401474,0.07720125050218614,6.565336272597994,,,,,
3,val,0.0004930015821612147,0.8021882527857175,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.02910632429912925,0.11370003214653303,0.09782303214683015,-0.70019099128671,0.19781174721428255,,0.00011987611651420593,0.00011987611651420593,,,
4,train,2.2411335998650113e-05,0.9346637920186268,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.001412301920598671,0.029383847810430845,0.018413084712722894,0.9177682678628797,0.06533620798137328,6.767452284902793,,,,,
4,val,0.0004036868588184421,0.8093487363971171,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.02396573838040405,0.10790823036798852,0.09297298554901126,-0.4827813795960455,0.1906512636028829,,9.453389793634415e-05,9.453389793634415e-05,,,
5,train,2.1241374833863796e-05,0.937179427188781,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.001321348981764553,0.028002439202145655,0.01718167276235409,0.9226965126534985,0.06282057281121896,6.390287280619589,,,,,
5,val,0.00033604118423073454,0.8151863947417667,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.020017755490452635,0.0993904544311341,0.08438287493491088,-0.2624016928313401,0.18481360525823323,,8.995388634502888e-05,8.995388634502888e-05,,,
6,train,2.1796675814159784e-05,0.9377235654597725,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0012925041645170867,0.027378956973285212,0.016077563591222716,0.9246286071538936,0.06227643454022745,6.907505310636943,,,,,
6,val,0.00029243367468465215,0.8213261210812309,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0174633397561667,0.09335178812900385,0.07992043374470863,-0.11683610029581384,0.17867387891876907,,9.356392547488213e-05,9.356392547488213e-05,,,
7,train,1.8598050630310522e-05,0.9412945528138139,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0011602019837911016,0.025800264052044487,0.015083808810715514,0.931592856077825,0.05870544718618612,6.866790181715361,,,,,
7,val,0.00024910561051681116,0.8293845159976888,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.014910862358035088,0.08634263242150284,0.07229087759485449,0.03298447996274865,0.17061548400231116,,0.00012234598398208618,0.00012234598398208618,,,
8,train,1.8130097087509938e-05,0.9416404633102842,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0011470112609241643,0.025840036874684398,0.015306116642858579,0.9320779430910465,0.058359536689715795,6.510882549985492,,,,,
8,val,0.0002113232827216434,0.8373605222485728,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.012691792953441257,0.08070485750808874,0.0671618084844162,0.1646838611374849,0.16263947775142712,,9.153410792350769e-05,9.153410792350769e-05,,,
9,train,1.7797489727727523e-05,0.9430101534425125,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.001111514905353382,0.025198692978321467,0.014550245914201058,0.9340805682473666,0.0569898465574874,6.770788138131222,,,,,
9,val,0.00018836736288583496,0.8457936695054297,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.01132328865641158,0.07571840319271023,0.06278176698038268,0.25876583622785,0.15420633049457041,,9.312410838901997e-05,9.312410838901997e-05,,,
10,train,1.870257396783157e-05,0.9396206740891568,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0011686751554154382,0.027008078827254686,0.016332120702774747,0.9306970984709595,0.06037932591084308,6.481341129548625,,,,,
10,val,0.00017154015459317992,0.8511498376112206,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.010321321706594137,0.0727424875087555,0.060342876560111065,0.3177204222421928,0.14885016238877932,,9.450409561395645e-05,9.450409561395645e-05,,,
11,train,1.728843126829529e-05,0.9416190307294867,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0010889809334886733,0.025254454698927536,0.014119940209942138,0.9359351542407464,0.0583809692705132,6.296639779298367,,,,,
11,val,0.00015451949026405162,0.8525908590190712,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.009306104583591157,0.06941778920610864,0.05755588998520926,0.3811204564553848,0.14740914098092894,,9.547406807541847e-05,9.547406807541847e-05,,,
12,train,1.7503785242303965e-05,0.9418026920951953,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0010981222496977857,0.025028179025615077,0.01452538871383638,0.9360657290466046,0.05819730790480467,6.440740675193566,,,,,
12,val,0.00015330442278083017,0.8491811961690331,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.009212903434193604,0.06836211496704621,0.0569800592978813,0.3997863393924767,0.1508188038309669,,9.297486394643784e-05,9.297486394643784e-05,,,
13,train,1.649930245206735e-05,0.9448008674355588,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.00102295096594041,0.024100877089740364,0.013286602140752583,0.9393862113136966,0.05519913256444108,6.786833686182699,,,,,
13,val,0.00013259641513306043,0.8588567858008612,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.007984133551826906,0.06460540573493093,0.053633069003736634,0.46824056633318994,0.14114321419913872,,8.39440617710352e-05,8.39440617710352e-05,,,
14,train,1.6344107455207287e-05,0.94411570114845,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.001019978124582331,0.024315029782047314,0.013668926200624081,0.9392232277045545,0.055884298851550024,6.61532236873928,,,,,
14,val,0.00012626020323885028,0.8614486550597896,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.00761194701349608,0.06376549442125108,0.05331223192508747,0.49206165843888994,0.1385513449402104,,0.00014058616943657398,0.00014058616943657398,,,
15,train,1.624504156556225e-05,0.9438759707178451,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0010167099462352767,0.02432948327806295,0.013616831179804391,0.9397112177911057,0.0561240292821549,6.420799920923598,,,,,
15,val,0.00011623554624210785,0.8679438785621589,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.007006879458684488,0.060692753951501296,0.05041370871957405,0.5368512920776584,0.13205612143784115,,8.665397763252258e-05,8.665397763252258e-05,,,
16,train,1.6084292665339456e-05,0.9447563718321124,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0009955864000001805,0.023955729379003768,0.013306992802663762,0.9416796826743097,0.05524362816788752,6.5363173019776575,,,,,
16,val,0.00010603554011202155,0.8701011631819544,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0063957765752497685,0.058429523578808165,0.048482514797872286,0.5730367358186121,0.1298988368180455,,7.171300239861012e-05,7.171300239861012e-05,,,
17,train,1.5671201591570087e-05,0.9438661200432047,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0009892294599488153,0.02466658468480401,0.014069043269673568,0.9419998124012391,0.05613387995679535,6.769229233357845,,,,,
17,val,0.00010058956599471286,0.8833198281948642,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.006075622746513765,0.05641517058579543,0.04491162798848016,0.6068954813465218,0.11668017180513576,,8.98740254342556e-05,8.98740254342556e-05,,,
18,train,1.5391842774506746e-05,0.9450524412566826,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0009760985435755561,0.02407357834195925,0.013605063859222978,0.943148988194157,0.054947558743317367,6.341750390810878,,,,,
18,val,0.00010308364663741294,0.8772749339349531,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.006229784299128149,0.05794184248922001,0.047816498820202634,0.5973656394679274,0.12272506606504671,,0.00010085385292768478,0.00010085385292768478,,,
19,train,1.5034854985738899e-05,0.9456688337605735,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.000935926426089243,0.023596004077996332,0.013128947351507297,0.9451335310008738,0.054331166239426576,6.332808556598827,,,,,
19,val,0.0001004941749951839,0.8777550634764192,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.006066144236385842,0.05717166968042793,0.047581968603662324,0.60948233988502,0.1222449365235809,,7.259286940097809e-05,7.259286940097809e-05,,,
20,train,1.4953544496168331e-05,0.9452600150066283,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0009268358135131003,0.02387430972076698,0.013549731003477712,0.9456302587201284,0.05473998499337167,6.3425746163524,,,,,
20,val,9.667200550978501e-05,0.8771517398160259,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.005824765848125135,0.05514298203345029,0.045658446258444375,0.6335732985243238,0.12284826018397413,,0.00010684505105018616,0.00010684505105018616,,,
