round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0001865153748213866,0.8483416531795406,0.011341674253344536,0.10649729692975562,0.07270514965057373,0.2194308324986439,0.1516583468204594,1.6685824394226074,,,,,
1,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.006539731966292305,0.14279407808235822,0.3862955570220947,0.6215267950958308,0.6083328127861023,-21.718938991911195,0.8572059219176418,,0.10065407189540565,9.95504772500135,,,
2,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00016549894066830313,0.8536210971099103,0.010166097432374954,0.10082706696306779,0.06758721172809601,0.300337678523797,0.1463789028900897,1.5590155124664307,,,,,
2,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.006115131237335849,0.15798946616362863,0.3611808717250824,0.6009832541136919,0.5878055691719055,-20.243969054906565,0.8420105338363714,,0.05557877104729414,9.470884460955858,,,
3,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.000152642414021178,0.8570013682378941,0.009581544436514378,0.09788536375022763,0.0656808391213417,0.34056848273626816,0.14299863176210595,1.5857243537902832,,,,,
3,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.005905220905939738,0.15651607711082383,0.34876537322998047,0.5905636064218489,0.5770902037620544,-19.51949565545945,0.8434839228891762,,0.05808942811563611,9.18630971503444,,,
4,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0001502142733573697,0.8581197349758649,0.009383287280797958,0.09686736953586568,0.06546123325824738,0.3542133878586451,0.14188026502413514,1.496964454650879,,,,,
4,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.005590713916951594,0.17233846549477783,0.33025866746902466,0.5746813616857821,0.5615769624710083,-18.43136921452403,0.8276615345052222,,0.06163310701958835,9.291634722845629,,,
5,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0001546481318034225,0.8583223603482226,0.00925149954855442,0.09618471577415208,0.06490640342235565,0.36328305882425904,0.14167763965177735,1.5113086700439453,,,,,
5,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.005265622953825359,0.18804709019906418,0.3111095726490021,0.5577719719105667,0.5448771715164185,-17.305055087680955,0.8119529098009358,,0.09960162406787276,9.249769937014207,,,
6,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00015970856732909621,0.8582267500475254,0.00941826868802309,0.0970477649821112,0.06659366935491562,0.35180536626395126,0.1417732499524746,1.483433723449707,,,,,
6,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.005013811814634106,0.20149626510577412,0.29623275995254517,0.5442726889644062,0.5313915610313416,-16.42922303108319,0.7985037348942259,,0.11196531495079398,9.377977864118293,,,
7,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00015236765398330088,0.8594408029498273,0.00914027914404869,0.09560480711788864,0.0646611750125885,0.3709378825873919,0.14055919705017275,1.4951939582824707,,,,,
7,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0048875323956525775,0.21408791383957848,0.28881019353866577,0.5374106377237668,0.5245904922485352,-15.991899513348436,0.7859120861604215,,0.05609566206112504,8.786348548950627,,,
8,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00014662543450440742,0.8600715351721471,0.009120910428464413,0.09550345767805694,0.0644657164812088,0.37227052976904873,0.13992846482785298,1.4450414180755615,,,,,
8,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00465953224318943,0.2354464498020563,0.2753700911998749,0.5247571735573272,0.5118370652198792,-15.200444497063067,0.7645535501979437,,0.05895047285594046,8.672607216052711,,,
9,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00014852829697075808,0.860368395766138,0.009086094796657562,0.09532100920918517,0.06436300277709961,0.37466672444472693,0.139631604233862,1.4837496280670166,,,,,
9,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.004589238687406612,0.24825620744085608,0.27124127745628357,0.5208082924227336,0.5078418254852295,-14.956054528509696,0.7517437925591439,,0.0518779291305691,8.50511138793081,,,
10,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00014909927976012338,0.860899305725822,0.008984308689832687,0.09478559326096286,0.06358607858419418,0.38167191458649835,0.13910069427417807,1.4880473613739014,,,,,
10,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.004336958318822998,0.26936028068461837,0.25636065006256104,0.5063206988288756,0.4933774769306183,-14.080195077145298,0.7306397193153816,,0.05669640703126788,8.75272855302319,,,
11,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00014421274059948653,0.8621917103235726,0.008873861283063889,0.09420117453123336,0.06264001131057739,0.38927332767895284,0.1378082896764275,1.4965627193450928,,,,,
11,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00421765056843496,0.2819131654441003,0.24931961297988892,0.49931914942237987,0.48636582493782043,-13.665144443290227,0.7180868345558997,,0.10266732587479055,8.70631905598566,,,
12,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00014241475808171117,0.863109882022987,0.008792756125330925,0.09376969726585943,0.06294077634811401,0.39485535487589496,0.13689011797701303,1.519803524017334,,,,,
12,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.004101733052277867,0.2865385067681646,0.24247419834136963,0.49241669177777636,0.4795684516429901,-13.262273770670895,0.7134614932318354,,0.060493075056001544,9.004755781963468,,,
13,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0001475825033689444,0.8625588286905839,0.00878930278122425,0.09375128149110416,0.06309057027101517,0.39509303514848426,0.1374411713094161,1.4843347072601318,,,,,
13,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0039990215487621,0.2875590234847091,0.23640652000904083,0.4862165361328642,0.4734181761741638,-12.90595977983604,0.7124409765152909,,0.05352800409309566,9.006847233977169,,,
14,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00013660094645770974,0.8649060329208077,0.008548002690076828,0.09245540919857977,0.06148143857717514,0.41170007449859014,0.13509396707919227,1.4566655158996582,,,,,
14,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0038696786522362304,0.2993668129807395,0.2287830412387848,0.47831270235985246,0.46569737792015076,-12.457545401540632,0.7006331870192605,,0.056510030990466475,9.640545721864328,,,
15,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00014058469230483382,0.8649323992833358,0.008504072204232216,0.09221752655668128,0.06252075731754303,0.41472351261372253,0.1350676007166642,1.497098684310913,,,,,
15,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.003776238751813832,0.29954089047000276,0.2232547104358673,0.4724983708287969,0.4598683714866638,-12.133265548991009,0.7004591095299972,,0.07511464599519968,9.340576165122911,,,
16,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0001413407659396651,0.8659761847211942,0.008437915705144405,0.09185812813869225,0.0615512952208519,0.4192762802535935,0.13402381527880577,1.540921926498413,,,,,
16,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.003767455051719891,0.30202509468052974,0.22275063395500183,0.4719646532898431,0.4595578908920288,-12.103326563685602,0.6979749053194703,,0.055618116864934564,9.055398917058483,,,
17,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00013189738659487595,0.866263222603167,0.008301974274218082,0.09111517038461862,0.06137760728597641,0.42863253504328697,0.133736777396833,1.5053811073303223,,,,,
17,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0036120336770005365,0.31172220364279535,0.2135644108057022,0.46213029635125874,0.44956550002098083,-11.563043569096147,0.6882777963572047,,0.053711541928350925,9.262427031062543,,,
18,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00012883858638498374,0.8698431733881573,0.008019772358238697,0.08955318173152027,0.05973408371210098,0.4480544127148734,0.13015682661184272,1.4901249408721924,,,,,
18,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.003561892778561588,0.3117241592787964,0.21059662103652954,0.4589080747127136,0.4465147852897644,-11.388996670475153,0.6882758407212036,,0.05764752603136003,8.672229303047061,,,
19,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00014034405580766628,0.8696306817666546,0.00805472582578659,0.08974812435804211,0.05970216542482376,0.4456488408178231,0.13036931823334544,1.4632318019866943,,,,,
19,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.003532087563965391,0.3195321724333773,0.2088342308998108,0.45698384096137445,0.4447111487388611,-11.284572072925787,0.6804678275666227,,0.061845829943194985,8.990487507078797,,,
20,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00013285183468723601,0.8698753579700691,0.008036009036004543,0.08964378972357508,0.05995491147041321,0.4469369111932178,0.13012464202993085,1.4886763095855713,,,,,
20,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.003415482330925857,0.3308629032888952,0.20194599032402039,0.4493840120921308,0.4371160566806793,-10.879369830767445,0.6691370967111048,,0.06937439413741231,8.812261156039312,,,
21,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00012777890201377175,0.8714910678688144,0.007834750227630138,0.08851412445271171,0.05837921053171158,0.46078820731757686,0.1285089321311857,1.474222183227539,,,,,
21,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0032539987614386193,0.34586421863853045,0.19242030382156372,0.43865738774305824,0.4264010190963745,-10.319173987855699,0.6541357813614695,,0.05874970997683704,9.215110999997705,,,
22,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00012760563287461053,0.8703234392245975,0.00793808326125145,0.08909592168697425,0.059082675725221634,0.4536763397315219,0.1296765607754024,1.4583418369293213,,,,,
22,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0031547969529397376,0.35416827886749624,0.1865650862455368,0.43193180740197495,0.41986942291259766,-9.974801140487596,0.6458317211325038,,0.05285383993759751,9.220037556020543,,,
23,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00013114142990404643,0.8700231629134889,0.007972275838255882,0.08928760181713855,0.05948624759912491,0.45132303377990723,0.12997683708651106,1.4749462604522705,,,,,
23,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.003074622292558855,0.36186572784577176,0.18182748556137085,0.4264123421775815,0.4141562879085541,-9.695839556648762,0.6381342721542282,,0.05913388496264815,8.908373230136931,,,
24,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00012333165358525315,0.8729132330954904,0.007587982341647148,0.08710902560382103,0.057201337069272995,0.47777142707575093,0.1270867669045096,1.476872444152832,,,,,
24,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.002970641612503599,0.36694101797022216,0.17569077014923096,0.4191548283739923,0.4069102108478546,-9.335225640902571,0.6330589820297778,,0.05504585709422827,8.669988295994699,,,
25,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00012995258860161476,0.8716219174892679,0.007732976693660021,0.08793734527298411,0.05800754204392433,0.4677927368092769,0.12837808251073216,1.6114351749420166,,,,,
25,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.002932692881877915,0.37498610214059513,0.17343924939632416,0.4164603815446605,0.40409761667251587,-9.202199504026428,0.6250138978594049,,0.05634745699353516,8.762392208212987,,,
26,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00012214622501754199,0.8741009893992492,0.007481261622160673,0.08649428664461413,0.056164950132369995,0.4851163162563371,0.1258990106007508,1.493605613708496,,,,,
26,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0028672590223042774,0.3815803202582987,0.16954536736011505,0.4117588704085378,0.3992423415184021,-8.972809419888879,0.6184196797417013,,0.07895331014879048,9.322210668819025,,,
27,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00011999563539872702,0.875277263932317,0.007308240048587322,0.08548824509011355,0.05558278411626816,0.49702428314738356,0.12472273606768305,1.5021872520446777,,,,,
27,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.002842640480663203,0.38502321335174394,0.168100968003273,0.4100011804900969,0.397524893283844,-8.887562118129033,0.6149767866482561,,0.05512088001705706,9.591538046021014,,,
28,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00012235721018331145,0.8741485732496298,0.007449752185493708,0.08631194694533142,0.05691349133849144,0.4872849296199867,0.12585142675037023,1.524484634399414,,,,,
28,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.002716099662619804,0.39883912739575544,0.1606273055076599,0.4007833648090448,0.38813555240631104,-8.44775823059974,0.6011608726042446,,0.057761602802202106,9.279474454931915,,,
29,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00012523289110095366,0.8753619986640617,0.007312788628041744,0.08551484448937356,0.055866584181785583,0.49671135855163506,0.12463800133593833,1.450943946838379,,,,,
29,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0027072066559067254,0.39333919634526526,0.16009867191314697,0.40012332088138397,0.38749900460243225,-8.417135902579398,0.6066608036547347,,0.057315215934067965,8.813233295921236,,,
30,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0001223717992118713,0.8747452591545037,0.007459565065801144,0.08636877367313457,0.05707873776555061,0.48660967367469043,0.12525474084549626,1.504915714263916,,,,,
30,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00259803832834783,0.409134590114005,0.1536462903022766,0.3919774104489653,0.3793594539165497,-8.037226688021587,0.590865409885995,,0.058474901132285595,9.192622034111992,,,
31,train,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0001195006924330322,0.8749475580700818,0.007279220037162304,0.08531834525565005,0.05593916028738022,0.4990215321042223,0.12505244192991816,1.4686989784240723,,,,,
31,val,12163-0,1,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.002545118269035082,0.4161041185675246,0.1505242884159088,0.3879745976425632,0.37533655762672424,-7.8535880887795155,0.5838958814324754,,0.05783418705686927,9.115805156063288,,,
