round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00016770575503924926,0.5613704945959255,0.010315148159861565,0.10156351785883337,0.06534875929355621,0.4331147033228856,0.4386295054040746,2.4492671489715576,,,,,
1,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0007126733660697937,0.0,0.04319673031568527,0.20783823112143077,0.1647290736436844,-1.7995422152071705,1.0211225426449189,,0.09422281989827752,9.510357440914959,,,
2,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0001215153224757987,0.6232542528484214,0.007690197788178921,0.08769377280160161,0.05457187443971634,0.5773731388902756,0.3767457471515786,2.4629878997802734,,,,,
2,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0003927392725433622,0.2123434595061422,0.024265523999929428,0.15577395160914878,0.1096508726477623,-0.5727237606917608,0.7876565404938578,,0.0771646429784596,9.162046425044537,,,
3,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0001117583805314049,0.6352456906751869,0.007040379103273153,0.08390696695312704,0.05281755328178406,0.6130846304037477,0.36475430932481306,2.383538007736206,,,,,
3,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00035409420019104365,0.22883379892100664,0.021695729345083237,0.14729470236598205,0.10317014157772064,-0.4061379718472409,0.7711662010789934,,0.14754424011334777,9.007395487977192,,,
4,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.179959331594053e-05,0.6787013060550853,0.005162001587450504,0.07184707083417183,0.03746484965085983,0.7163142469042966,0.3212986939449147,2.182175636291504,,,,,
4,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00035831944839585393,0.1842607975496623,0.02186429500579834,0.14786580066329855,0.10486812889575958,-0.41708221832673004,0.8157392024503377,,0.07216802006587386,9.43943753791973,,,
5,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.498365118181936e-05,0.6914149469628426,0.004708305932581425,0.06861709650357864,0.03589390963315964,0.741247848587726,0.3085850530371575,2.2567272186279297,,,,,
5,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00038202237870012013,0.08629577662016896,0.023159638047218323,0.15218290983950308,0.11201528459787369,-0.5011014691263285,0.913704223379831,,0.08525991602800786,8.981850455980748,,,
6,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.245172688825973e-05,0.6851132206607295,0.004846653435379267,0.06961791030603595,0.03229692578315735,0.7336442838177103,0.31488677933927045,2.314918041229248,,,,,
6,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00039328227085726604,0.09160960022249509,0.02378985472023487,0.15423960165999803,0.11534433811903,-0.5419565533479029,0.9083903997775049,,0.06983321509324014,8.680924091953784,,,
7,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.144553047186114e-05,0.7011498105308271,0.004539726302027702,0.06737749106361636,0.03539793938398361,0.750512095531199,0.2988501894691728,2.2764384746551514,,,,,
7,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00038774232069651286,0.07447800427826246,0.02348114550113678,0.15323558823307587,0.11494221538305283,-0.5219552176451548,0.9255219957217375,,0.07574181701056659,9.1952043059282,,,
8,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.396822602216516e-05,0.7088213704094846,0.004071598872542381,0.06380908142688141,0.03154461085796356,0.7762389263024575,0.2911786295905154,2.428297996520996,,,,,
8,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0003418484285828613,0.15429425417024012,0.02091158553957939,0.14460838682310023,0.10530392825603485,-0.35537568460764246,0.8457057458297599,,0.10635019885376096,9.061429264955223,,,
9,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.49076091047894e-05,0.7077802821637097,0.004117448814213276,0.06416735006382354,0.03155364841222763,0.7737191010818685,0.2922197178362903,2.336087942123413,,,,,
9,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0003273446432181767,0.17892592098808313,0.020063068717718124,0.14164416231429422,0.10284733772277832,-0.30037348218220433,0.8210740790119169,,0.07607294106855989,8.940379631938413,,,
10,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.667598414400579e-05,0.7021089442941394,0.004250188358128071,0.06519346867691633,0.03211290389299393,0.7664242619132717,0.2978910557058606,2.26420521736145,,,,,
10,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0003164941205510071,0.15880097286452566,0.019410068169236183,0.13932002070498045,0.10183001309633255,-0.258076681779603,0.8411990271354743,,0.08466561301611364,8.994417278794572,,,
11,train,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0364228501317375e-05,0.7156338248679849,0.0038468262646347284,0.062022788268786565,0.02875199168920517,0.7885916976504933,0.2843661751320151,2.3229305744171143,,,,,
11,val,12165-0,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.00030253422313502855,0.14896794744846997,0.018637415021657944,0.13651891818227224,0.09931091964244843,-0.20801901746149185,0.85103205255153,,0.07446605595760047,9.052212447859347,,,
