round,split,loss,forecast_accuracy,global_num_layers,local_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,inclusive_group_count,inclusive_beta,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,5.569945076303912e-05,0.8942679315166664,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.003452441906643602,0.05453527877850427,0.034763116230125055,0.7809928815030422,0.10573206848333364,7.221090012193036,,,,,
1,val,0.001103781589245369,0.7082580039960477,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.06485707231522189,0.1733252289881206,0.1594118275132786,-2.6309891446727147,0.2943328718694276,,9.349314495921135e-05,9.349314495921135e-05,,,
2,train,3.667546605019373e-05,0.9116486378474762,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.002315655790474095,0.04289102488766652,0.0281515937995778,0.8576488157982209,0.08835136215252379,6.902478468824915,,,,,
2,val,0.0007460889552358009,0.7925681985292693,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0435404161337657,0.11803274186868232,0.09943387731843466,-1.235172725310884,0.20743180147073084,,7.579289376735687e-05,7.579289376735687e-05,,,
3,train,2.922894491709714e-05,0.9239107126927717,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.001828867555169636,0.034695738184225625,0.022733205656922557,0.8947596886925483,0.07608928730722826,6.70749216566626,,,,,
3,val,0.0006430266368566611,0.796100010126262,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.03765525657234521,0.11725392985602116,0.10021107347808063,-1.0674030619630877,0.20389998987373809,,8.390401490032673e-05,8.390401490032673e-05,,,
4,train,2.321824501082707e-05,0.9332638900673008,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0014621490682570047,0.029877344090815244,0.01886693620683247,0.9148568264956588,0.06673610993269918,7.036078287682499,,,,,
4,val,0.0005854663333658368,0.7992073262278376,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0343035810971732,0.11074850683264653,0.09484345822386259,-0.8965021087588058,0.2007926737721624,,8.452287875115871e-05,8.452287875115871e-05,,,
5,train,2.2292338195421574e-05,0.9366264996974252,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.001388304817070626,0.028589473464708793,0.017833518286047043,0.9193080539521811,0.06337350030257466,6.6806833860718475,,,,,
5,val,0.0005698728885632021,0.7917240054349918,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.033439569089899764,0.10968590820051015,0.09454196742553515,-0.8471791212107185,0.2082759945650082,,9.215390309691429e-05,9.215390309691429e-05,,,
6,train,2.2912475030682284e-05,0.9367442647453212,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0013595656914383697,0.028187290930572675,0.017010700944911125,0.9211398953906984,0.06325573525467877,6.50935632228934,,,,,
6,val,0.0005464429137193092,0.7943728916689452,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.03209931757889383,0.10654767724666517,0.09207702767819803,-0.7723331958144486,0.20562710833105463,,0.000104525126516819,0.000104525126516819,,,
7,train,2.0560951482034105e-05,0.9390925597682147,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0012830012568648777,0.026976813211191338,0.016405494917373187,0.9249569887867476,0.06090744023178545,6.886118748005065,,,,,
7,val,0.0005134500210998693,0.7969569105083475,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.030228276705921188,0.10431179041491229,0.09057917408247436,-0.695139431926835,0.20304308949165248,,8.992385119199753e-05,8.992385119199753e-05,,,
8,train,1.9038503555004456e-05,0.9411478167081713,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0012009788547601714,0.026146849245340914,0.015538119044472368,0.9288555524992479,0.058852183291828765,6.783444363220548,,,,,
8,val,0.0004737169565364428,0.8051917260455441,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.02794426788121886,0.10111714374212175,0.08814951330953645,-0.5974564516453338,0.19480827395445577,,9.466405026614666e-05,9.466405026614666e-05,,,
9,train,1.986184854813115e-05,0.940669568635768,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0012390582862256431,0.026114978083145543,0.015409993625407474,0.9279698520951986,0.05933043136423202,6.704189908663487,,,,,
9,val,0.0004502177782937728,0.8123932131537563,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.02657782934205043,0.09778644978443894,0.08562402724026573,-0.5289529282951476,0.1876067868462437,,7.95039813965559e-05,7.95039813965559e-05,,,
10,train,2.0029223495936785e-05,0.9378210884120656,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.001248913794449239,0.027800951046532258,0.01700632802849429,0.9254600322166981,0.062178911587934454,6.618457432039355,,,,,
10,val,0.00042385379144249923,0.8192821079161472,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.025019551138103578,0.09303591876769203,0.08137173787607842,-0.4380403378282811,0.18071789208385278,,9.496393613517284e-05,9.496393613517284e-05,,,
11,train,1.8501192540393156e-05,0.9414529427410931,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0011650998840501458,0.02585531059448966,0.015238818469014172,0.9310308235100812,0.058547057258906875,6.68006388603784,,,,,
11,val,0.00040656099645793254,0.8171037936843599,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.024051307502378348,0.0944150685705514,0.0834688338666518,-0.4117914951604498,0.1828962063156399,,7.113302126526833e-05,7.113302126526833e-05,,,
12,train,1.8789994039499032e-05,0.9413295929217849,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0011777288235234093,0.025594461311490447,0.015126265229622769,0.9309962217156659,0.05867040707821515,6.560153150587381,,,,,
12,val,0.0004090988612316903,0.8147428285575146,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.024196767413017614,0.0936139784648198,0.08267839119448145,-0.4065912585254882,0.18525717144248544,,8.651381358504295e-05,8.651381358504295e-05,,,
13,train,1.7966604698698585e-05,0.9436637738454721,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0011103497273871248,0.024605690734442912,0.013722945834470826,0.933818100259388,0.056336226154527935,6.403288646709066,,,,,
13,val,0.0003959888237821302,0.8204333456669813,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.023414113015405424,0.09114204624946672,0.08038796482746924,-0.35304915434792045,0.17956665433301866,,9.539397433400154e-05,9.539397433400154e-05,,,
14,train,1.858692855766257e-05,0.9420507937571378,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0011555901896422884,0.025375574970738772,0.014662430648866666,0.9321653416184259,0.05794920624286207,6.39878719298612,,,,,
14,val,0.0003828626652768137,0.8217409943884267,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.022659894653920785,0.09010985754507737,0.0799466229033958,-0.31714190993590136,0.17825900561157323,,8.574291132390499e-05,8.574291132390499e-05,,,
15,train,1.768442480536076e-05,0.9435607842240987,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0011021525723317095,0.02477420888345143,0.014216127320230343,0.9342375552170669,0.05643921577590115,6.778399554691549,,,,,
15,val,0.0003696184332142644,0.8244564466392774,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.021880441712003425,0.08822468309679087,0.07829200379696287,-0.27929374686815683,0.1755435533607226,,9.32042021304369e-05,9.32042021304369e-05,,,
16,train,1.8173906887912298e-05,0.9431547938359668,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0011235461954979063,0.02495813484222125,0.014399428716672769,0.9331862815769789,0.05684520616403318,6.463573160874416,,,,,
16,val,0.0003477592378532072,0.830295598967735,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.020592027260765294,0.08437734709137468,0.0744011435975914,-0.21197335897690606,0.16970440103226503,,9.400397539138794e-05,9.400397539138794e-05,,,
17,train,1.7971399665151334e-05,0.941620488901739,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.00113248461656237,0.02529396845088663,0.01451021574293072,0.9325595458661583,0.05837951109826105,6.421178506458526,,,,,
17,val,0.0003502408545419741,0.8290670899428328,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.02072256768260688,0.08386082116327229,0.0733229770553812,-0.19991602885950188,0.1709329100571672,,0.00015437602996826172,0.00015437602996826172,,,
18,train,1.766068476541135e-05,0.9436660495478097,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.001115434248656548,0.024783849667164223,0.014247375168301529,0.9341410144925268,0.056333950452190286,6.561731604238782,,,,,
18,val,0.0003576227860457462,0.818462297357052,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.021186376029701765,0.08887674251232167,0.07934788282284533,-0.23945246855126487,0.18153770264294797,,9.316392242908478e-05,9.316392242908478e-05,,,
19,train,1.8010655392261002e-05,0.9438996924941216,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.001110286616734012,0.024962395279032604,0.01454700982564647,0.933795245594036,0.056100307505878313,6.454886551645049,,,,,
19,val,0.0003489081166057549,0.8202104073477156,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.020657590392221335,0.08775041956960783,0.078539416905877,-0.21093629512497683,0.1797895926522845,,8.92840325832367e-05,8.92840325832367e-05,,,
20,train,1.753874018685067e-05,0.9442218150187492,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0010853698334276577,0.02462379585866996,0.014105236588832247,0.9351275223956235,0.055778184981250714,6.348610246943453,,,,,
20,val,0.00033106195193384377,0.8238173922586279,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.019592714322203924,0.08382120686496577,0.0745594834173065,-0.14560198355423873,0.17618260774137212,,9.561399929225445e-05,9.561399929225445e-05,,,
21,train,1.8183468712552937e-05,0.9417619888726736,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.001141939996220132,0.025609316682544615,0.01482304695670369,0.93243375559874,0.058238011127326454,6.389859786422666,,,,,
21,val,0.0003194971516664523,0.8259932207704641,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.018920406787051387,0.08194417029598797,0.07309335300838078,-0.11094263629382359,0.17468286788208967,,9.406404569745064e-05,9.406404569745064e-05,,,
22,train,1.7767850471716466e-05,0.9438991053179787,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0011016748466420826,0.024971849753015606,0.014379264867743395,0.93474468582962,0.05610089468202122,6.446743326440709,,,,,
22,val,0.00030653085918322913,0.8270899215964037,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.018151396189798066,0.08140111205504087,0.0726382675451422,-0.07660517568375323,0.1742254189318504,,8.846307173371315e-05,8.846307173371315e-05,,,
23,train,1.7779704162089017e-05,0.9441460998155052,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.001100889160759298,0.024543673883817303,0.013944077156432503,0.9353201448765915,0.0558539001844948,6.4640761474668516,,,,,
23,val,0.00029717657142074613,0.8315340663697479,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.01760771493170596,0.08032925515424914,0.07180353246788325,-0.04945393225991636,0.1684659336302521,,8.226302452385426e-05,8.226302452385426e-05,,,
24,train,1.696834112276953e-05,0.9452507931072064,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.001047720866112689,0.024217459077308646,0.013630109157427118,0.9371675200516706,0.054749206892793674,6.2946266858515365,,,,,
24,val,0.000282488201257197,0.8391499205509988,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.01675550871851002,0.0784011395454679,0.07005046721600872,-0.0076164331652945234,0.1608500794490013,,0.00010501500219106674,0.00010501500219106674,,,
25,train,1.7052533772272196e-05,0.9439687748415886,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0010498225353587419,0.024417802181273207,0.013953047023162378,0.9367647065647712,0.056031225158411545,6.504231196042055,,,,,
25,val,0.000298285593633286,0.8320201871205977,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.01765791459646643,0.07943832370546867,0.07075786653680734,-0.037850187325654316,0.17570910023895298,,8.910312317311764e-05,8.910312317311764e-05,,,
26,train,1.628177701668532e-05,0.9456890558160734,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0010248923063284833,0.023664315757221787,0.012896577656064515,0.9384659301268847,0.05431094418392666,6.560362288449266,,,,,
26,val,0.0002894007009452259,0.8322896833247544,,2.7629893238434162,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.01713909415542264,0.07961197225103088,0.07125214384504167,-0.013183001499478996,0.17633114872093697,,9.43928025662899e-05,9.43928025662899e-05,,,
27,train,1.702582628385416e-05,0.943749576511378,3.0,2.7427680582019747,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0010686266565329684,0.024829338161012373,0.014176117196593936,0.9361147783599157,0.05625042348862196,6.714706595943847,,,,,
