round,split,cid,local_num_layers,global_num_layers,model_rate,hetero_fedavg,inclusive_fl,spa_hfl,spc,pattern_weighted_residual_heads,fedprox,fedprox_mu,loss,forecast_accuracy,mse,rmse,mae,r2,nrmse,round_train_time_seconds,round_evaluate_time_seconds,round_total_time_seconds,align_train_loss,align_train_rmse,latent_mean_norm
1,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5038274761650816e-05,0.9422920018568532,0.0015921429730951786,0.039901666294719806,0.023292899131774902,0.884751873173573,0.05770799814314676,7.740388870239258,,,,,
1,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.872939949422047e-05,0.8927458809184133,0.00503448536619544,0.0709541074652866,0.05662679672241211,0.5476957829462389,0.10725411908158669,,0.18214010610245168,8.817905731964856,,,
2,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.77825289647366e-05,0.9463753226463819,0.0011349339038133621,0.03368878008793673,0.021885555237531662,0.9178451912872518,0.05362467735361813,7.50262451171875,,,,,
2,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.543061659666781e-05,0.920822070054595,0.0022665965370833874,0.04760878634331469,0.03114553540945053,0.7963668585274721,0.07917792994540496,,0.2662344230338931,8.822880655992776,,,
3,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.315354419506705e-06,0.9607986717447594,0.0005296690505929291,0.02301453998221405,0.01468624547123909,0.9616574634216472,0.039201328255240565,7.6120288372039795,,,,,
3,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.011889838184994e-05,0.9089205586709088,0.0025665522553026676,0.050661151342055656,0.031230073422193527,0.769419433603884,0.09107944132909121,,0.2489371548872441,8.950573537964374,,,
4,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.253769295511522e-06,0.9712172740390053,0.00027156859869137406,0.016479338539254967,0.010940542444586754,0.9803411806631566,0.028782725960994793,7.637811183929443,,,,,
4,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.659849052009697e-05,0.9120156987865115,0.002341385232284665,0.04838786244798033,0.029753223061561584,0.7896480048321591,0.0879843012134885,,0.17654127511195838,9.193562085973099,,,
5,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.202228258889751e-06,0.9766296517696647,0.00020468805450946093,0.01430692330689799,0.008906856179237366,0.9851828586360021,0.02337034823033532,7.409565687179565,,,,,
5,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.094471659448754e-05,0.9159976798923083,0.001979721710085869,0.044494063762325294,0.025870442390441895,0.8221401722416056,0.0840023201076917,,0.17856116290204227,8.591258973814547,,,
6,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.2885217403684903e-06,0.9755471989564627,0.00020924932323396206,0.014465452749014186,0.00868016853928566,0.9848524856092422,0.024452801043537278,7.755397319793701,,,,,
6,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.6886793602740215e-05,0.9213842083943808,0.0017200405709445477,0.04147337182994105,0.024195702746510506,0.8454707104603708,0.07861579160561916,,0.18574716080911458,9.474851303966716,,,
7,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5868655696849385e-06,0.9783018965339046,0.00016509904526174068,0.01284908733185905,0.007308421190828085,0.9880485327745776,0.021698103466095357,8.560973167419434,,,,,
7,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.3335314751191395e-05,0.9246075230598687,0.0014928909949958324,0.03863794760330616,0.021891668438911438,0.8658778785636366,0.07539247694013125,,0.17624226887710392,9.69082499621436,,,
8,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.7119268660955937e-06,0.9785679969374261,0.00017322725034318864,0.013161582364715447,0.007959907874464989,0.9874601258812579,0.021432003062573896,7.513000726699829,,,,,
8,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.340605754061105e-05,0.924039623032118,0.001497443299740553,0.038696812526880724,0.022524787113070488,0.8654683729177097,0.07596037696788205,,0.19793057977221906,8.76153688901104,,,
9,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.3729129761258706e-06,0.9791206467729359,0.00014682109758723527,0.0121169755957184,0.006755329668521881,0.9893715098253745,0.020879353227064114,8.104351282119751,,,,,
9,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.165496283052492e-05,0.9247915339855415,0.0013853778364136815,0.037220664104952256,0.022239504382014275,0.8755366205848895,0.0752084660144585,,0.1647630559746176,9.226148569956422,,,
10,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.8823623986002106e-06,0.9729079873021242,0.00024786830181255937,0.01574383377111685,0.00972244143486023,0.9820566137168264,0.027092012697875742,7.800781011581421,,,,,
10,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.9450685018260877e-05,0.9282454044110575,0.0012443825835362077,0.03527580734067199,0.020458709448575974,0.8882036182943032,0.07175459558894254,,0.1862028951290995,8.875564235029742,,,
11,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5961534655640438e-06,0.9770000220619807,0.00016601814422756433,0.01288480284007343,0.006850964389741421,0.9879817239732979,0.022999977938019327,7.282089948654175,,,,,
11,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.673480731338293e-05,0.9342482431549646,0.001070561702363193,0.03271943921223579,0.019192025065422058,0.903820014240075,0.06575175684503541,,0.16927408403716981,8.58256942499429,,,
12,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.351357304073708e-06,0.9787303562200896,0.00014757907774765044,0.01214821294461249,0.006853576749563217,0.9893166524288648,0.021269643779910398,7.299442291259766,,,,,
12,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5964081386226136e-05,0.9362380613579049,0.0010212584165856242,0.03195713404837211,0.01926477439701557,0.9082493951771938,0.06376193864209516,,0.18049158295616508,8.795199166983366,,,
13,train,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.026144549499189e-06,0.9802348233749246,0.00012949196388944983,0.01137945358483657,0.005759132094681263,0.9906259523011569,0.01976517662507539,8.241953134536743,,,,,
13,val,12166-0,3,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.408443974329403e-05,0.9405300229305175,0.0009009455097839236,0.03001575435973455,0.01796630583703518,0.919058441275038,0.059469977069482524,,0.16078571090474725,9.229846965987235,,,
